num_ssu,case,case_label,npu_id,compute_ms,io_barrier_ms,other_ms,measurement_ms,compute_fraction,io_barrier_fraction,other_fraction,idle_fraction,delta_vs_baseline_compute_ms,delta_vs_baseline_io_barrier_ms,delta_vs_baseline_other_ms,includes_carry_in,full_window_idle_root_cause_evidence
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",9,37383.019560165274,26616.980439834726,0.0,64000.0,0.5841096806275824,0.4158903193724176,0.0,0.4158903193724176,627.6358140887387,-627.6358140887423,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",10,36730.16958025714,27269.83041974286,0.0,64000.0,0.5739088996915178,0.4260911003084822,0.0,0.4260911003084822,2139.416036775561,-2139.416036775565,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",11,35945.15709608792,28054.842903912082,0.0,64000.0,0.5616430796263737,0.4383569203736263,0.0,0.4383569203736263,1896.750919564438,-1896.750919564438,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",12,38118.18840035773,25881.81159964227,0.0,64000.0,0.5955966937555895,0.4044033062444105,0.0,0.4044033062444105,4069.2493859700844,-4069.249385970088,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",13,39199.15706677742,24800.84293322258,0.0,64000.0,0.6124868291683973,0.3875131708316028,0.0,0.3875131708316028,-2440.598638434967,2440.598638434967,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",14,41837.547970370106,22162.452029629894,0.0,64000.0,0.6537116870370329,0.3462883129629671,0.0,0.3462883129629671,2269.4869839444364,-2269.4869839444364,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",15,37215.91424736056,26784.085752639436,0.0,64000.0,0.5814986601150087,0.41850133988499116,0.0,0.41850133988499116,4678.166581424004,-4678.166581424011,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",16,40034.510710067036,23965.489289932957,7.275957614183426e-12,64000.0,0.6255392298447975,0.37446077015520246,1.1368683772161603e-16,0.37446077015520257,218.80167417426128,-218.80167417426856,7.275957614183426e-12,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",17,38127.6693947002,25872.3306052998,0.0,64000.0,0.5957448342921906,0.4042551657078094,0.0,0.4042551657078094,3768.535691443598,-3768.535691443598,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",18,37378.39185071891,26621.608149281088,0.0,64000.0,0.5840373726674829,0.415962627332517,0.0,0.415962627332517,170.41246246487572,-170.41246246487935,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",19,39093.7447866398,24906.2552133602,0.0,64000.0,0.6108397622912469,0.38916023770875313,0.0,0.38916023770875313,298.9949096952696,-298.99490969527324,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",20,40121.07835072749,23878.92164927251,0.0,64000.0,0.626891849230117,0.37310815076988296,0.0,0.37310815076988296,877.9302534097369,-877.9302534097369,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",21,35644.61188880465,28355.38811119535,0.0,64000.0,0.5569470607625726,0.44305293923742733,0.0,0.44305293923742733,219.7474846791447,-219.74748467915197,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",22,40398.716462037184,23601.283537962812,0.0,64000.0,0.631229944719331,0.3687700552806689,0.0,0.3687700552806689,3151.8815203475606,-3151.881520347564,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",23,37689.82463863991,26310.17536136009,0.0,64000.0,0.5889035099787486,0.41109649002125137,0.0,0.41109649002125137,862.473297385477,-862.4732973854807,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",24,36126.41361311295,27873.58638688705,0.0,64000.0,0.5644752127048899,0.4355247872951102,0.0,0.4355247872951102,-3125.2946167296686,3125.2946167296686,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",25,40334.07096465422,23665.92903534578,0.0,64000.0,0.6302198588227221,0.3697801411772778,0.0,0.3697801411772778,-3787.7787284935184,3787.778728493515,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",26,32436.71515784301,31563.284842156987,0.0,64000.0,0.506823674341297,0.4931763256587029,0.0,0.4931763256587029,76.0983594690806,-76.09835946908424,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",27,37606.878968262245,26393.12103173775,0.0,64000.0,0.5876074838790976,0.4123925161209024,0.0,0.4123925161209024,-621.2076906818766,621.2076906818693,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",28,34684.94230698551,29315.05769301448,7.275957614183426e-12,64000.0,0.5419522235466486,0.45804777645335126,1.1368683772161603e-16,0.4580477764533514,937.1579312157846,-937.1579312157919,7.275957614183426e-12,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",29,40188.69647323202,23811.303526767977,0.0,64000.0,0.6279483823942503,0.3720516176057496,0.0,0.3720516176057496,-5148.037717316314,5148.037717316303,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",30,34299.535706748655,29700.46429325134,0.0,64000.0,0.5359302454179478,0.4640697545820522,0.0,0.4640697545820522,-3328.5581574774333,3328.558157477426,0.0,True,True
3,adaptive_t0_i100ms,"Adaptive: event-driven, min 100 ms",31,39098.86475171687,24901.135248283128,0.0,64000.0,0.6109197617455762,0.3890802382544239,0.0,0.3890802382544239,236.3952549513633,-236.39525495136695,0.0,True,True
4,baseline,Baseline,0,51049.07171366749,12950.92828633251,0.0,63999.99999999999,0.7976417455260546,0.20235825447394548,0.0,0.20235825447394548,0.0,0.0,0.0,True,True
4,baseline,Baseline,1,44391.629991481175,19608.370008518817,0.0,63999.99999999999,0.6936192186168935,0.30638078138310654,0.0,0.30638078138310654,0.0,0.0,0.0,True,True
4,baseline,Baseline,2,45743.694525392835,18256.305474607158,0.0,63999.99999999999,0.7147452269592631,0.2852547730407369,0.0,0.2852547730407369,0.0,0.0,0.0,True,True
4,baseline,Baseline,3,49866.91394326416,14133.086056735834,0.0,63999.99999999999,0.7791705303635026,0.22082946963649744,0.0,0.22082946963649744,0.0,0.0,0.0,True,True
4,baseline,Baseline,4,48923.553014312165,15076.446985687831,0.0,63999.99999999999,0.7644305158486276,0.23556948415137238,0.0,0.23556948415137238,0.0,0.0,0.0,True,True
4,baseline,Baseline,5,53649.51534514319,10350.484654856808,0.0,63999.99999999999,0.8382736772678624,0.16172632273213763,0.0,0.16172632273213763,0.0,0.0,0.0,True,True
4,baseline,Baseline,6,48408.32933250271,15591.670667497281,0.0,63999.99999999999,0.756380145820355,0.24361985417964505,0.0,0.24361985417964505,0.0,0.0,0.0,True,True
4,baseline,Baseline,7,49440.52603287462,14559.47396712537,0.0,63999.99999999999,0.7725082192636661,0.22749178073633394,0.0,0.22749178073633394,0.0,0.0,0.0,True,True
4,baseline,Baseline,8,46309.83208835421,17690.16791164578,0.0,63999.99999999999,0.7235911263805346,0.27640887361946537,0.0,0.27640887361946537,0.0,0.0,0.0,True,True
4,baseline,Baseline,9,48259.825613039655,15740.174386960334,7.275957614183426e-12,63999.99999999999,0.7540597752037447,0.24594022479625524,1.1368683772161603e-16,0.24594022479625535,0.0,0.0,0.0,True,True
4,baseline,Baseline,10,49046.6190027722,14953.380997227796,0.0,63999.99999999999,0.7663534219183157,0.23364657808168435,0.0,0.23364657808168435,0.0,0.0,0.0,True,True
4,baseline,Baseline,11,48125.19856151488,15874.801438485112,0.0,63999.99999999999,0.7519562275236701,0.24804377247632992,0.0,0.24804377247632992,0.0,0.0,0.0,True,True
4,baseline,Baseline,12,48535.45630975471,15464.543690245286,0.0,63999.99999999999,0.7583665048399174,0.24163349516008262,0.0,0.24163349516008262,0.0,0.0,0.0,True,True
4,baseline,Baseline,13,50415.313145377615,13584.686854622378,0.0,63999.99999999999,0.7877392678965254,0.21226073210347468,0.0,0.21226073210347468,0.0,0.0,0.0,True,True
4,baseline,Baseline,14,49228.1552157709,14771.844784229092,0.0,63999.99999999999,0.7691899252464204,0.2308100747535796,0.0,0.2308100747535796,0.0,0.0,0.0,True,True
4,baseline,Baseline,15,49413.20555450725,14586.794445492742,0.0,63999.99999999999,0.7720813367891759,0.22791866321082413,0.0,0.22791866321082413,0.0,0.0,0.0,True,True
4,baseline,Baseline,16,50104.57749282948,13895.422507170515,0.0,63999.99999999999,0.7828840233254607,0.21711597667453933,0.0,0.21711597667453933,0.0,0.0,0.0,True,True
4,baseline,Baseline,17,45537.6078362451,18462.392163754892,0.0,63999.99999999999,0.7115251224413298,0.28847487755867024,0.0,0.28847487755867024,0.0,0.0,0.0,True,True
