scenario,seed,policy,window,profile,count,passed,percent
semi,19,static,full_population,32:2048,32,29,90.625
semi,19,static,full_population,32:256,32,30,93.75
semi,19,static,full_population,32:4096,64,59,92.1875
semi,19,static,full_population,64:1024,32,31,96.875
semi,19,static,full_population,64:2048,32,32,100.0
semi,19,static,full_population,64:256,32,30,93.75
semi,19,static,full_population,64:4096,64,64,100.0
semi,19,static,full_population,80:1024,32,31,96.875
semi,19,static,full_population,80:2048,32,32,100.0
semi,19,static,full_population,80:256,32,30,93.75
semi,19,static,full_population,80:4096,64,64,100.0
semi,43,baseline,warm_2_4s,128:1024,2,2,100.0
semi,43,baseline,warm_2_4s,128:2048,5,5,100.0
semi,43,baseline,warm_2_4s,128:256,3,3,100.0
semi,43,baseline,warm_2_4s,128:4096,19,19,100.0
semi,43,baseline,warm_2_4s,160:1024,5,5,100.0
semi,43,baseline,warm_2_4s,160:2048,6,6,100.0
semi,43,baseline,warm_2_4s,160:256,6,4,66.66666666666667
semi,43,baseline,warm_2_4s,160:4096,19,19,100.0
semi,43,baseline,warm_2_4s,200:1024,5,5,100.0
semi,43,baseline,warm_2_4s,200:2048,6,6,100.0
semi,43,baseline,warm_2_4s,200:256,5,5,100.0
semi,43,baseline,warm_2_4s,200:4096,7,7,100.0
semi,43,baseline,warm_2_4s,32:1024,5,5,100.0
semi,43,baseline,warm_2_4s,32:2048,2,2,100.0
semi,43,baseline,warm_2_4s,32:256,3,3,100.0
semi,43,baseline,warm_2_4s,32:4096,12,12,100.0
semi,43,baseline,warm_2_4s,64:1024,6,6,100.0
semi,43,baseline,warm_2_4s,64:2048,4,4,100.0
semi,43,baseline,warm_2_4s,64:256,4,4,100.0
semi,43,baseline,warm_2_4s,64:4096,9,9,100.0
semi,43,baseline,warm_2_4s,80:1024,7,7,100.0
semi,43,baseline,warm_2_4s,80:2048,7,7,100.0
semi,43,baseline,warm_2_4s,80:256,3,0,0.0
semi,43,baseline,warm_2_4s,80:4096,8,8,100.0
semi,43,baseline,long_2_6s,128:1024,8,8,100.0
semi,43,baseline,long_2_6s,128:2048,15,15,100.0
semi,43,baseline,long_2_6s,128:256,10,10,100.0
semi,43,baseline,long_2_6s,128:4096,24,24,100.0
semi,43,baseline,long_2_6s,160:1024,8,8,100.0
semi,43,baseline,long_2_6s,160:2048,15,15,100.0
semi,43,baseline,long_2_6s,160:256,10,6,60.0
semi,43,baseline,long_2_6s,160:4096,35,35,100.0
semi,43,baseline,long_2_6s,200:1024,10,10,100.0
semi,43,baseline,long_2_6s,200:2048,13,13,100.0
semi,43,baseline,long_2_6s,200:256,12,12,100.0
semi,43,baseline,long_2_6s,200:4096,15,15,100.0
semi,43,baseline,long_2_6s,32:1024,10,10,100.0
semi,43,baseline,long_2_6s,32:2048,8,8,100.0
semi,43,baseline,long_2_6s,32:256,9,6,66.66666666666667
semi,43,baseline,long_2_6s,32:4096,25,25,100.0
semi,43,baseline,long_2_6s,64:1024,14,14,100.0
semi,43,baseline,long_2_6s,64:2048,8,8,100.0
semi,43,baseline,long_2_6s,64:256,12,6,50.0
