scenario,policy,seed,window,profile,count,passed,percent
full,once,7,full_population,32:1024,64,62,96.875
full,once,7,full_population,32:2048,32,30,93.75
full,once,7,full_population,32:256,96,89,92.70833333333333
full,once,7,full_population,32:4096,32,32,100.0
full,once,7,full_population,64:1024,64,61,95.3125
full,once,7,full_population,64:2048,32,31,96.875
full,once,7,full_population,64:256,96,90,93.75
full,once,7,full_population,64:4096,32,32,100.0
full,once,7,full_population,80:1024,64,57,89.0625
full,once,7,full_population,80:2048,32,30,93.75
full,once,7,full_population,80:256,96,89,92.70833333333333
full,once,7,full_population,80:4096,32,32,100.0
full,once,19,warm_2_4s,128:1024,7,0,0.0
full,once,19,warm_2_4s,128:2048,3,0,0.0
full,once,19,warm_2_4s,128:256,12,11,91.66666666666667
full,once,19,warm_2_4s,128:4096,6,6,100.0
full,once,19,warm_2_4s,160:1024,14,0,0.0
full,once,19,warm_2_4s,160:2048,9,3,33.333333333333336
full,once,19,warm_2_4s,160:256,21,20,95.23809523809524
full,once,19,warm_2_4s,160:4096,2,2,100.0
full,once,19,warm_2_4s,200:1024,8,0,0.0
full,once,19,warm_2_4s,200:2048,0,0,
full,once,19,warm_2_4s,200:256,13,13,100.0
full,once,19,warm_2_4s,200:4096,11,11,100.0
full,once,19,warm_2_4s,32:1024,11,11,100.0
full,once,19,warm_2_4s,32:2048,5,5,100.0
full,once,19,warm_2_4s,32:256,14,14,100.0
full,once,19,warm_2_4s,32:4096,2,2,100.0
full,once,19,warm_2_4s,64:1024,11,11,100.0
full,once,19,warm_2_4s,64:2048,4,4,100.0
full,once,19,warm_2_4s,64:256,9,9,100.0
full,once,19,warm_2_4s,64:4096,6,6,100.0
full,once,19,warm_2_4s,80:1024,11,11,100.0
full,once,19,warm_2_4s,80:2048,7,7,100.0
full,once,19,warm_2_4s,80:256,13,13,100.0
full,once,19,warm_2_4s,80:4096,4,4,100.0
full,once,19,long_2_6s,128:1024,15,0,0.0
full,once,19,long_2_6s,128:2048,10,0,0.0
full,once,19,long_2_6s,128:256,19,17,89.47368421052632
full,once,19,long_2_6s,128:4096,12,12,100.0
full,once,19,long_2_6s,160:1024,22,0,0.0
full,once,19,long_2_6s,160:2048,15,4,26.666666666666668
full,once,19,long_2_6s,160:256,30,22,73.33333333333333
full,once,19,long_2_6s,160:4096,7,7,100.0
full,once,19,long_2_6s,200:1024,22,2,9.090909090909092
full,once,19,long_2_6s,200:2048,7,4,57.142857142857146
full,once,19,long_2_6s,200:256,28,25,89.28571428571429
