policy,request_id,npu_id,role,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,completed_after_window,slo_1_pass,slo_1p5_pass_recomputed,plot_ratio
static_aggressive,8000011,8,B,2431.2567811469607,2661.4562118568606,230.19943070989984,228.74273596704626,1.006368266676077,True,False,False,True,1.006368266676077
static_aggressive,8000012,8,B,2661.4562118568606,2925.2833756929435,263.82716383608295,228.74273596704626,1.1533794186762334,True,False,False,True,1.1533794186762334
static_aggressive,8000013,8,A,2925.2833756929435,2974.641699639439,49.3583239464956,48.19209238871334,1.024199645625999,True,False,False,True,1.024199645625999
static_aggressive,8000014,8,B,2974.641699639439,3233.4425247903196,258.8008251508804,228.74273596704626,1.131405655601516,True,False,False,True,1.131405655601516
static_aggressive,8000015,8,B,3233.4425247903196,3462.185260757367,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,8000016,8,A,3462.185260757367,3525.3418984748755,63.1566377175086,48.19209238871334,1.3105186885867603,True,False,False,True,1.3105186885867603
static_aggressive,8000017,8,B,3525.3418984748755,3806.2786483172763,280.9367498424008,228.74273596704626,1.228177798323064,True,False,False,True,1.228177798323064
static_aggressive,8000018,8,A,3806.2786483172763,3863.4855604732606,57.206912155984355,48.19209238871334,1.18706014452658,True,False,False,True,1.18706014452658
static_aggressive,8000019,8,B,3863.4855604732606,4092.228296440308,228.74273596704734,228.74273596704626,1.0000000000000047,True,True,True,True,1.0
static_aggressive,9000009,9,A,2008.8300545711743,2122.937907841921,114.10785327074677,48.19209238871334,2.3677713005354173,False,False,False,False,2.3677713005354173
static_aggressive,9000010,9,B,2122.937907841921,2426.411425580566,303.4735177386451,228.74273596704626,1.32670231671254,True,False,False,True,1.32670231671254
static_aggressive,9000011,9,B,2426.411425580566,2675.4462326088137,249.03480702824754,228.74273596704626,1.0887113244292255,True,False,False,True,1.0887113244292255
static_aggressive,9000012,9,A,2675.4462326088137,2734.342704239667,58.896471630853284,48.19209238871334,1.2221189973616278,True,False,False,True,1.2221189973616278
static_aggressive,9000013,9,B,2734.342704239667,2987.1508624812427,252.8081582415757,228.74273596704626,1.1052073726966194,True,False,False,True,1.1052073726966194
static_aggressive,9000014,9,B,2987.1508624812427,3218.9098460372034,231.75898355596064,228.74273596704626,1.0131862005416816,True,False,False,True,1.0131862005416816
static_aggressive,9000015,9,A,3218.9098460372034,3267.1019384259153,48.1920923887119,48.19209238871334,0.99999999999997,True,False,True,True,1.0
static_aggressive,9000016,9,B,3267.1019384259153,3499.761296939008,232.65935851309268,228.74273596704626,1.0171223909230966,True,False,False,True,1.0171223909230966
static_aggressive,9000017,9,B,3499.761296939008,3839.373717384659,339.61242044565097,228.74273596704626,1.4846916078444437,True,False,False,True,1.4846916078444437
static_aggressive,9000018,9,A,3839.373717384659,3897.292393677123,57.91867629246417,48.19209238871334,1.201829458353811,True,False,False,True,1.201829458353811
static_aggressive,9000019,9,B,3897.292393677123,4133.916184370156,236.6237906930328,228.74273596704626,1.0344537923474078,True,True,False,True,1.0344537923474078
static_aggressive,10000008,10,B,2297.6345764239786,2526.377312391026,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,True,True,1.0
static_aggressive,10000009,10,B,2526.377312391026,2783.1415745551226,256.76426216409664,228.74273596704626,1.122502365282049,True,False,False,True,1.122502365282049
static_aggressive,10000010,10,B,2783.1415745551226,3032.020696350934,248.87912179581144,228.74273596704626,1.0880307116360894,True,False,False,True,1.0880307116360894
static_aggressive,10000011,10,A,3032.020696350934,3085.536289549747,53.515593198812894,48.19209238871334,1.11046419746959,True,False,False,True,1.11046419746959
static_aggressive,10000012,10,A,3085.536289549747,3134.3929605754165,48.856671025669584,48.19209238871334,1.0137902009233342,True,False,False,True,1.0137902009233342
static_aggressive,10000013,10,A,3134.3929605754165,3185.0236214189604,50.630660843543865,48.19209238871334,1.0506010080484,True,False,False,True,1.0506010080484
static_aggressive,10000014,10,B,3185.0236214189604,3424.2855203728145,239.26189895385414,228.74273596704626,1.0459868722927372,True,False,False,True,1.0459868722927372
