case,label,block,start_s,end_s,duration_ms,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,ssd_busy_ssu_ms,ssd_served_gb,npu_link_busy_npu_ms,npu_link_served_gb,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms,request_weighted_slo_alpha2_pct,ssd_outstanding_blocks_start,ssd_outstanding_blocks_end,ssd_outstanding_blocks_delta,ssd_outstanding_gb_start,ssd_outstanding_gb_end,ssd_outstanding_gb_delta,npu_link_outstanding_blocks_start,npu_link_outstanding_blocks_end,npu_link_outstanding_blocks_delta,npu_link_outstanding_gb_start,npu_link_outstanding_gb_end,npu_link_outstanding_gb_delta,active_remaining_compute_inventory_supported,active_remaining_compute_ms
baseline,Baseline,20,10.0,10.5,500.0,84.32369628687427,95.13412475585938,9.509616381082674,13491.791405899874,1902.6824951171875,76.1072998046875,1521.5386209732278,76.07693104866138,29,11712.552485686881,77.49951171875,151.1306616768423,6.616790986717619,28.626969932914314,1779.2389202129925,51.724137931034484,12790,11312,-1478,2.1463338835482153,1.8983480437044653,-0.2479858398437499,4,184,180,0.00024485382491715445,0.0307051625854018,0.030460308760484646,False,
baseline,Baseline,21,10.5,11.0,500.0,78.05325014932264,95.9267807006836,9.594695568084717,12488.520023891719,1918.5356140136719,76.74142456054688,1535.1512908935547,76.75756454467775,29,10220.784990431464,74.66357421875,136.89118284756256,7.305072388143263,31.438309176111527,2267.7350334602543,44.827586206896555,11312,5194,-6118,1.8983480437044653,0.8714696867708718,-1.0268783569335938,184,88,-96,0.0307051625854018,0.014572807849073707,-0.016132354736328094,False,
baseline,Baseline,22,11.0,11.5,500.0,78.06834008836134,97.31464848303439,9.729135647977818,12490.934414137833,1946.292969660688,77.85171878642757,1556.661703676451,77.83308518382256,27,13758.363712393806,66.974853515625,205.42581267735102,4.867937417244809,26.148137783837385,-1267.4292982559728,66.66666666666666,5194,7013,1819,0.8714696867708718,1.1765502167496034,0.3050805299787316,88,200,112,0.014572807849073707,0.03305775342105507,0.01848494557198136,False,
baseline,Baseline,23,11.5,12.0,500.0,80.82903530504768,95.35946863015215,9.538836699138118,12932.645648807737,1907.189372603043,76.28757490412158,1526.213871862099,76.31069359310493,30,11010.096387877504,75.7525634765625,145.34288851206966,6.8802815895389156,26.779820925392762,1922.5492609302328,56.666666666666664,7013,7288,275,1.1765502167496034,1.2229596876278828,0.04640947087827957,200,62,-138,0.03305775342105507,0.010190698402040614,-0.022867055019014457,False,
baseline,Baseline,24,12.0,12.5,500.0,72.87000232514553,95.65854042765733,9.566434944226671,11659.20037202333,1913.1708085531463,76.526832342126,1530.6295910762674,76.53147955381336,35,14451.230645612106,89.052734375,162.27722536579446,6.1622941712607355,27.206779335422322,-2792.0302735887763,42.857142857142854,7288,7083,-205,1.2229596876278828,1.1884750627871854,-0.034484624840697496,62,33,-29,0.010190698402040614,0.005383507869921283,-0.004807190532119332,False,
baseline,Baseline,25,12.5,13.0,500.0,71.28751675985009,94.35453828563477,9.433496432648964,11406.002681576025,1887.0907657126954,75.48363062850774,1509.359429223834,75.46797146119172,27,13139.068391605952,69.2186279296875,189.8198329639336,5.268153408342759,26.418657801405168,-1733.0657100299268,59.25925925925925,7083,6353,-730,1.1884750627871854,1.065821607130931,-0.12265345565625452,33,126,93,0.005383507869921283,0.020917295701658224,0.01553378783173694,False,
baseline,Baseline,26,13.0,13.5,500.0,77.98369794331215,95.15811744118419,9.518439272804995,12477.391670929921,1903.1623488236837,76.12649395294738,1522.9502836487993,76.14751418243996,33,10252.372059125519,80.966552734375,126.6247816275472,7.897348269009376,26.10108754175873,2225.0196118044023,63.63636363636363,6353,4377,-1976,1.065821607130931,0.7346081107265512,-0.3312134964043797,126,2,-124,0.020917295701658224,0.0002646855273289574,-0.020652610174329265,False,
baseline,Baseline,27,13.5,14.0,500.0,78.72663998559901,95.15476493363113,9.512145381728216,12596.262397695842,1903.0952986726224,76.12381194690488,1521.9432610765143,76.09716305382571,27,10857.33641087463,70.326416015625,154.3848958329167,6.477317580874308,29.76124329663205,1738.925986821212,51.85185185185185,4377,8992,4615,0.7346081107265512,1.5089132292513407,0.7743051185247896,2,161,159,0.0002646855273289574,0.02677411705317563,0.02650943152584667,False,
baseline,Baseline,28,14.0,14.5,500.0,72.94166709728471,96.7501735687256,9.677321466369609,11670.666735565552,1935.0034713745117,77.40013885498047,1548.3714346191373,77.41857173095684,31,11872.800679993334,83.120361328125,142.8386557792308,7.000905984060676,29.00657144127163,-202.1339444277819,41.935483870967744,8992,6903,-2089,1.5089132292513407,1.1582052214388407,-0.3507080078125,161,50,-111,0.02677411705317563,0.008181023791623656,-0.018593093261551976,False,
baseline,Baseline,29,14.5,15.0,500.0,71.20393455975682,95.66693305969238,9.556574408655319,11392.62952956109,1913.3386611938477,76.5335464477539,1529.0519053848511,76.45259526924258,31,16822.527140512077,85.5762939453125,196.57929041964013,5.087005848201447,23.877832592647678,-5429.897610950986,67.74193548387096,6903,6800,-103,1.1582052214388407,1.1410085661654032,-0.0171966552734375,50,532,482,0.008181023791623656,0.0892237550373487,0.08104273124572506,False,
