case,label,window_s,start_s,end_s,npu_utilization_pct,ssd_mean_utilization_pct,npu_link_mean_utilization_pct,compute_busy_npu_ms,admitted_request_count,admitted_compute_ms,admitted_io_gb,admitted_compute_ms_per_io_gb,admitted_io_per_compute_gbps,admitted_mean_raw_demand_gbps,inferred_compute_inventory_drop_ms
adaptive_t0_i100ms,Adaptive 100 ms,8.0,12.5,20.5,71.2749026077303,95.44847667217255,9.544840087099821,182463.75067578958,470,178474.50285269207,1220.3568115234375,146.24780323870417,6.837709544038828,28.834268684579452,3989.2478230975103
adaptive_t0_i100ms,Adaptive 100 ms,8.0,13.0,21.0,70.46241651243926,95.3435486850954,9.534318373753587,180383.78627184452,472,183662.22102803842,1220.15673828125,150.52346576944748,6.643482429056421,28.986342264261335,-3278.434756193892
adaptive_t0_i100ms,Adaptive 100 ms,8.0,13.5,21.5,71.72687649159855,94.63894869041337,9.464142723789896,183620.8038184923,463,177746.98064046784,1198.9140625,148.2566484121691,6.745060074607209,28.82440574579265,5873.823178024468
adaptive_t0_i100ms,Adaptive 100 ms,8.0,14.0,22.0,71.60033078246639,94.66639774800102,9.467084333479868,183296.84680311396,471,188149.50903357923,1224.6751708984375,153.63217406910465,6.509053237443572,28.15083220003943,-4852.66223046527
adaptive_t0_i100ms,Adaptive 100 ms,8.0,14.5,22.5,71.65573543541927,94.66325505224688,9.46627496488178,183438.68271467334,474,182606.16460870637,1210.9775390625,150.79236296164024,6.631635583921368,28.444228973050095,832.5181059669703
adaptive_t0_i100ms,Adaptive 100 ms,8.0,15.0,23.0,71.41578868973923,94.87019006697443,9.487020985678525,182824.41904573244,485,180838.7423170856,1220.2144775390625,148.20242313613792,6.747528001491619,28.18574977495142,1985.676728646853
adaptive_t0_i100ms,Adaptive 100 ms,8.0,15.5,23.5,70.6338691960268,94.77957644429036,9.477698425315669,180822.7051418286,483,177671.23347146585,1206.07373046875,147.31374126058822,6.788233001503006,28.638284104597663,3151.471670362749
adaptive_t0_i100ms,Adaptive 100 ms,8.0,16.0,24.0,70.30778192588076,94.76635071809618,9.476649609661903,179987.92173025475,490,185297.79267284047,1215.2703857421875,152.47453969651022,6.558472004509272,28.830223098452652,-5309.870942585723
adaptive_t0_i100ms,Adaptive 100 ms,8.0,16.5,24.5,71.6996083981274,94.73237204473732,9.473254793705918,183550.99749920613,488,185378.8291065971,1210.0792236328125,153.1956135483974,6.527602043149106,28.78228119607997,-1827.831607390981
adaptive_t0_i100ms,Adaptive 100 ms,8.0,17.0,25.0,73.79985048008437,94.13743342676875,9.412746036252729,188927.617229016,484,185086.1541806114,1195.412109375,154.8304159955184,6.458679281911541,28.062781834401566,3841.4630484046065
adaptive_t0_i100ms,Adaptive 100 ms,8.0,17.5,25.5,74.2544466814022,94.09045941947963,9.409037341189114,190091.38350438964,485,192429.6781399197,1200.4381103515625,160.2995410430317,6.238321042550924,27.36706445343148,-2338.2946355300664
adaptive_t0_i100ms,Adaptive 100 ms,8.0,18.0,26.0,73.64314271543985,94.0461862792036,9.40430221751234,188526.44535152602,494,194596.4518719747,1215.551025390625,160.0890853672226,6.246522039314148,28.23234348873801,-6070.006520448689
