label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,window_start_ms,window_end_ms,seq_len_k,nql,compute_ms,active_ms,fleet_time_compute_share,fleet_time_active_share,profile_active_compute_fraction,all_active
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,1024,2897.733731055224,2958.189391037129,0.09055417909547575,0.09244341846991029,0.9795632895699387,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,2048,16546.632314047616,16742.390335851684,0.517082259813988,0.5231996979953651,0.9883076419867671,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,32,128,1263.3470812800315,1337.0403625146992,0.03947959629000099,0.04178251132858435,0.9448832785451101,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,48,256,3190.517768317774,3198.7303266281633,0.09970368025993044,0.09996032270713011,0.9974325568360599,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,64,512,7285.33541795705,7735.382307000082,0.2276667318111578,0.24173069709375256,0.9418196966637622,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,1024,3830.3964498429164,3940.309287062613,0.11969988905759113,0.12313466522070665,0.972105530502243,True
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,2048,15603.5522680728,15788.537716794446,0.487611008377275,0.49339180364982643,0.9882835603879342,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,32,128,1312.94624874816,1417.3454624864435,0.04102957027338,0.04429204570270136,0.9263417307202323,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,48,256,3084.761561490679,3145.8235692553544,0.09639879879658372,0.09830698653922983,0.9805895001991071,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,64,512,7446.011071857749,8291.75656985366,0.23268784599555464,0.2591173928079269,0.8980016488821213,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,1024,3025.889370994075,3096.103073392529,0.09455904284356484,0.09675322104351654,0.9773219105649742,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,2048,15746.429862157587,16048.971325012018,0.4920759331924246,0.5015303539066256,0.9811488564140602,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,32,128,1373.8192227638615,1575.5501857585177,0.04293185071137067,0.04923594330495368,0.8719615758240434,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,48,256,3116.436517456485,3194.6426119599273,0.09738864117051516,0.09983258162374772,0.9755196107975713,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,64,512,7306.755764033456,7719.488206144608,0.2283361176260455,0.241234006442019,0.9465337039076474,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,1024,2645.8429462281356,2727.8893424616904,0.08268259206962923,0.08524654195192782,0.9699231215297337,True
raw_size_varied_rho097_seed7,raw,7,strategy1_pipeline,strategy1,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,2048,16500.099566162284,16782.429653675255,0.5156281114425714,0.5244509266773517,0.9831770432923493,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,32,128,1328.465449105882,1461.4770401293065,0.041514545284558814,0.04567115750404083,0.9089882445148396,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,48,256,3068.2407148219017,3149.9092025001337,0.09588252233818442,0.09843466257812918,0.9740727486324335,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,64,512,7389.445914816872,8345.172957708517,0.23092018483802723,0.26078665492839115,0.8854754661485079,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,1024,2976.8391495440183,3099.616713633319,0.09302622342325056,0.09686302230104121,0.9603894366844529,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,2048,15666.454547975585,15943.82408602873,0.489576704624237,0.4982445026883978,0.9826033242366116,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,32,128,1410.2300251075433,1535.6324759140896,0.04406968828461073,0.0479885148723153,0.9183382399282093,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,48,256,3174.8726628271975,3253.913385231066,0.09921477071334991,0.10168479328847081,0.9757090269327326,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,64,512,7411.417534191852,7922.931967994549,0.23160679794349537,0.24759162399982967,0.9354387446630856,True
raw_size_varied_rho097_seed7,raw,7,strategy2_pipeline,strategy2,pipeline,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,192,1024,2774.3310128188728,2826.850623659344,0.08669784415058977,0.0883390819893545,0.9814211580898871,True
