order,strategy,start_ms,end_ms,npu,U_percent,compute_ms,active_ms,computed_roles
random,baseline,2000.0,20000.0,30,98.63762097796206,17754.77177603317,18000.0,"A,B"
random,baseline,2000.0,20000.0,31,99.3863377458035,17889.54079424463,18000.0,"A,B"
ordered,baseline,2000.0,4000.0,0,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,1,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,2,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,3,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,4,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,5,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,6,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,7,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,8,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,9,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,10,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,11,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,12,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,13,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,14,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,15,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,16,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,17,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,18,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,19,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,20,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,21,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,22,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,23,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,24,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,25,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,26,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,27,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,28,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,29,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,30,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,4000.0,31,70.23488417014009,1404.6976834028019,2000.0,"A,B"
ordered,baseline,2000.0,20000.0,0,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,1,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,2,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,3,71.33729586754244,12840.71325615764,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,4,71.33729586754245,12840.713256157642,18000.0,"A,B"
ordered,baseline,2000.0,20000.0,5,71.33729586754244,12840.71325615764,18000.0,"A,B"
