label,group,seed,strategy,start_ms,end_ms,device_U_percent,occupied_percent,tail_idle_percent,exposed_stall_percent,occupied_compute_fraction_percent,all_32_active,compute_ms,occupied_ms,tail_idle_ms,l0_stall_ms,l1_7_stall_ms
raw176_extendedhot_ordered_seed19,ordered,19,baseline,0,4000,90.00502086998114,100.0,0.0,9.994979130018864,90.00502086998114,True,115206.42671357586,128000.0,0.0,2127.8944547198435,10665.678831704305
raw176_extendedhot_ordered_seed19,ordered,19,baseline,2000,4250,90.65535845813896,100.0,0.0,9.344641541861032,90.65535845813896,True,65271.858089860056,72000.0,0.0,863.8608117247122,5864.28109841523
raw176_extendedhot_ordered_seed19,ordered,19,baseline,2000,5000,84.29050815827178,91.29898931466755,8.701010685332447,7.008481156395773,92.32359393131877,False,80918.88783194091,87647.02974208085,8352.970257919149,863.8608117247122,5864.28109841523
raw176_extendedhot_ordered_seed19,ordered,19,baseline,2000,6000,72.59288111870384,77.84924198600066,22.150758013999337,5.256360867296831,93.24802562850637,False,92918.88783194091,99647.02974208085,28352.97025791915,863.8608117247122,5864.28109841523
raw176_extendedhot_ordered_seed19,ordered,19,baseline,2000,8000,57.61171353316245,61.11595411136033,38.88404588863967,3.5042405781978867,94.26624253985669,False,110614.4899836719,117342.63189381183,74657.36810618817,863.8608117247122,5864.28109841523
raw176_extendedhot_ordered_seed43,ordered,43,baseline,2000,4000,89.57182648331343,100.0,0.0,10.428173516686574,89.57182648331343,True,57325.968949320595,64000.0,0.0,847.7413506545306,5826.289700024876
raw176_extendedhot_ordered_seed43,ordered,43,baseline,1000,4000,90.24438264263753,100.0,0.0,9.755617357362482,90.24438264263753,True,86634.60733693202,96000.0,0.0,1154.681083581085,8210.711579486899
raw176_extendedhot_ordered_seed43,ordered,43,baseline,0,4000,90.06907194059536,100.0,0.0,9.930928059404627,90.06907194059536,True,115288.41208396207,128000.0,0.0,2061.3100662429465,10650.277849794977
raw176_extendedhot_ordered_seed43,ordered,43,baseline,2000,4250,90.73051242961193,100.0,0.0,9.269487570388065,90.73051242961193,True,65325.968949320595,72000.0,0.0,847.7413506545306,5826.289700024876
raw176_extendedhot_ordered_seed43,ordered,43,baseline,2000,5000,84.29807716702229,91.25019284481334,8.749807155186662,6.952115677791048,92.38125919403336,False,80926.1540803414,87600.1851310208,8399.814868979196,847.7413506545306,5826.289700024876
raw176_extendedhot_ordered_seed43,ordered,43,baseline,2000,6000,72.59855787526672,77.81264463361,22.187355366389998,5.214086758343287,93.2991780668882,False,92926.1540803414,99600.1851310208,28399.814868979196,847.7413506545306,5826.289700024876
raw176_extendedhot_ordered_seed43,ordered,43,baseline,2000,8000,57.597195558721985,61.073253397617506,38.926746602382494,3.476057838895524,94.30837945333509,False,110586.61547274621,117260.64652342562,74739.35347657438,847.7413506545306,5826.289700024876
raw176_extendedhot_ordered_seed67,ordered,67,baseline,2000,4000,89.51820982729784,100.0,0.0,10.481790172702166,89.51820982729784,True,57291.654289470614,64000.0,0.0,863.5861213126077,5844.759589216777
raw176_extendedhot_ordered_seed67,ordered,67,baseline,1000,4000,90.23309617802717,100.0,0.0,9.766903821972843,90.23309617802717,True,86623.77233090607,96000.0,0.0,1238.5509178524662,8137.676751241462
raw176_extendedhot_ordered_seed67,ordered,67,baseline,0,4000,90.00230311072278,100.0,0.0,9.997696889277218,90.00230311072278,True,115202.94798172516,128000.0,0.0,2136.1623947378853,10660.889623536956
raw176_extendedhot_ordered_seed67,ordered,67,baseline,2000,4250,90.6828531798203,100.0,0.0,9.317146820179703,90.6828531798203,True,65291.654289470614,72000.0,0.0,863.5861213126077,5844.759589216777
raw176_extendedhot_ordered_seed67,ordered,67,baseline,2000,5000,84.28427833237897,91.27213844751377,8.727861552486248,6.987860115134777,92.34392857010448,False,80912.90719908381,87621.2529096132,8378.747090386798,863.5861213126077,5844.759589216777
raw176_extendedhot_ordered_seed67,ordered,67,baseline,2000,6000,72.58820874928422,77.82910383563532,22.170896164364688,5.240895086351083,93.26615002863304,False,92912.90719908381,99621.2529096132,28378.747090386798,863.5861213126077,5844.759589216777
raw176_extendedhot_ordered_seed67,ordered,67,baseline,2000,8000,57.62383589329851,61.11776595086591,38.8822340491341,3.4939300575673884,94.28328244135061,False,110637.76491513314,117346.11062566254,74653.88937433746,863.5861213126077,5844.759589216777
raw176_extendedhot_ordered_seed101,ordered,101,baseline,2000,4000,89.48031816243261,100.0,0.0,10.519681837567392,89.48031816243261,True,57267.40362395687,64000.0,0.0,861.7938774830577,5870.802498560073
raw176_extendedhot_ordered_seed101,ordered,101,baseline,1000,4000,90.1673793162891,100.0,0.0,9.83262068371091,90.1673793162891,True,86560.68414363753,96000.0,0.0,1239.834121918743,8199.481734443732
raw176_extendedhot_ordered_seed101,ordered,101,baseline,0,4000,90.03119714853331,100.0,0.0,9.968802851466696,90.03119714853331,True,115239.93235012263,128000.0,0.0,2131.2682009502782,10628.799448927093
raw176_extendedhot_ordered_seed101,ordered,101,baseline,2000,4250,90.6491716999401,100.0,0.0,9.350828300059904,90.6491716999401,True,65267.40362395687,72000.0,0.0,861.7938774830577,5870.802498560073
raw176_extendedhot_ordered_seed101,ordered,101,baseline,2000,5000,84.29818887058181,91.31131009562674,8.688689904373254,7.013121225044928,92.31954812859396,False,80926.26131575854,87658.85769180168,8341.142308198323,861.7938774830577,5870.802498560073
raw176_extendedhot_ordered_seed101,ordered,101,baseline,2000,6000,72.59864165293637,77.85848257172006,22.141517428279943,5.259840918783696,93.24435726840869,False,92926.26131575854,99658.85769180168,28341.142308198323,861.7938774830577,5870.802498560073
raw176_extendedhot_ordered_seed101,ordered,101,baseline,2000,8000,57.591942646469754,61.09850325899222,38.90149674100778,3.506560612522464,94.2608076704295,False,110576.52988122193,117309.12625726506,74690.87374273494,861.7938774830577,5870.802498560073
raw176_extendedhot_ordered_seed7,ordered,7,once,2000,4000,99.20806391144,100.0,0.0,0.791936088560005,99.20806391144,True,63493.160903321594,64000.0,0.0,202.27934664989198,304.5597500285112
raw176_extendedhot_ordered_seed7,ordered,7,once,1000,4000,99.47204260762666,100.0,0.0,0.5279573923733366,99.47204260762666,True,95493.1609033216,96000.0,0.0,202.27934664989198,304.5597500285112
raw176_extendedhot_ordered_seed7,ordered,7,once,0,4000,98.99781795707342,100.0,0.0,1.0021820429265722,98.99781795707342,True,126717.20698505398,128000.0,0.0,892.0562122260638,390.7368027199488
raw176_extendedhot_ordered_seed7,ordered,7,once,2000,4250,99.29605681016889,100.0,0.0,0.7039431898311155,99.29605681016889,True,71493.1609033216,72000.0,0.0,202.27934664989198,304.5597500285112
raw176_extendedhot_ordered_seed7,ordered,7,once,2000,5000,90.9512615758269,91.47921896820024,8.520781031799762,0.5279573923733366,99.42286630960758,False,87313.21111279383,87820.05020947223,8179.949790527772,202.27934664989198,304.5597500285112
raw176_extendedhot_ordered_seed7,ordered,7,once,2000,6000,77.58844618187018,77.98441422615018,22.01558577384982,0.3959680442800025,99.49224720322741,False,99313.21111279383,99820.05020947223,28179.94979052777,202.27934664989198,304.5597500285112
raw176_extendedhot_ordered_seed7,ordered,7,once,2000,8000,54.85677735711204,55.1207560532987,44.8792439467013,0.2639786961866683,99.5210902115867,False,105325.0125256551,105831.8516223335,86168.1483776665,202.27934664989198,304.5597500285112
raw176_extendedhot_ordered_seed19,ordered,19,once,2000,4000,99.26172929194749,100.0,0.0,0.7382707080525187,99.26172929194749,True,63527.50674684639,64000.0,0.0,104.14999610936502,368.3432570442469
raw176_extendedhot_ordered_seed19,ordered,19,once,1000,4000,99.50781952796498,100.0,0.0,0.4921804720350125,99.50781952796498,True,95527.50674684638,96000.0,0.0,104.14999610936502,368.3432570442469
raw176_extendedhot_ordered_seed19,ordered,19,once,0,4000,99.02735502869372,100.0,0.0,0.9726449713062718,99.02735502869372,True,126755.01443672797,128000.0,0.0,794.2954243808493,450.69013889117866
raw176_extendedhot_ordered_seed19,ordered,19,once,2000,4250,99.34234471955016,100.0,0.0,0.6576552804498426,99.34234471955016,True,71526.48819807611,72000.0,0.0,104.14999610936502,369.36180581452163
raw176_extendedhot_ordered_seed19,ordered,19,once,2000,5000,91.08761592241433,91.58085738275172,8.41914261724829,0.4932414603373819,99.46141423608219,False,87444.11128551775,87917.62308744164,8082.376912558359,104.14999610936502,369.36180581452163
raw176_extendedhot_ordered_seed19,ordered,19,once,2000,6000,77.69071194181075,78.06064303706378,21.939356962936216,0.36993109525303647,99.52609781208517,False,99444.11128551775,99917.62308744164,28082.37691255836,104.14999610936502,369.36180581452163
raw176_extendedhot_ordered_seed19,ordered,19,once,2000,8000,54.854974436201,55.10159516636969,44.89840483363031,0.24662073016869096,99.55242542539094,False,105321.55091750591,105795.0627194298,86204.9372805702,104.14999610936502,369.36180581452163
raw176_extendedhot_ordered_seed43,ordered,43,once,2000,4000,99.33054977061974,100.0,0.0,0.6694502293802685,99.33054977061974,True,63571.55185319663,64000.0,0.0,51.81146839606208,376.6366784073098
raw176_extendedhot_ordered_seed43,ordered,43,once,1000,4000,99.55369984707981,100.0,0.0,0.446300152920179,99.55369984707981,True,95571.55185319662,96000.0,0.0,51.81146839606208,376.6366784073098
raw176_extendedhot_ordered_seed43,ordered,43,once,0,4000,99.04614662794663,100.0,0.0,0.9538533720533635,99.04614662794663,True,126779.06768377169,128000.0,0.0,759.1474751343433,461.78484109396214
raw176_extendedhot_ordered_seed43,ordered,43,once,2000,4250,99.40493312943975,100.0,0.0,0.5950668705602387,99.40493312943975,True,71571.55185319662,72000.0,0.0,51.81146839606208,376.6366784073098
raw176_extendedhot_ordered_seed43,ordered,43,once,2000,5000,91.11961783976052,91.5659179926807,8.434082007319297,0.446300152920179,99.5125914066019,False,87474.8331261701,87903.28127297347,8096.718727026526,51.81146839606208,376.6366784073098
raw176_extendedhot_ordered_seed43,ordered,43,once,2000,6000,77.71471337982038,78.04943849451053,21.950561505489475,0.3347251146901343,99.57113706242271,False,99474.8331261701,99903.28127297347,28096.718727026528,51.81146839606208,376.6366784073098
raw176_extendedhot_ordered_seed43,ordered,43,once,2000,8000,54.86538686292314,55.08853693938323,44.91146306061677,0.2231500764600895,99.59492466335486,False,105341.54277681242,105769.9909236158,86230.0090763842,51.81146839606208,376.6366784073098
raw176_extendedhot_ordered_seed67,ordered,67,once,2000,4000,99.28689215174124,100.0,0.0,0.7131078482587547,99.28689215174124,True,63543.6109771144,64000.0,0.0,188.88579986715013,267.5032230184529
raw176_extendedhot_ordered_seed67,ordered,67,once,1000,4000,99.52459476782751,100.0,0.0,0.4754052321725032,99.52459476782751,True,95543.6109771144,96000.0,0.0,188.88579986715013,267.5032230184529
raw176_extendedhot_ordered_seed67,ordered,67,once,0,4000,99.03236670826422,100.0,0.0,0.9676332917357856,99.03236670826422,True,126761.4293865782,128000.0,0.0,904.8113781386345,333.75923528317105
raw176_extendedhot_ordered_seed67,ordered,67,once,2000,4250,99.35290463141764,100.0,0.0,0.6470953685823518,99.35290463141764,True,71534.09133462071,72000.0,0.0,188.88579986715013,277.0228655121432
raw176_extendedhot_ordered_seed67,ordered,67,once,2000,5000,90.96337298829778,91.45559422710134,8.544405772898662,0.49222123880356555,99.46179209378785,False,87324.83806876586,87797.37045801729,8202.629541982715,188.92310894170805,283.6092803097149
raw176_extendedhot_ordered_seed67,ordered,67,once,2000,6000,77.59752974122334,77.966695670326,22.033304329673996,0.36916592910267415,99.52650817643516,False,99324.83806876586,99797.37045801729,28202.629541982715,188.92310894170805,283.6092803097149
raw176_extendedhot_ordered_seed67,ordered,67,once,2000,8000,54.860020936418586,55.10613155582037,44.89386844417963,0.24611061940178278,99.55338795801248,False,105331.24019792369,105803.7725871751,86196.2274128249,188.92310894170805,283.6092803097149
raw176_extendedhot_ordered_seed101,ordered,101,once,2000,4000,99.23963642897233,100.0,0.0,0.7603635710276769,99.23963642897233,True,63513.36731454229,64000.0,0.0,180.4829157240424,306.14976973367084
