scenario,policy,latency_ratio,macro_cdf
semi,once,1.000000000000016,0.7426491394784077
semi,once,1.0000000000000586,0.7706060606060605
semi,once,1.0000000000001046,0.7966539964100939
semi,once,1.0001007120900864,0.7985587583148558
semi,once,1.0004160880207031,0.8005912786400592
semi,once,1.0004981111109925,0.8026237989652624
semi,once,1.0005881446212312,0.8046563192904657
semi,once,1.0007222986269275,0.8066888396156688
semi,once,1.0011727946539843,0.8087213599408721
semi,once,1.0013527118086845,0.810626121845634
semi,once,1.001402413009313,0.8127906240101361
semi,once,1.0014671529531645,0.8146953859148981
semi,once,1.0015994944234108,0.81660014781966
semi,once,1.0024575258940047,0.8185049097244219
semi,once,1.00272320933775,0.8205374300496251
semi,once,1.0028923922824435,0.8224421919543871
semi,once,1.0032889553928663,0.8243469538591489
semi,once,1.0034624064951054,0.8265114560236512
semi,once,1.0043391253579266,0.828416217928413
semi,once,1.0043767090392142,0.8305807200929153
semi,once,1.0043934919696758,0.8324854819976771
semi,once,1.0044100208215998,0.8346499841621794
semi,once,1.004590875257489,0.8368144863266815
semi,once,1.005182126006583,0.8387192482314433
semi,once,1.0053159917881094,0.8406240101362052
semi,once,1.0073562137860435,0.8427885123007074
semi,once,1.007932049104607,0.8446932742054694
semi,once,1.0095475153890159,0.8468577763699714
semi,once,1.0096679529624561,0.8488902966951747
semi,once,1.0099333266103727,0.8510547988596769
