case,window_kind,start_s,end_s,U_percent,all_npus_active,mixed_npus,strict_nominal_underload,disk0_mean_GiB_s,disk1_mean_GiB_s,disk2_mean_GiB_s,disk0_peak_GiB_s,disk1_peak_GiB_s,disk2_peak_GiB_s,disk0_overload_percent,disk1_overload_percent,disk2_overload_percent,internal_layer_stall_card_ms,layer_zero_stall_card_ms,SLO_1p5_percent,SLO_count
a128_group4_8_prefix2_60s_od_baseline_full,predefined_interval,0.0,20.0,81.11175571879305,True,32,False,74.66923912548125,82.32206939118066,80.14614548774603,290.33184751336665,324.0460063896789,312.4271599009002,23.364338430360572,23.364338430360572,23.364338430360572,104724.4211348233,16160.3422649012,64.56766917293233,1064
a128_group4_8_prefix2_60s_od_baseline_full,predefined_interval,2.0,4.0,53.99219440851266,True,32,False,153.8041939683562,170.4022142139135,166.0654853903288,287.5734163325775,323.0708034469757,310.56034283915403,52.83964849321899,52.83964849321899,52.83964849321899,25597.63273372523,3847.362844826668,50.0,128
a128_group4_8_prefix2_60s_od_baseline_full,predefined_interval,4.0,8.0,100.0,True,0,True,17.995926651673177,19.938642415985665,19.346426579216143,18.288271512130734,20.284011846853634,19.632599314453124,0.0,0.0,0.0,0.0,0.0,100.0,160
a128_group4_8_prefix2_60s_od_baseline_full,predefined_interval,8.0,12.0,68.31795778314421,True,32,False,114.09449705889715,125.95558288949438,122.31403480470718,289.3287816294433,320.11733167764584,312.4271599009002,38.59502455690317,38.59502455690317,38.59502455690317,35585.73693830449,4967.277099270903,48.79032258064516,248
a128_group4_8_prefix2_60s_od_baseline_full,predefined_interval,12.0,20.0,85.74889279126587,True,32,False,61.887037933196346,68.06170641930622,66.48856794250496,281.9957361198761,308.7389588804901,303.0020059843597,20.059356560807327,20.059356560807327,20.059356560807327,31957.604029455,4525.230424904385,69.5,400
a128_group4_8_prefix2_60s_od_baseline_full,predefined_interval,20.0,40.0,89.0508699754168,True,32,False,54.63483737682062,60.17727543004885,58.43460157413203,258.14363491560056,284.86244549981683,272.1931918093048,22.627661462358553,22.73423154438613,22.627661462358553,61456.15115114328,8618.28100618915,74.64539007092199,1128
a128_group4_8_prefix2_60s_od_baseline_full,predefined_interval,40.0,60.0,95.19423130832024,True,32,False,38.609758676242365,42.38223303358574,41.42192944293577,169.04880625951537,186.92954732853696,182.47041378396605,20.320699351785805,20.522172486455165,20.320699351785805,27041.74968502937,3715.169941721062,84.22818791946308,1192
a128_group4_8_prefix2_60s_od_baseline_full,predefined_interval,20.0,60.0,92.12255064186853,True,32,False,46.62229802653142,51.27975423181724,49.92826550853406,258.14363491560056,284.86244549981683,272.1931918093048,21.474180407072183,21.628202015420648,21.474180407072183,88497.90083617264,12333.450947910213,79.56896551724138,2320
short_ABB,continuous_2s,0.0,2.0,77.63664325751178,True,32,False,82.08226178308803,89.61638592118479,86.96101062877844,290.33184751336665,318.7241846166412,307.2167898927429,25.71466814381763,25.71466814381763,25.71466814381763,11510.577019561772,2801.971295630694,50.0,128
short_ABB,continuous_2s,2.0,4.0,79.85072967787411,True,32,False,75.75420729175092,84.00714119603228,81.85925642383798,285.2886551525299,318.7241846166412,307.2167898927429,29.031738151141802,29.031738151141802,29.031738151141802,11547.16543044547,1348.3675757150954,72.38095238095238,105
short_ABB,continuous_2s,4.0,6.0,89.03890732641882,True,32,False,49.57815550405259,54.8691388436677,53.330523852778626,211.0837258258209,233.3114564839233,227.92966212513426,24.40695614683259,24.40695614683259,24.40695614683259,5694.167694918605,1320.9316161733504,80.0,120
short_ABB,continuous_2s,6.0,8.0,94.93975523734424,True,32,False,36.42164656297112,40.008282941069375,39.17955178963407,169.88002261306454,185.52058524563597,182.2264944216339,19.279169365546434,19.279169365546434,19.279169365546434,2829.3373843035824,409.21926379609795,80.0,105
short_ABB,continuous_2s,8.0,10.0,97.1846283571075,True,32,False,32.09050840240037,35.62968544691787,34.61390758351607,127.0064018149475,139.68091583124388,137.5427909725708,16.185335460663556,16.185335460663556,16.185335460663556,1593.9316000594881,207.90625139170515,88.88888888888889,117
short_ABB,continuous_2s,10.0,12.0,98.13626060690437,True,32,False,30.698435027316265,34.06216597487614,32.52821804766498,94.53457158417662,103.47189696427917,99.44758041514892,19.69037869303447,20.8090753668027,19.69037869303447,1031.2191282092244,161.57408337197194,92.0,125
short_ABB,continuous_2s,12.0,14.0,98.77447270104763,True,32,False,29.492950314920982,32.27815017116988,31.922840659064708,85.64019283792418,93.68276967191161,91.51917478159788,15.386164164775437,15.386164164775437,15.386164164775437,695.7743146918965,88.5631566376178,93.4959349593496,123
short_ABB,continuous_2s,14.0,16.0,98.77913272307133,True,32,False,29.092808603443363,32.353302102285085,31.406381862473392,67.75802824902648,76.28685702481383,74.70354875408019,19.263241562089753,19.263241562089753,19.263241562089753,675.5952462964233,105.75981093793234,92.1259842519685,127
short_ABB,predefined_interval,2.0,4.0,79.85072967787411,True,32,False,75.75420729175092,84.00714119603228,81.85925642383798,285.2886551525299,318.7241846166412,307.2167898927429,29.031738151141802,29.031738151141802,29.031738151141802,11547.16543044547,1348.3675757150954,72.38095238095238,105
short_ABB,predefined_interval,4.0,8.0,91.98933128188153,True,32,False,42.999901033511875,47.43871089236856,46.25503782120632,211.0837258258209,233.3114564839233,227.92966212513426,21.843062756189507,21.843062756189507,21.843062756189507,8523.505079222188,1730.1508799694484,80.0,225
short_ABB,predefined_interval,8.0,12.0,97.66044448200594,True,32,False,31.39447171485831,34.845925710896985,33.57106281559055,127.0064018149475,139.68091583124388,137.5427909725708,17.937857076849014,18.49720541373313,17.937857076849014,2625.1507282687126,369.4803347636771,90.49586776859505,242
short_shuffled,continuous_2s,0.0,2.0,91.8068389588425,True,26,False,43.78064390257548,48.427505706201806,47.44854932602006,93.30536399554137,104.174200233078,101.79454382753904,45.34715020097003,45.34715020097003,45.34715020097003,3491.0689329444986,1752.5541333962967,70.2127659574468,141
