request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,admission_ms,completion_ms,execution_ttft_ms,arrival_ttft_ms,slo15_ms,slo15_met
5,0,L,LL,long,fifo,200.0,2047,272.2513427734375,70.70606754144755,3.7602211687325573,6.6467612981796265,False,780.0254427399175,1347.1909769689353,567.1655342290178,1347.1909769689353,848.4728104973707,True
3000005,3,S,SL,short,fifo,20.0,1177,25.9195556640625,6.005768968012607,4.214625339902502,0.6328016519546509,True,786.0441336675354,850.8928696120287,64.84873594449323,850.8928696120287,72.06922761615128,True
4000005,4,S,SL,short,fifo,20.0,1156,25.94775390625,5.90120769659447,4.293969086818534,0.6334900856018066,True,795.2243136372106,855.8481425893319,60.62382895212136,855.8481425893319,70.81449235913364,True
6000005,6,S,SL,short,fifo,20.0,1176,25.9208984375,6.000789859849838,4.2183409137084045,0.6328344345092773,True,803.1481575661597,861.760706384196,58.612548818036316,861.760706384196,72.00947831819806,True
3000006,3,S,SL,short,fifo,20.0,1150,25.955810546875,5.8713330476178625,4.317157795616224,0.6336867809295654,True,850.8928696120287,922.1546004658964,71.26173085386768,922.1546004658964,70.45599657141435,False
4000006,4,S,SL,short,fifo,20.0,1131,25.9813232421875,5.776729992525263,4.392171005314261,0.6343096494674683,True,855.8481425893319,926.8245038283212,70.97636123898928,926.8245038283212,69.32075991030317,False
7000006,7,L,LL,long,fifo,200.0,2054,272.241943359375,70.9473598639265,3.7473032586666837,6.646531820297241,False,860.7981223048962,1428.3770012163084,567.5788789114122,1428.3770012163084,851.368318367118,True
6000006,6,L,LL,long,fifo,200.0,2052,272.24462890625,70.87841918967037,3.7509851158616985,6.646597385406494,False,861.760706384196,1437.3491496765669,575.5884432923708,1437.3491496765669,850.5410302760445,True
3000007,3,S,SL,short,fifo,20.0,1157,25.9464111328125,5.90618680475724,4.290127108996627,0.6334573030471802,True,922.1546004658964,981.3202157905821,59.165615324685746,981.3202157905821,70.87424165708688,True
4000007,4,S,SL,short,fifo,20.0,1153,25.9517822265625,5.886270372106166,4.305534018743905,0.633588433265686,True,926.8245038283212,986.4934680332118,59.668964204890585,986.4934680332118,70.635244465274,True
3000008,3,S,SL,short,fifo,20.0,1127,25.9866943359375,5.756813559874192,4.408277413103085,0.6344407796859741,True,981.3202157905821,1040.123132607512,58.80291681692984,1040.123132607512,69.0817627184903,True
4000008,4,S,SL,short,fifo,20.0,1173,25.9249267578125,5.985852535361533,4.229524723063889,0.6329327821731567,True,986.4934680332118,1045.9322354800177,59.438767446805855,1045.9322354800177,71.8302304243384,True
3000009,3,L,LL,long,fifo,200.0,2044,272.25537109375,70.6026566423159,3.7657844403887153,6.646859645843506,False,1040.123132607512,1606.0649066833882,565.9417740758763,1606.0649066833882,847.2318797077909,True
4000009,4,S,SL,short,fifo,20.0,1176,25.9208984375,6.000789859849838,4.2183409137084045,0.6328344345092773,True,1045.9322354800177,1108.9853854951411,63.05315001512349,1108.9853854951411,72.00947831819806,True
1000010,1,L,LL,long,fifo,200.0,2046,272.252685546875,70.671597241737,3.7620737836154694,6.646794080734253,False,1071.9941401075569,1637.3669180414522,565.3727779338953,1637.3669180414522,848.059166900844,True
4000010,4,L,LL,long,fifo,200.0,2048,272.25,70.74053784115809,3.7583703593261717,6.646728515625,False,1108.9853854951411,1675.558983813775,566.5735983186339,1675.558983813775,848.886454093897,True
2000011,2,L,LL,long,fifo,200.0,2052,272.24462890625,70.87841918967037,3.7509851158616985,6.646597385406494,False,1132.1293480856336,1699.1567016029974,567.0273535173637,1699.1567016029974,850.5410302760445,True
5000004,5,S,SL,short,fifo,20.0,1149,25.9571533203125,5.866353939455093,4.32104554225418,0.6337195634841919,True,1250.0113626166858,1303.8056685007996,53.79430588411378,1303.8056685007996,70.39624727346113,True
5000005,5,S,SL,short,fifo,20.0,1148,25.95849609375,5.861374831292325,4.324939894001542,0.6337523460388184,True,1303.8056685007996,1354.0048426629576,50.19917416215799,1354.0048426629576,70.3364979755079,True
6,0,S,SL,short,fifo,20.0,1154,25.950439453125,5.891249480268936,4.3016725252120045,0.6335556507110596,True,1347.1909769689353,1403.3459826364874,56.15500566755213,1403.3459826364874,70.69499376322723,True
5000006,5,L,LL,long,fifo,200.0,2044,272.25537109375,70.6026566423159,3.7657844403887153,6.646859645843506,False,1354.0048426629576,1923.5162021826832,569.5113595197256,1923.5162021826832,847.2318797077909,True
7,0,S,SL,short,fifo,20.0,1170,25.928955078125,5.970915210873229,4.240764489063694,0.6330311298370361,True,1403.3459826364874,1457.8284890591137,54.48250642262633,1457.8284890591137,71.65098253047874,True
7000007,7,S,SL,short,fifo,20.0,1139,25.9705810546875,5.81656285782741,4.360289088441379,0.6340473890304565,True,1428.3770012163084,1477.0716675326648,48.69466631635646,1477.0716675326648,69.79875429392891,True
6000007,6,S,SL,short,fifo,20.0,1126,25.988037109375,5.751834451711423,4.412321443304523,0.6344735622406006,True,1437.3491496765669,1490.0400215517022,52.69087187513537,1490.0400215517022,69.02201342053706,True
8,0,S,SL,short,fifo,20.0,1150,25.955810546875,5.8713330476178625,4.317157795616224,0.6336867809295654,True,1457.8284890591137,1509.8117812874505,51.98329222833672,1509.8117812874505,70.45599657141435,True
7000008,7,S,SL,short,fifo,20.0,1167,25.9329833984375,5.955977886384923,4.252060632718056,0.6331294775009155,True,1477.0716675326648,1530.9882970887306,53.9166295560658,1530.9882970887306,71.47173463661908,True
6000008,6,S,SL,short,fifo,20.0,1174,25.923583984375,5.990831643524301,4.2257905898768096,0.6328999996185303,True,1490.0400215517022,1541.806931720477,51.76691016877476,1541.806931720477,71.88997972229161,True
9,0,S,SL,short,fifo,20.0,1132,25.97998046875,5.781709100688032,4.388161741567813,0.6342768669128418,True,1509.8117812874505,1559.3414779212394,49.529696633788944,1559.3414779212394,69.3805092082564,True
7000009,7,S,SL,short,fifo,20.0,1136,25.974609375,5.801625533339106,4.372193503701405,0.6341457366943359,True,1530.9882970887306,1590.3876957378627,59.39939864913208,1590.3876957378627,69.61950640006927,True
6000009,6,S,SL,short,fifo,20.0,1161,25.9410400390625,5.926103237408314,4.274823758255344,0.6333261728286743,True,1541.806931720477,1601.7301030498359,59.923171329358865,1601.7301030498359,71.11323884889975,True
