request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,admission_ms,completion_ms,execution_ttft_ms,arrival_ttft_ms,slo15_ms,slo15_met
7000010,7,S,SL,short,once,20.0,1126,25.988037109375,5.751834451711423,4.412321443304523,0.6344735622406006,True,1542.041218053481,1588.055893667172,46.014675613691,1588.055893667172,69.02201342053706,True
6000010,6,L,LL,long,once,200.0,2045,272.2540283203125,70.63712694202647,3.763928206618077,6.646826863288879,False,1559.9798269651697,2136.605116413709,576.6252894485392,2136.605116413709,847.6455233043176,True
1000011,1,S,SL,short,once,20.0,1141,25.9678955078125,5.826521074152947,4.352386721699937,0.6339818239212036,True,1585.4218876458567,1632.0340562390797,46.61216859322303,1632.0340562390797,69.91825288983536,True
3000011,3,S,SL,short,once,20.0,1167,25.9329833984375,5.955977886384923,4.252060632718056,0.6331294775009155,True,1586.2511217888837,1633.8989448799634,47.64782309107977,1633.8989448799634,71.47173463661908,True
7000011,7,S,SL,short,once,20.0,1170,25.928955078125,5.970915210873229,4.240764489063694,0.6330311298370361,True,1588.055893667172,1635.8232153541583,47.76732168698618,1635.8232153541583,71.65098253047874,True
4000011,4,S,SL,short,once,20.0,1147,25.9598388671875,5.856395723129558,4.3288408677053045,0.6337851285934448,True,1591.7192167699782,1638.570382555014,46.851165785035846,1638.570382555014,70.2767486775547,True
1000012,1,S,SL,short,once,20.0,1169,25.9302978515625,5.96593610271046,4.244523585185885,0.6330639123916626,True,1632.0340562390797,1679.7615450607632,47.72748882168344,1679.7615450607632,71.59123323252551,True
3000012,3,S,SL,short,once,20.0,1149,25.9571533203125,5.866353939455093,4.32104554225418,0.6337195634841919,True,1633.8989448799634,1680.8297763956048,46.93083151564133,1680.8297763956048,70.39624727346113,True
7000012,7,S,SL,short,once,20.0,1143,25.9652099609375,5.8364792904784855,4.344511321036357,0.6339162588119507,True,1635.8232153541583,1682.5150496779868,46.691834323828516,1682.5150496779868,70.03775148574182,True
4000012,4,L,LL,long,once,200.0,2050,272.247314453125,70.80947851541423,3.754674142427902,6.646662950515747,False,1638.570382555014,2211.873367464181,573.3029849091668,2211.873367464181,849.7137421849708,True
2000012,2,S,SL,short,once,20.0,1155,25.9490966796875,5.896228588431703,4.297817553406215,0.6335228681564331,True,1639.5293402741584,1686.6991689816125,47.169828707454144,1686.6991689816125,70.75474306118045,True
