condition,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,admission_latency_ms,raw_ratio,plotted_ratio,slo_1p5_pass
full,asu_baseline,7,13000009,3188.533707627008,3691.816521876789,486.44082678401566,503.28281424978104,1.034622890469766,1.034622890469766,True
full,asu_baseline,7,13000010,3691.816521876789,4150.366703591054,458.55018171426593,458.5501817142649,0.9999999999999978,1.0,True
full,asu_baseline,7,14000008,2103.9533043765987,3234.639610612132,1130.6863062355314,1130.6863062355333,1.0000000000000016,1.0,True
full,asu_baseline,7,14000009,3234.639610612132,3509.376317206299,229.85653940820262,274.7367065941671,1.1952529490851758,1.1952529490851758,True
full,asu_baseline,7,14000010,3509.376317206299,3711.121233740972,48.19209238871334,201.74491653467294,4.186265973002698,4.186265973002698,False
full,asu_baseline,7,14000011,3711.121233740972,4030.917160745881,228.74273596704626,319.7959270049091,1.3980593772865444,1.3980593772865444,True
full,asu_baseline,7,15000006,2119.329425991636,2319.4012967369895,15.979837567787547,200.0718707453534,12.52026936423071,12.52026936423071,False
full,asu_baseline,7,15000007,2319.4012967369895,2803.8333322513745,458.55018171426593,484.432035514385,1.056442794774088,1.056442794774088,True
full,asu_baseline,7,15000008,2803.8333322513745,3045.2159014298372,26.717256165257165,241.38256917846275,9.034706546413776,9.034706546413776,False
full,asu_baseline,7,15000009,3045.2159014298372,3639.871851459734,565.9243027292647,594.6559500298968,1.0507694176801896,1.0507694176801896,True
full,asu_baseline,7,15000010,3639.871851459734,3880.1344478523,48.19209238871334,240.26259639256614,4.985519085882977,4.985519085882977,False
full,asu_baseline,7,15000011,3880.1344478523,4180.247166052835,72.35128428205302,300.11271820053526,4.147994347005382,4.147994347005382,False
full,asu_baseline,7,16000009,2035.0303616129668,2230.041536026166,58.92951067026337,195.01117441319911,3.309227790883463,3.309227790883463,False
full,asu_baseline,7,16000010,2230.041536026166,2816.193644062273,565.9243027292647,586.1521080361072,1.0357429522098458,1.0357429522098458,True
full,asu_baseline,7,16000011,2816.193644062273,3108.5135536427692,283.5436075005082,292.3199095804962,1.0309522128090025,1.0309522128090025,True
full,asu_baseline,7,16000012,3108.5135536427692,3352.232821766284,101.00752608339441,243.71926812351467,2.412882263073088,2.412882263073088,False
full,asu_baseline,7,16000013,3352.232821766284,3604.084809951947,58.92951067026337,251.85198818566323,4.273783802395481,4.273783802395481,False
full,asu_baseline,7,16000014,3604.084809951947,3863.994904526422,114.952820977,259.9100945744749,2.261015365829763,2.261015365829763,False
full,asu_baseline,7,16000015,3863.994904526422,4146.5676633141375,15.979837567787547,282.57275878771543,17.683080794095858,17.683080794095858,False
full,asu_baseline,7,17000006,2124.6010150415527,2368.5216834509592,228.74273596704626,243.92066840940652,1.066353724319127,1.066353724319127,True
full,asu_baseline,7,17000007,2368.5216834509592,2575.3623928629668,32.085964974046185,206.84070941200753,6.446454379019538,6.446454379019538,False
full,asu_baseline,7,17000008,2575.3623928629668,2840.881016150491,72.35128428205302,265.5186232875244,3.6698536304128497,3.6698536304128497,False
full,asu_baseline,7,17000009,2840.881016150491,3161.5217124857336,283.5436075005082,320.6406963352424,1.130833804231216,1.130833804231216,True
full,asu_baseline,7,17000010,3161.5217124857336,3402.937492101541,58.057852632638046,241.41577961580742,4.158193399665838,4.158193399665838,False
full,asu_baseline,7,17000011,3402.937492101541,3659.839066620485,200.85214333740902,256.901574518944,1.2790581681141349,1.2790581681141349,True
full,asu_baseline,7,17000012,3659.839066620485,3919.286044422534,101.00752608339441,259.4469778020489,2.568590558171307,2.568590558171307,False
