case,num_ssu,block,relative_start_ms,relative_end_ms,absolute_start_ms,absolute_end_ms,duration_ms,rolling_window_ms,npu_id,raw_5ms_compute_utilization_pct,rolling_100ms_compute_utilization_pct,cumulative_compute_utilization_pct
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,2,100.0,24.135767951807793,42.931564774007605
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,3,100.0,100.0,99.99999999999957
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,4,100.0,100.0,81.98336304032897
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,5,100.0,97.48515467374818,66.33317276112831
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,6,100.0,100.0,51.50410615892096
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,7,100.0,100.0,87.45164555538048
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,8,100.0,100.0,99.9999999999999
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,9,100.0,100.0,100.0000000000001
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,10,0.0,32.085964974045055,64.83247986971276
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,11,35.57955831871368,47.85754343851295,87.86123954706238
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,12,100.0,100.0,86.94851520395744
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,13,74.01644796715118,82.15981121601908,92.58004561369599
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,14,99.99999999998181,99.99999999999818,79.53486755683187
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,15,100.0,100.0,86.98891357747968
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,16,93.35545995883876,76.21134629101107,65.20148341137255
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,17,0.0,12.108562207205978,44.68186869994069
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,18,100.0,100.0,88.36885123381512
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,19,100.0,100.0,99.99999999999979
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,20,100.0,100.0,100.00000000000028
baseline,4,335,1675.0,1680.0,11811.618340562687,11816.618340562687,5.0,100.0,21,100.0,100.0,38.568713870672795
