case,request_id,batch_id,npu_id,layer,io_submit_time_ms,io_submit_relative_ms,ssd_first_start_ms,ssd_last_end_ms,max_link_end_ms,io_ready_reported_ms,previous_compute_end_ms,compute_start_ms,compute_end_ms,reported_barrier_ms,reconstructed_barrier_ms,io_ready_minus_max_link_end_ms,compute_start_minus_max_ready_previous_ms,barrier_accounting_error_ms,ssd_interval_count,link_interval_count,complete_inside_trace
baseline,541,576,29,9,,,,,,10020.478629614525,,10098.027517583187,10191.04484278554,0.0,,,,,0,0,False
baseline,574,588,30,14,,,,,,10080.032729651146,,10116.978873984059,10163.560232668384,0.0,,,,,0,0,False
baseline,574,588,30,15,,,,,,10129.646110083275,10163.560232668384,10163.560232668384,10210.141591352709,0.0,0.0,,,0.0,0,0,False
baseline,735,517,31,13,,,,,,10005.282210852318,,10128.282452991883,10269.618241271324,0.0,,,,,0,0,False
adaptive_t0_i100ms,1024,667,0,3,,,,,,10895.545968234197,,10895.545968234197,10920.652486151374,19.93304049346807,,,,,0,0,False
adaptive_t0_i100ms,1024,667,0,4,10895.558768234107,-10.503543577946402,10906.112755953924,10931.659020602361,10931.662377535955,10931.662377535955,10920.652486151374,10931.662377535955,10956.768895453131,11.009891384581351,11.009891384581351,0.0,0.0,0.0,104,104,False
adaptive_t0_i100ms,417,608,1,10,10804.4830096644,-101.57930214765292,10906.712807833806,10924.433221041814,10924.436577975408,10924.436577975408,,10924.436577975408,11006.716506073282,37.738840212672585,,0.0,,,44,44,False
adaptive_t0_i100ms,610,572,2,14,10760.83112085796,-145.2311909540931,10906.599511325017,10920.027245700017,10920.030602633611,10920.030602633611,,10920.030602633611,11023.785395197174,55.550589211339684,,0.0,,,39,39,False
adaptive_t0_i100ms,611,627,3,8,,,,,,10869.95144766535,,10869.95144766535,10921.901514466383,40.15160251049019,,,,,0,0,False
adaptive_t0_i100ms,611,627,3,9,10869.997047665027,-36.06526414702603,10906.368722140447,10947.822655856267,10947.826012789861,10947.826012789861,10921.901514466383,10947.826012789861,10999.776079590894,25.924498323478474,25.924498323478474,0.0,0.0,0.0,178,178,False
adaptive_t0_i100ms,452,645,4,10,,,,,,10903.753670870916,,10903.753670870916,10932.48573829694,24.305385271729392,,,,,0,0,False
adaptive_t0_i100ms,452,645,4,11,10903.760470870868,-2.301840941185219,10906.061662716618,10946.425332247869,10946.428689181463,10946.428689181463,10932.48573829694,10946.428689181463,10975.160756607487,13.94295088452236,13.94295088452236,0.0,0.0,0.0,1018,1018,False
adaptive_t0_i100ms,581,674,5,0,10899.580703878564,-6.481607933488704,10906.074351217594,10943.68523520197,10943.688592135564,10943.688592135564,10900.342053919552,10943.688592135564,10972.420659561589,43.34653821601205,43.34653821601205,0.0,0.0,0.0,443,444,False
adaptive_t0_i100ms,710,665,6,9,10897.582928390286,-8.479383421767125,10906.070794284002,10917.073144137517,10917.076501071111,10917.076501071111,,10917.076501071111,10918.196595433847,18.39627831792859,,0.0,,,79,79,False
adaptive_t0_i100ms,710,665,6,10,10917.076501071111,11.014189259058185,10917.07734030451,10933.778084933416,10933.78144186701,10933.78144186701,10918.196595433847,10933.78144186701,10934.901536229745,15.584846433162966,15.584846433162966,0.0,0.0,0.0,512,512,True
adaptive_t0_i100ms,710,665,6,11,10933.78144186701,27.719130054956622,10933.781541867009,10950.449456393377,10950.45281332697,10950.45281332697,10934.901536229745,10950.45281332697,10951.572907689706,15.551277097225466,15.551277097225466,0.0,0.0,0.0,512,512,True
adaptive_t0_i100ms,647,594,7,9,,,,,,10838.878831088201,,10838.878831088201,10953.37100289204,42.465454538934864,,,,,0,0,False
adaptive_t0_i100ms,584,647,8,4,10835.166311458604,-70.89600035344847,10906.196679293767,10939.338006198064,10939.341363131658,10939.341363131658,,10939.341363131658,11002.02885122182,41.58516358220186,,0.0,,,153,153,False
adaptive_t0_i100ms,489,643,9,8,10883.80057348263,-22.26173832942368,10906.100167452947,10926.850213229314,10926.853570162908,10926.853570162908,,10926.853570162908,10929.315841790447,40.67432505214856,,0.0,,,213,213,False
adaptive_t0_i100ms,490,654,10,15,10899.172175337764,-6.890136474288738,10906.074990450994,10907.317055880681,10907.320412814275,10907.320412814275,,10907.320412814275,10911.85388192247,3.7455683673906606,,0.0,,,59,59,False
adaptive_t0_i100ms,522,675,10,0,10907.320412814275,1.2581010022222472,10907.320512814274,10909.612359225408,10909.615716159002,10909.615716159002,10911.85388192247,10911.85388192247,10961.921551883159,0.0,0.0,0.0,0.0,0.0,480,480,False
adaptive_t0_i100ms,555,560,11,12,10729.045973140535,-177.0163386715176,10906.08757895197,10934.948815524236,10934.95217245783,10934.95217245783,,10934.95217245783,11076.28796073727,64.6960110369655,,0.0,,,77,77,False
adaptive_t0_i100ms,620,670,12,0,,,,,,10847.262772738592,10814.891234774032,10847.262772738592,10929.542700836466,32.37153796456005,32.37153796456005,,,0.0,0,0,False
adaptive_t0_i100ms,620,670,12,1,,,,,,10879.373940646306,10929.542700836466,10929.542700836466,11011.82262893434,0.0,0.0,,,0.0,0,0,False
adaptive_t0_i100ms,525,642,13,6,,,,,,10878.526314913885,,10878.526314913885,10925.10767359821,38.130860553956154,,,,,0,0,False
adaptive_t0_i100ms,525,642,13,7,10878.562714913627,-27.499596898425807,10906.171502291814,10947.25197714533,10947.255334078924,10947.255334078924,10925.10767359821,10947.255334078924,10993.836692763249,22.147660480713967,22.147660480713967,0.0,0.0,0.0,180,180,False
adaptive_t0_i100ms,910,653,14,3,10828.017137154442,-78.04517465761091,10906.095971285955,10943.488015353338,10943.491372286931,10943.491372286931,,10943.491372286931,11014.23191012809,44.82609729067735,,0.0,,,156,156,False
adaptive_t0_i100ms,1071,663,15,4,,,,,,10883.817681491033,,10883.817681491033,10908.92419940821,20.969493740538383,,,,,0,0,False
adaptive_t0_i100ms,1071,663,15,5,10883.844081490846,-22.218230321206647,10906.205071627752,10923.21633261408,10923.219689547674,10923.219689547674,10908.92419940821,10923.219689547674,10948.32620746485,14.295490139464164,14.295490139464164,0.0,0.0,0.0,64,64,False
adaptive_t0_i100ms,1071,663,15,6,10923.219689547674,17.157377735620685,10923.220528781072,10953.684701144353,10953.688058077947,10953.688058077947,10948.32620746485,10953.688058077947,10978.794575995124,5.361850613096976,5.361850613096976,0.0,0.0,0.0,496,496,False
adaptive_t0_i100ms,560,651,16,3,10806.995971187396,-99.06634062465673,10906.18409079279,10927.57195395197,10927.575310885564,10927.575310885564,,10927.575310885564,10995.631497038397,52.65075354443252,,0.0,,,93,93,False
adaptive_t0_i100ms,1009,671,17,10,,,,,,10900.161751925603,,10900.440739176625,10906.464750725214,0.0,,,,,0,0,False
adaptive_t0_i100ms,1009,671,17,11,10900.499139176212,-5.563172635840601,10906.091775118963,10911.441888034002,10911.445244967595,10911.445244967595,10906.464750725214,10911.445244967595,10917.469256516184,4.98049424238161,4.98049424238161,0.0,0.0,0.0,132,132,False
adaptive_t0_i100ms,1009,671,17,12,10911.445244967595,5.38293315554256,10911.445444967594,10921.965874850408,10921.969231784002,10921.969231784002,10917.469256516184,10921.969231784002,10927.99324333259,4.499975267817717,4.499975267817717,0.0,0.0,0.0,1022,1022,True
adaptive_t0_i100ms,1009,671,17,13,10921.969231784002,15.90691997194881,10921.969431784,10932.292641818181,10932.295998751775,10932.295998751775,10927.99324333259,10932.295998751775,10938.320010300364,4.302755419184905,4.302755419184905,0.0,0.0,0.0,1022,1022,True
adaptive_t0_i100ms,1009,671,17,14,10932.295998751775,26.233686939722247,10932.296098751774,10942.577447116033,10942.580804049627,10942.580804049627,10938.320010300364,10942.580804049627,10948.604815598215,4.26079374926303,4.26079374926303,0.0,0.0,0.0,1022,1022,True
adaptive_t0_i100ms,1009,671,17,15,10942.580804049627,36.51849223757381,10942.581104049625,10952.979745089666,10952.98310202326,10952.98310202326,10948.604815598215,10952.98310202326,10959.007113571848,4.37828642504428,4.37828642504428,0.0,0.0,0.0,1022,1022,False
adaptive_t0_i100ms,658,610,18,7,,,,,,10836.982163607732,,10836.982163607732,10940.736956171295,44.42445243155453,,,,,0,0,False
adaptive_t0_i100ms,563,599,19,7,,,,,,10806.897744357244,,10806.897744357244,10932.127293251106,17.691898860044603,,,,,0,0,False
adaptive_t0_i100ms,692,657,20,15,,,,,,10903.89634054865,,10903.89634054865,10918.265443170776,9.011939858342885,,,,,0,0,False
adaptive_t0_i100ms,533,673,21,0,,,,,,10902.406701266424,10872.170984782988,10902.406701266424,10906.269081784232,30.23571648343568,30.23571648343568,,,0.0,0,0,False
adaptive_t0_i100ms,533,673,21,1,10902.487101265855,-3.5752105461979227,10906.058205783025,10909.226311862127,10909.22966879572,10909.22966879572,10906.269081784232,10909.22966879572,10913.092049313529,2.9605870114883146,2.9605870114883146,0.0,0.0,0.0,351,351,False
adaptive_t0_i100ms,533,673,21,2,10909.22966879572,3.1673569836675597,10909.22976879572,10915.982140719549,10915.985497653142,10915.985497653142,10913.092049313529,10915.985497653142,10919.847878170951,2.8934483396133146,2.8934483396133146,0.0,0.0,0.0,1279,1279,True
