policy,seed,request_id,npu_id,category,total_K,miss,admission_ms,completion_ms,ideal_ms,elapsed_ms,noncompute_ms,ratio,raw_ratio,passed
fixed256_od,19,13000011,13,SL,32,1024,2983.0394066072204,3057.488044469705,58.057852632638046,74.4486378624847,16.390785229846657,1.2823181445162914,1.2823181445162914,True
fixed256_od,19,13000012,13,LL,160,1024,3057.488044469705,3462.4547778996584,229.85653940820262,404.96673342995336,175.11019402175074,1.7618238509663293,1.7618238509663293,False
fixed256_od,19,13000013,13,LL,128,1024,3462.4547778996584,3749.8316604199536,186.90687789087698,287.3768825202951,100.47000462941813,1.537540435981581,1.537540435981581,False
fixed256_od,19,13000014,13,SL,64,2048,3749.8316604199536,3950.6838037573616,200.85214333740902,200.85214333740805,-9.663381206337363e-13,1.0,0.9999999999999952,True
fixed256_od,19,13000015,13,LL,200,1024,3950.6838037573616,4400.605633335024,283.5436075005082,449.9218295776627,166.37822207715453,1.5867817777442095,1.5867817777442095,False
fixed256_od,19,14000008,14,LL,160,1024,2390.3863285254006,2743.2484401066895,229.85653940820262,352.8621115812889,123.00557217308628,1.535140625060227,1.535140625060227,False
fixed256_od,19,14000009,14,SS,80,256,2743.2484401066895,2900.657550431326,32.085964974046185,157.40911032463646,125.32314535059027,4.905855580530681,4.905855580530681,False
fixed256_od,19,14000010,14,LS,200,256,2900.657550431326,3330.9555553350615,72.35128428205302,430.29800490373555,357.9467206216825,5.947344393034809,5.947344393034809,False
fixed256_od,19,14000011,14,LL,128,1024,3330.9555553350615,3628.5288650097973,186.90687789087698,297.5733096747358,110.66643178385883,1.5920939509164018,1.5920939509164018,False
fixed256_od,19,14000012,14,LL,200,1024,3628.5288650097973,4056.2639737891263,283.5436075005082,427.73510877932904,144.19150127882085,1.5085337756329507,1.5085337756329507,False
fixed256_od,19,15000005,15,SL,32,1024,2030.918756977312,2103.51455579783,58.057852632638046,72.59579882051798,14.537946187879939,1.2504044763740922,1.2504044763740922,True
fixed256_od,19,15000006,15,SS,80,256,2103.51455579783,2279.699527360037,32.085964974046185,176.184971562207,144.09900658816082,5.491029230528681,5.491029230528681,False
fixed256_od,19,15000007,15,LS,128,256,2279.699527360037,2564.3128909431202,48.19209238871334,284.61336358308336,236.42127119437,5.905810465489152,5.905810465489152,False
fixed256_od,19,15000008,15,SS,64,256,2564.3128909431202,2714.1424219132355,26.717256165257165,149.82953097011523,123.11227480485806,5.607968499585371,5.607968499585371,False
fixed256_od,19,15000009,15,SL,64,2048,2714.1424219132355,2930.336243679205,200.85214333740902,216.19382176596946,15.341678428560442,1.0763829460499614,1.0763829460499614,True
fixed256_od,19,15000010,15,SS,32,256,2930.336243679205,2993.888982894216,15.979837567787547,63.552739215011115,47.57290164722357,3.9770578984558584,3.9770578984558584,False
fixed256_od,19,15000011,15,SL,80,1024,2993.888982894216,3183.9106837183103,122.48236916054397,190.0217008240943,67.53933166355033,1.5514208463344061,1.5514208463344061,False
fixed256_od,19,15000012,15,LL,200,1024,3183.9106837183103,3674.4925046729154,283.5436075005082,490.58182095460506,207.03821345409688,1.7301812066199582,1.7301812066199582,False
fixed256_od,19,15000013,15,SS,80,256,3674.4925046729154,3845.8484615885527,32.085964974046185,171.3559569156373,139.26999194159112,5.340526833281915,5.340526833281915,False
fixed256_od,19,15000014,15,SL,80,4096,3845.8484615885527,4347.270394557455,486.44082678401566,501.4219329689022,14.981106184886528,1.0307973865679212,1.0307973865679212,True
fixed256_od,19,16000007,16,SL,64,4096,2902.288792790084,3302.8301524755943,400.5413596855101,400.54135968551054,4.547473508864641e-13,1.0,1.000000000000001,True
fixed256_od,19,16000008,16,SL,80,1024,3302.8301524755943,3491.2716235620605,122.48236916054397,188.4414710864662,65.95910192592224,1.5385191548627397,1.5385191548627397,False
fixed256_od,19,16000009,16,LL,200,4096,3491.2716235620605,4665.5030718849475,1130.6863062355314,1174.231448322887,43.54514208735554,1.0385121336017,1.0385121336017,True
fixed256_od,19,17000007,17,SL,32,2048,2335.291925922624,2450.244746899624,114.952820977,114.95282097699965,-3.552713678800501e-13,1.0,0.9999999999999969,True
fixed256_od,19,17000008,17,LL,160,2048,2450.244746899624,2940.1667978275464,458.55018171426593,489.92205092792256,31.371869213656623,1.068415345723721,1.068415345723721,True
