time_ms,event,npu,request,layer,role
7249.6529423657,compute_start,8,98,0,0
7264.8206324597,admission,8,99,0,0
7266.6326242534,compute_start,8,99,0,0
7294.8469448901,admission,8,100,0,0
7296.7107492534,compute_start,8,100,0,0
7322.4206544963,admission,8,101,0,0
7322.4206544963,compute_start,8,101,0,0
7337.5883445902,admission,8,102,0,0
7337.5883445902,compute_start,8,102,0,0
7352.7560346841,admission,8,103,0,0
7352.7560346841,compute_start,8,103,0,0
7377.190883768,admission,8,104,0,0
7379.0546881312,compute_start,8,104,0,0
7407.269008768,admission,8,105,0,0
7409.1328131312,compute_start,8,105,0,0
7425.5238473284,admission,8,106,0,0
7425.5238473284,compute_start,8,106,0,0
7440.6915374223,admission,8,107,0,0
7440.6915374223,compute_start,8,107,0,0
7458.6468948365,admission,8,108,0,0
7459.5707577935,compute_start,8,108,0,0
7481.2054885865,admission,8,109,0,0
7482.1293515435,compute_start,8,109,0,0
7500.3520834623,admission,8,110,0,0
7500.3520834623,compute_start,8,110,0,0
7515.5197735562,admission,8,111,0,0
7515.5197735562,compute_start,8,111,0,0
7530.6874636501,admission,8,112,0,1
7542.8570541462,compute_start,8,112,0,1
7543.2215091799,admission,24,78,0,1
7543.2215091799,compute_start,24,78,0,1
7543.5859642136,admission,0,78,0,1
7543.5859642136,compute_start,0,78,0,1
7543.9504192473,admission,16,78,0,0
7543.9504192473,compute_start,16,78,0,0
7572.164739884,admission,16,79,0,0
7574.0285442473,compute_start,16,79,0,0
7601.0487917751,admission,16,80,0,0
7601.0487917751,compute_start,16,80,0,0
7616.2164818691,admission,16,81,0,0
7616.2164818691,compute_start,16,81,0,0
