order,policy,seed,window,dimension,value,active_U_percent,compute_ms,active_ms,cohort_count,admission_latency_mean_ms,admission_latency_p50_ms,admission_latency_p95_ms,admission_latency_minimum_ms,admission_latency_maximum_ms,admission_normalized_mean,admission_normalized_p50,admission_normalized_p95,admission_normalized_minimum,admission_normalized_maximum,admission_slo1_count,admission_slo1_passed,admission_slo1_percent,admission_slo1p5_count,admission_slo1p5_passed,admission_slo1p5_percent,arrival_latency_mean_ms,arrival_latency_p50_ms,arrival_latency_p95_ms,arrival_latency_minimum_ms,arrival_latency_maximum_ms,arrival_normalized_mean,arrival_normalized_p50,arrival_normalized_p95,arrival_normalized_minimum,arrival_normalized_maximum,arrival_slo1_count,arrival_slo1_passed,arrival_slo1_percent,arrival_slo1p5_count,arrival_slo1p5_passed,arrival_slo1p5_percent
ordered,asu_baseline,43,warm_2_4s,category,LL,99.97058049537222,20418.9110758879,20424.91998616845,64,372.74475869773073,372.65086947459713,372.6508694745976,372.65086947459713,376.1308903493641,1.0002519495614344,0.9999999999999963,0.9999999999999976,0.9999999999999963,1.0093385556289514,64,61,95.3125,64,64,100.0,3920.885333090399,3738.0813345285483,4107.239594627402,3733.9929694399143,4110.732204003146,10.52160521889689,10.03105491152853,11.021682574947995,10.020083878254415,11.031054911528527,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,warm_2_4s,category,SL,100.0,43575.08001383155,43575.08001383155,96,405.56117130628263,486.44082678401537,486.44082678401537,243.80186035081715,486.44082678401537,0.9999999999999978,0.9999999999999994,0.9999999999999994,0.9999999999999943,0.9999999999999994,96,96,100.0,96,96,100.0,2875.2804236482207,2875.2830243775907,3361.9336595112154,2388.4604463972864,3361.950444179184,7.5399965753822515,6.910858764439695,9.79915412665621,5.9100739799905515,9.79922297218489,96,0,0.0,96,0,0.0
ordered,asu_baseline,43,warm_2_4s,profile,128:2048,99.97058049537222,20418.9110758879,20424.91998616845,64,372.74475869773073,372.65086947459713,372.6508694745976,372.65086947459713,376.1308903493641,1.0002519495614344,0.9999999999999963,0.9999999999999976,0.9999999999999963,1.0093385556289514,64,61,95.3125,64,64,100.0,3920.885333090399,3738.0813345285483,4107.239594627402,3733.9929694399143,4110.732204003146,10.52160521889689,10.03105491152853,11.021682574947995,10.020083878254415,11.031054911528527,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,warm_2_4s,profile,128:4096,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,profile,160:2048,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,profile,160:4096,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,profile,32:2048,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,profile,32:4096,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,profile,64:2048,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,profile,64:4096,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,warm_2_4s,profile,80:2048,99.99999999999999,12442.867099654566,12442.867099654566,32,243.80186035081715,243.80186035081715,243.80186035081715,243.80186035081715,243.80186035081715,0.9999999999999943,0.9999999999999943,0.9999999999999943,0.9999999999999943,0.9999999999999943,32,32,100.0,32,32,100.0,2388.8395968642053,2388.8421975935753,2389.0645944441612,2388.4604463972864,2389.0687906111534,9.798282890158369,9.798293557547725,9.79920576080272,9.796727731939423,9.79922297218489,32,0,0.0,32,0,0.0
ordered,asu_baseline,43,warm_2_4s,profile,80:4096,100.0,31132.212914176984,31132.212914176984,64,486.44082678401537,486.44082678401537,486.44082678401537,486.44082678401537,486.44082678401537,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,64,64,100.0,64,64,100.0,3118.5008370402284,2875.509617395169,3361.9378556782076,2874.901273181302,3361.950444179184,6.410853417994193,5.911324582695692,6.911298703903691,5.9100739799905515,6.911324582695691,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,long_2_6s,length,128,99.99159364115631,71474.52614997956,71480.53506026011,128,558.4416801582821,376.1308903493641,744.1386016188335,372.65086947459713,744.1386016188335,1.0001259747807179,1.000000000000001,1.000000000000001,0.9999999999999963,1.0093385556289514,128,125,97.65625,128,128,100.0,4572.152001673173,4110.732204003146,5595.504209364092,3733.9929694399143,5599.009407240813,8.770510786723946,7.524148586110806,11.021648793996418,6.5186544952522745,11.031054911528527,128,0,0.0,128,0,0.0
ordered,asu_baseline,43,long_2_6s,length,160,99.94239298631759,12936.928052312964,12944.384925908336,32,458.84699257525153,458.5501817142649,461.2229850426411,458.5501817142649,461.60903240592233,1.0006472810890097,0.9999999999999978,1.0058288131483952,0.9999999999999978,1.0066706999879949,32,27,84.375,32,32,100.0,6054.334963640616,6053.852975062732,6058.763733836188,6053.471223866443,6060.618439646735,13.203211349751951,13.202160235616347,13.212869551563182,13.201327717799296,13.216914268770823,32,0,0.0,32,0,0.0
ordered,asu_baseline,43,long_2_6s,length,32,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,long_2_6s,length,64,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,long_2_6s,length,80,100.0,43575.08001383155,43575.08001383155,96,405.56117130628263,486.44082678401537,486.44082678401537,243.80186035081715,486.44082678401537,0.9999999999999978,0.9999999999999994,0.9999999999999994,0.9999999999999943,0.9999999999999994,96,96,100.0,96,96,100.0,2875.2804236482207,2875.2830243775907,3361.9336595112154,2388.4604463972864,3361.950444179184,7.5399965753822515,6.910858764439695,9.79915412665621,5.9100739799905515,9.79922297218489,96,0,0.0,96,0,0.0
ordered,asu_baseline,43,long_2_6s,category,LL,99.98404998917603,84411.45420229253,84424.91998616845,160,538.522742641676,458.5501817142649,744.1386016188335,372.65086947459713,744.1386016188335,1.0002302360423763,0.9999999999999978,1.000000000000001,0.9999999999999963,1.0093385556289514,160,152,95.0,160,160,100.0,4868.588594066661,4851.164191729634,6054.045998744373,3733.9929694399143,6060.618439646735,9.657050899329548,10.021108298771203,13.202581179036148,6.5186544952522745,13.216914268770823,160,0,0.0,160,0,0.0
ordered,asu_baseline,43,long_2_6s,category,SL,100.0,43575.08001383155,43575.08001383155,96,405.56117130628263,486.44082678401537,486.44082678401537,243.80186035081715,486.44082678401537,0.9999999999999978,0.9999999999999994,0.9999999999999994,0.9999999999999943,0.9999999999999994,96,96,100.0,96,96,100.0,2875.2804236482207,2875.2830243775907,3361.9336595112154,2388.4604463972864,3361.950444179184,7.5399965753822515,6.910858764439695,9.79915412665621,5.9100739799905515,9.79922297218489,96,0,0.0,96,0,0.0
ordered,asu_baseline,43,long_2_6s,profile,128:2048,99.97481139011542,23849.655646374216,23855.664556654767,64,372.74475869773073,372.65086947459713,372.6508694745976,372.65086947459713,376.1308903493641,1.0002519495614344,0.9999999999999963,0.9999999999999976,0.9999999999999963,1.0093385556289514,64,61,95.3125,64,64,100.0,3920.885333090399,3738.0813345285483,4107.239594627402,3733.9929694399143,4110.732204003146,10.52160521889689,10.03105491152853,11.021682574947995,10.020083878254415,11.031054911528527,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,long_2_6s,profile,128:4096,100.0,47624.87050360534,47624.87050360534,64,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,744.1386016188335,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,64,64,100.0,64,64,100.0,5223.418670255947,4854.870805621979,5595.516797865069,4850.782440533345,5599.009407240813,7.019416354551003,6.5241485861108055,7.5194550930328425,6.5186544952522745,7.524148586110806,64,0,0.0,64,0,0.0
ordered,asu_baseline,43,long_2_6s,profile,160:2048,99.94239298631759,12936.928052312964,12944.384925908336,32,458.84699257525153,458.5501817142649,461.2229850426411,458.5501817142649,461.60903240592233,1.0006472810890097,0.9999999999999978,1.0058288131483952,0.9999999999999978,1.0066706999879949,32,27,84.375,32,32,100.0,6054.334963640616,6053.852975062732,6058.763733836188,6053.471223866443,6060.618439646735,13.203211349751951,13.202160235616347,13.212869551563182,13.201327717799296,13.216914268770823,32,0,0.0,32,0,0.0
ordered,asu_baseline,43,long_2_6s,profile,160:4096,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,long_2_6s,profile,32:2048,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,long_2_6s,profile,32:4096,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,long_2_6s,profile,64:2048,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
ordered,asu_baseline,43,long_2_6s,profile,64:4096,,0.0,0.0,0,,,,,,,,,,,0,0,,0,0,,,,,,,,,,,,0,0,,0,0,
