scenario,policy,seed,request_id,npu,total_K,miss,category,admission_ms,completion_ms,TTFT_ms,SLO_base_ms,SLO_multiple
full,od_baseline,7,24000004,24,128,1024,LL,2111.3366599793744,2369.77947536136,258.4428153819854,186.90687789087698,1.3827357146957089
full,od_baseline,7,24000005,24,160,2048,LL,2369.77947536136,2849.861087988679,480.0816126273194,458.55018171426593,1.0469554517077266
full,od_baseline,7,24000006,24,128,256,LS,2849.861087988679,3132.4026668464408,282.5415788577616,48.19209238871334,5.862820327011434
full,od_baseline,7,24000007,24,80,256,SS,3132.4026668464408,3323.627087076834,191.2244202303932,32.085964974046185,5.959752819809893
full,od_baseline,7,24000008,24,128,256,LS,3323.627087076834,3631.943858765386,308.31677168855185,48.19209238871334,6.397663110406057
full,od_baseline,7,24000009,24,64,256,SS,3631.943858765386,3788.0046977188995,156.06083895351367,26.717256165257165,5.84120008387888
full,od_baseline,7,24000010,24,160,256,LS,3788.0046977188995,4168.335093057416,380.3303953385166,58.92951067026337,6.453988689412901
full,od_baseline,7,25000006,25,160,4096,LL,2363.2545089361797,3279.1918833668888,915.937374430709,915.9373744307104,1.0
full,od_baseline,7,25000007,25,80,1024,SL,3279.1918833668888,3448.000849538623,168.80896617173403,122.48236916054397,1.3782307390745145
full,od_baseline,7,25000008,25,64,1024,SL,3448.000849538623,3586.8615991344477,138.86074959582493,101.00752608339441,1.3747564659803462
full,od_baseline,7,25000009,25,128,1024,LL,3586.8615991344477,3893.3071022168283,306.4455030823806,186.90687789087698,1.6395624737859813
full,od_baseline,7,25000010,25,64,256,SS,3893.3071022168283,4022.2557200577667,128.94861784093837,26.717256165257165,4.826416943541597
full,od_baseline,7,26000007,26,128,256,LS,2039.0515152275027,2237.1042812263236,198.05276599882086,48.19209238871334,4.109652770445076
full,od_baseline,7,26000008,26,160,256,LS,2237.1042812263236,2553.603776626752,316.49949540042826,58.92951067026337,5.370814924484655
full,od_baseline,7,26000009,26,200,256,LS,2553.603776626752,3037.467343567483,483.8635669407313,72.35128428205302,6.687698383548325
full,od_baseline,7,26000010,26,64,1024,SL,3037.467343567483,3199.370754407885,161.9034108404021,101.00752608339441,1.6028846276932918
full,od_baseline,7,26000011,26,32,1024,SL,3199.370754407885,3268.0979619745876,68.72720756670242,58.057852632638046,1.1837710912522872
full,od_baseline,7,26000012,26,80,256,SS,3268.0979619745876,3456.1757100260525,188.07774805146482,32.085964974046185,5.86168277013323
full,od_baseline,7,26000013,26,32,256,SS,3456.1757100260525,3530.4109945153095,74.23528448925708,15.979837567787547,4.645559391598695
full,od_baseline,7,26000014,26,64,256,SS,3530.4109945153095,3683.8054789688995,153.39448445358994,26.717256165257165,5.741401119365786
full,od_baseline,7,26000015,26,32,256,SS,3683.8054789688995,3760.679854378591,76.87437540969131,15.979837567787547,4.810710689866842
full,od_baseline,7,26000016,26,200,4096,LL,3760.679854378591,4946.4365520119,1185.7566976333092,1130.6863062355314,1.0487052784614745
full,od_baseline,7,27000005,27,200,1024,LL,2097.8063399912794,2519.971706943423,422.1653669521438,283.5436075005082,1.4888904414866315
full,od_baseline,7,27000006,27,160,1024,LL,2519.971706943423,2867.37965206958,347.40794512615685,229.85653940820262,1.5114120573667669
full,od_baseline,7,27000007,27,64,256,SS,2867.37965206958,2997.61048690347,130.23083483388973,26.717256165257165,4.874409034683753
full,od_baseline,7,27000008,27,80,256,SS,2997.61048690347,3192.25768705242,194.6472001489501,32.085964974046185,6.0664281191604195
full,od_baseline,7,27000009,27,200,4096,LL,3192.25768705242,4370.877598862487,1178.6199118100667,1130.6863062355314,1.0423933723351826
