regime,policy,seed,request_id,npu_id,admission_ms,completion_ms,ideal_ms,ratio,passed,completed_after_window,raw_ratio,category,seq_len_k,miss_tokens
full,baseline,19,22000011,22,2747.204287830737,3903.2659808204944,1130.6863062355314,1.022442464027631,True,False,1.022442464027631,LL,200,4096
full,baseline,19,22000012,22,3903.2659808204944,4119.792660970387,15.979837567787547,13.549992559772408,False,True,13.549992559772408,SS,32,256
full,baseline,19,23000006,23,2163.9441097175345,2393.4990681269314,58.057852632638046,3.9539002563858063,False,False,3.9539002563858063,SL,32,1024
full,baseline,19,23000007,23,2393.4990681269314,2672.314723164094,186.90687789087698,1.4917356610062549,True,False,1.4917356610062549,LL,128,1024
full,baseline,19,23000008,23,2672.314723164094,2939.88705863096,72.35128428205302,3.698238920317797,False,False,3.698238920317797,LS,200,256
full,baseline,19,23000009,23,2939.88705863096,3189.731037512796,72.35128428205302,3.453207242429152,False,False,3.453207242429152,LS,200,256
full,baseline,19,23000010,23,3189.731037512796,4336.863469223815,1130.6863062355314,1.014545259268455,True,True,1.014545259268455,LL,200,4096
full,baseline,19,24000005,24,2098.9979016474394,2335.026034156011,48.19209238871334,4.897652722873882,False,False,4.897652722873882,LS,128,256
full,baseline,19,24000006,24,2335.026034156011,2581.9159214684346,15.979837567787547,15.450087415788802,False,False,15.450087415788802,SS,32,256
full,baseline,19,24000007,24,2581.9159214684346,2852.906297378705,58.92951067026337,4.598551266216703,False,False,4.598551266216703,LS,160,256
full,baseline,19,24000008,24,2852.906297378705,3152.728139105713,229.85653940820262,1.3043868253604656,True,False,1.3043868253604656,LL,160,1024
full,baseline,19,24000009,24,3152.728139105713,3351.232830485037,32.085964974046185,6.186651750691967,False,False,6.186651750691967,SS,80,256
full,baseline,19,24000010,24,3351.232830485037,3671.9215595158694,229.85653940820262,1.3951690469911784,True,False,1.3951690469911784,LL,160,1024
full,baseline,19,24000011,24,3671.9215595158694,3911.5579739830832,15.979837567787547,14.996173362254781,False,False,14.996173362254781,SS,32,256
full,baseline,19,24000012,24,3911.5579739830832,4154.134367809548,58.057852632638046,4.178184049647355,False,True,4.178184049647355,SL,32,1024
full,baseline,19,25000007,25,2109.1716205510256,2338.119514359162,228.74273596704626,1.0008968933602327,True,False,1.0008968933602327,SL,32,4096
full,baseline,19,25000008,25,2338.119514359162,2574.3942818248775,101.00752608339441,2.3391798277550206,False,False,2.3391798277550206,SL,64,1024
full,baseline,19,25000009,25,2574.3942818248775,2824.1483965470247,26.717256165257165,9.348045067851125,False,False,9.348045067851125,SS,64,256
full,baseline,19,25000010,25,2824.1483965470247,3112.2736537849173,48.19209238871334,5.978683285089566,False,False,5.978683285089566,LS,128,256
full,baseline,19,25000011,25,3112.2736537849173,3325.2363618053464,101.00752608339441,2.1083845558656846,False,False,2.1083845558656846,SL,64,1024
full,baseline,19,25000012,25,3325.2363618053464,3606.828075846365,32.085964974046185,8.776164727125824,False,False,8.776164727125824,SS,80,256
full,baseline,19,25000013,25,3606.828075846365,3879.1705548456816,58.057852632638046,4.690881020394737,False,False,4.690881020394737,SL,32,1024
full,baseline,19,25000014,25,3879.1705548456816,5038.938435654479,1130.6863062355314,1.0257202854698833,True,True,1.0257202854698833,LL,200,4096
full,baseline,19,26000006,26,2484.435090191029,2942.9852719052938,458.55018171426593,0.9999999999999978,True,False,0.9999999999999978,LL,160,2048
full,baseline,19,26000007,26,2942.9852719052938,3167.5838502086667,101.00752608339441,2.2235826082695915,False,False,2.2235826082695915,SL,64,1024
full,baseline,19,26000008,26,3167.5838502086667,3400.712817493823,101.00752608339441,2.3080356120461656,False,False,2.3080356120461656,SL,64,1024
full,baseline,19,26000009,26,3400.712817493823,3711.2976286864305,243.80186035081854,1.2739230568039623,True,False,1.2739230568039623,SL,80,2048
full,baseline,19,26000010,26,3711.2976286864305,3961.9549219132355,26.717256165257165,9.381850129982924,False,False,9.381850129982924,SS,64,256
full,baseline,19,26000011,26,3961.9549219132355,4201.002403403375,114.952820977,2.0795268829285067,False,True,2.0795268829285067,SL,32,2048
full,baseline,19,27000008,27,2044.3360637579128,2632.0045724069996,565.9243027292647,1.0384224635962036,True,False,1.0384224635962036,LL,200,2048
full,baseline,19,27000009,27,2632.0045724069996,2857.114080550466,15.979837567787547,14.087096141530647,False,False,14.087096141530647,SS,32,256
full,baseline,19,27000010,27,2857.114080550466,3129.080196818045,32.085964974046185,8.476170702285806,False,False,8.476170702285806,SS,80,256
full,baseline,19,27000011,27,3129.080196818045,3330.094758042047,114.952820977,1.7486701023563531,False,False,1.7486701023563531,SL,32,2048
full,baseline,19,27000012,27,3330.094758042047,3644.3913471135256,229.85653940820262,1.3673597883300537,True,False,1.3673597883300537,LL,160,1024
full,baseline,19,27000013,27,3644.3913471135256,3925.8709365430004,186.90687789087698,1.5059883970338042,False,False,1.5059883970338042,LL,128,1024
full,baseline,19,27000014,27,3925.8709365430004,4169.291713269632,72.35128428205302,3.364429244651473,False,True,3.364429244651473,LS,200,256
full,baseline,19,28000008,28,2267.4184048113593,2500.1266971598416,32.085964974046185,7.25265057593612,False,False,7.25265057593612,SS,80,256
full,baseline,19,28000009,28,2500.1266971598416,2750.4768337809355,32.085964974046185,7.80248114163305,False,False,7.80248114163305,SS,80,256
full,baseline,19,28000010,28,2750.4768337809355,3055.3739665899443,72.35128428205302,4.214121916902028,False,False,4.214121916902028,LS,200,256
full,baseline,19,28000011,28,3055.3739665899443,3993.1151325117635,915.9373744307104,1.0238048933254422,True,False,1.0238048933254422,LL,160,4096
full,baseline,19,28000012,28,3993.1151325117635,4559.039435241026,565.9243027292647,0.9999999999999958,True,True,0.9999999999999958,LL,200,2048
full,baseline,19,29000007,29,2441.7594653975066,2676.4714992439017,48.19209238871334,4.8703432910367885,False,False,4.8703432910367885,LS,128,256
full,baseline,19,29000008,29,2676.4714992439017,3161.810016821687,458.55018171426593,1.0584196385297953,True,False,1.0584196385297953,LL,160,2048
full,baseline,19,29000009,29,3161.810016821687,3349.7147122643332,15.979837567787547,11.758861418055213,False,False,11.758861418055213,SS,32,256
full,baseline,19,29000010,29,3349.7147122643332,3652.354997329877,58.92951067026337,5.1356320733587895,False,False,5.1356320733587895,LS,160,256
full,baseline,19,29000011,29,3652.354997329877,3944.9586570955016,58.92951067026337,4.965316298023778,False,False,4.965316298023778,LS,160,256
full,baseline,19,29000012,29,3944.9586570955016,4716.240347224302,744.1386016188327,1.0364758506693774,True,True,1.0364758506693774,LL,128,4096
full,baseline,19,30000007,30,2056.9256601416564,2313.2482951896845,243.80186035081854,1.0513563542099016,True,False,1.0513563542099016,SL,80,2048
full,baseline,19,30000008,30,2313.2482951896845,2603.4225112599565,283.5436075005082,1.0233847930066697,True,False,1.0233847930066697,LL,200,1024
full,baseline,19,30000009,30,2603.4225112599565,2846.9267594148378,58.92951067026337,4.132127441502018,False,False,4.132127441502018,LS,160,256
full,baseline,19,30000010,30,2846.9267594148378,4006.273488144713,1130.6863062355314,1.0253478107378562,True,True,1.0253478107378562,LL,200,4096
full,baseline,19,31000008,31,2156.288677653006,2428.5501826604004,229.85653940820262,1.184484486316419,True,False,1.184484486316419,LL,160,1024
full,baseline,19,31000009,31,2428.5501826604004,2802.8123074628784,372.6508694745985,1.0043237664523665,True,False,1.0043237664523665,LL,128,2048
full,baseline,19,31000010,31,2802.8123074628784,3065.4681717683534,58.92951067026337,4.457119384125732,False,False,4.457119384125732,LS,160,256
