group,strategy,seed,npu,U_percent,active_ms,A_compute_ms,B_compute_ms
R32_A200_B10,once,19,5,97.07962313842604,2000.0,1778.2082430790588,163.38421968946204
R32_A200_B10,once,19,6,99.73797339095391,2000.0,1920.4939134147771,74.26555440430093
R32_A200_B10,once,19,7,99.29373001964355,2000.0,1673.959271894807,311.9153284980639
R32_A200_B10,once,19,8,97.63829156936217,2000.0,1833.940944340362,118.82488704688149
R32_A200_B10,once,19,9,97.43677703465482,2000.0,1711.0857665993335,237.64977409376297
R32_A200_B10,once,19,10,99.31463305811076,2000.0,1822.908441472753,163.38421968946204
R32_A200_B10,once,19,11,98.46046102433661,2000.0,1850.3843334398507,118.82488704688149
R32_A200_B10,once,19,12,97.24367297982899,2000.0,1662.6643528602362,282.20910673634353
R32_A200_B10,once,19,13,99.24280984965944,2000.0,1557.4616405690067,427.39455642418216
R32_A200_B10,once,19,14,98.4189193599827,2000.0,1923.8190545570733,44.55933264258056
R32_A200_B10,once,19,15,98.47854756728444,2000.0,1821.0398425370868,148.53110880860186
R32_A200_B10,once,19,16,99.54493378605416,2000.0,1792.2659713890835,198.63270433199978
R32_A200_B10,once,19,17,99.37814502483626,2000.0,1972.7097896158648,14.853110880860186
R32_A200_B10,once,19,18,96.74278072693596,2000.0,1578.3809533980748,356.47466114064446
