group,strategy,seed,window,demand_kind,ssu,peak_GB_s,mean_GB_s,over40_percent,strictly_under40
R32_A200_B10,asu_baseline,43,full,ordinary_demand,2,76.76869834139038,30.849221045395595,15.221980885599692,False
R32_A200_B10,asu_baseline,43,full,ordinary_pending_demand,0,71.53217582996707,7.731460836649781,2.0482078187134447,False
R32_A200_B10,asu_baseline,43,full,ordinary_pending_demand,1,77.01766976179597,8.459997922789585,2.3851293488732996,False
R32_A200_B10,asu_baseline,43,full,ordinary_pending_demand,2,76.76869834139039,8.271043449330662,2.415287125100008,False
R32_A200_B10,od_baseline,43,warm,ordinary_demand,0,49.17344134030458,27.16825407323446,7.313242913874592,False
R32_A200_B10,od_baseline,43,warm,ordinary_demand,1,58.5235716397548,30.15803920757316,14.565110747500468,False
R32_A200_B10,od_baseline,43,warm,ordinary_demand,2,52.95072777181888,29.00896050616279,13.235029131576356,False
R32_A200_B10,od_baseline,43,warm,ordinary_pending_demand,0,41.094750290625484,6.432988823444784,0.13066239999716345,False
R32_A200_B10,od_baseline,43,warm,ordinary_pending_demand,1,46.811200119943024,7.430066133765749,1.5490690454960714,False
R32_A200_B10,od_baseline,43,warm,ordinary_pending_demand,2,45.65943343975271,7.009228880305277,0.2606539599943517,False
R32_A200_B10,od_baseline,43,full,ordinary_demand,0,71.53217582996706,27.651623679234948,8.861300958278672,False
R32_A200_B10,od_baseline,43,full,ordinary_demand,1,77.01766976179597,30.456318692537543,15.812424195482583,False
R32_A200_B10,od_baseline,43,full,ordinary_demand,2,77.64232866059318,29.52296392746014,13.485512357020863,False
R32_A200_B10,od_baseline,43,full,ordinary_pending_demand,0,70.2787056780921,7.2015780375413625,1.8592636302222632,False
R32_A200_B10,od_baseline,43,full,ordinary_pending_demand,1,75.61755762877593,8.024276359012573,3.0212524674690977,False
R32_A200_B10,od_baseline,43,full,ordinary_pending_demand,2,75.42341755784194,7.726933227587038,2.5294539150865885,False
R32_A200_B10,once,43,warm,ordinary_demand,0,47.474958581852064,27.711870368677666,8.112190426979122,False
R32_A200_B10,once,43,warm,ordinary_demand,1,54.48249774032851,30.605171450133454,14.642494323452093,False
R32_A200_B10,once,43,warm,ordinary_demand,2,50.526690636115795,29.54187155764664,10.651311725589176,False
R32_A200_B10,once,43,warm,ordinary_pending_demand,0,34.45986259077721,5.246550897936977,0.0,True
R32_A200_B10,once,43,warm,ordinary_pending_demand,1,39.50750443506008,5.913085514115275,0.0,True
R32_A200_B10,once,43,warm,ordinary_pending_demand,2,36.69247340651771,5.619185183405713,0.0,True
R32_A200_B10,once,43,full,ordinary_demand,0,72.5999462201038,28.520851745885256,9.630646048282749,False
R32_A200_B10,once,43,full,ordinary_demand,1,77.3088798681969,31.274474879615653,16.664164218147185,False
R32_A200_B10,once,43,full,ordinary_demand,2,79.09837919259785,30.40747384793129,13.66823656370315,False
R32_A200_B10,once,43,full,ordinary_pending_demand,0,71.53217582996706,6.56276542453671,1.77683084403309,False
R32_A200_B10,once,43,full,ordinary_pending_demand,1,77.01766976179597,7.1799642927398555,2.2248171980943425,False
R32_A200_B10,once,43,full,ordinary_pending_demand,2,76.76869834139039,6.9933646701295515,2.2388714384324553,False
R32_A200_B10,asu_baseline,7,warm,ordinary_demand,0,35.0941709833288,26.250180064408124,0.0,True
R32_A200_B10,asu_baseline,7,warm,ordinary_demand,1,39.2834935653586,28.814977729804625,0.0,True
R32_A200_B10,asu_baseline,7,warm,ordinary_demand,2,38.199305068759145,28.214545802367876,0.0,True
R32_A200_B10,asu_baseline,7,warm,ordinary_pending_demand,0,20.237444141846513,4.799467554860743,0.0,True
R32_A200_B10,asu_baseline,7,warm,ordinary_pending_demand,1,22.313688234579885,5.297285415276715,0.0,True
R32_A200_B10,asu_baseline,7,warm,ordinary_pending_demand,2,21.68886123763352,5.169220817785143,0.0,True
R32_A200_B10,asu_baseline,7,full,ordinary_demand,0,76.69729007231102,28.8003824392961,7.520632011197096,False
R32_A200_B10,asu_baseline,7,full,ordinary_demand,1,79.42146799055206,31.526751492124077,10.674063643047418,False
R32_A200_B10,asu_baseline,7,full,ordinary_demand,2,78.10632823896594,30.895352209950058,8.795199264250149,False
R32_A200_B10,asu_baseline,7,full,ordinary_pending_demand,0,73.3849468130354,7.512229188474936,2.6496951119361816,False
R32_A200_B10,asu_baseline,7,full,ordinary_pending_demand,1,77.4800672812125,8.227911471432094,3.268287791499748,False
R32_A200_B10,asu_baseline,7,full,ordinary_pending_demand,2,76.48003853031372,8.130307993196444,3.441755113301003,False
R32_A200_B10,od_baseline,7,warm,ordinary_demand,0,37.10953025707196,25.03340930212209,0.0,True
R32_A200_B10,od_baseline,7,warm,ordinary_demand,1,39.75736741373431,27.445467426441276,0.0,True
R32_A200_B10,od_baseline,7,warm,ordinary_demand,2,39.29783781593204,26.880791896436342,0.0,True
R32_A200_B10,od_baseline,7,warm,ordinary_pending_demand,0,20.264381055896262,2.493780208151158,0.0,True
R32_A200_B10,od_baseline,7,warm,ordinary_pending_demand,1,20.54236324624088,2.771669716620677,0.0,True
