num_ssu,seed,strategy,npu_id,npu_utilizations,compute_ms_by_npu,active_ms_by_npu,io_stall_ms_by_npu,idle_ms_by_npu,whole_compute_ms_by_npu,whole_stall_ms_by_npu,nonterminal_idle_ms_by_npu,terminal_tail_ms_by_npu,last_completion_ms_by_npu
6,20260906,baseline,0,0.856527798151448,856.527798151448,1000.0,143.472201848552,0.0,4405.60497700936,392.42675379452265,0.0,10.33924286679212,4798.031730803882
6,20260906,baseline,1,0.9767765357220735,976.7765357220735,1000.0,23.223464277926496,0.0,4405.604977009361,247.61639256097408,0.0,155.14960410033927,4653.221369570335
6,20260906,baseline,2,0.9281219236217803,928.1219236217803,1000.0,71.8780763782197,0.0,4405.604977009358,253.52539070679632,0.0,149.2406059545201,4659.130367716154
6,20260906,baseline,3,0.9778871018410801,977.88710184108,1000.0,22.11289815891996,0.0,4405.604977009367,294.18557328342104,0.0,108.58042337788629,4699.790550292788
6,20260906,baseline,4,0.9495395709885386,949.5395709885386,1000.0,50.46042901146143,0.0,4405.604977009362,177.20043682116017,0.0,225.56555984015176,4582.805413830522
6,20260906,baseline,5,0.8261655561336283,826.1655561336283,1000.0,173.83444386637166,0.0,4405.604977009358,339.43815162443434,0.0,63.32784503688163,4745.043128633793
6,20260906,baseline,6,0.9435767513267408,943.5767513267408,1000.0,56.423248673259195,0.0,4405.60497700936,209.08005061516468,0.0,193.6859460461501,4614.685027624524
6,20260906,baseline,7,0.9887269058659907,988.7269058659906,1000.0,11.273094134009398,0.0,4405.60497700937,234.48300063982413,0.0,168.28299602148036,4640.087977649194
6,20260906,baseline,8,0.917313754655667,917.313754655667,1000.0,82.68624534433297,0.0,4405.604977009355,228.584024531233,0.0,174.18197213008534,4634.189001540589
6,20260906,baseline,9,0.9264437588770233,926.4437588770234,1000.0,73.55624112297664,0.0,4405.604977009365,228.35535735896332,0.0,174.41063930234577,4633.960334368328
6,20260906,baseline,10,0.9358352177568684,935.8352177568684,1000.0,64.16478224313164,0.0,4405.6049770093605,268.4303897912041,0.0,134.3356068701096,4674.035366800565
6,20260906,baseline,11,0.9500579127703097,950.0579127703097,1000.0,49.94208722969029,0.0,4405.604977009358,184.0373073267849,0.0,218.72868933453174,4589.642284336142
6,20260906,baseline,12,0.996874706423645,996.874706423645,1000.0,3.125293576355034,0.0,4405.60497700936,227.1358425992821,0.0,175.6301540620325,4632.740819608642
6,20260906,baseline,13,0.8924453069671309,892.4453069671308,1000.0,107.55469303286918,0.0,4405.604977009364,402.76599666131017,0.0,0.0,4808.370973670674
6,20260906,baseline,14,0.9962813482055521,996.2813482055521,1000.0,3.718651794447851,0.0,4405.604977009361,126.60632599971746,0.0,276.15967066159556,4532.211303009079
6,20260906,baseline,15,0.9780561064675976,978.0561064675976,1000.0,21.9438935324024,0.0,4405.604977009358,115.08723498550519,0.0,287.678761675812,4520.692211994862
6,20260906,baseline,16,0.9045300094216946,904.5300094216946,1000.0,95.46999057830544,0.0,4405.60497700936,221.35261921472483,0.0,181.41337744658995,4626.957596224084
