label,input_fingerprint,seq_len_k,nql,role,sim_category,requests,request_share,compute_ms,compute_share,per_request_compute_ms,per_request_read_gib,construction
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,32,512,short,SL,3328,0.7647058823529411,98565.58011783205,0.5254302871345774,29.617061333482155,0.33837890625,direct_data_row
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,192,1024,long,LL,96,0.022058823529411766,26189.400310814995,0.13960962953541617,272.80625323765605,2.0517578125,direct_data_row
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,192,2048,long,LL,96,0.022058823529411766,52267.15096537636,0.27862408060311883,544.44948922267,2.041015625,direct_data_row
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,32,128,short,SS,896,0.30434782608695654,8444.09007350266,0.043226630151582256,9.424207671320028,0.3424072265625,direct_data_row
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,48,256,short,SS,896,0.30434782608695654,19128.297675221824,0.09792077557661594,21.348546512524205,0.512939453125,direct_data_row
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,64,512,short,SL,896,0.30434782608695654,45778.34012245064,0.23434655009615216,51.09189745809175,0.68212890625,direct_data_row
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,192,1024,long,LL,64,0.021739130434782608,17459.60020720997,0.08937844980122196,272.80625323765605,2.0517578125,direct_data_row
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,192,2048,long,LL,192,0.06521739130434782,104534.30193075236,0.5351275943744277,544.44948922267,2.041015625,direct_data_row
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,32,128,short,SS,896,0.30434782608695654,8444.09007350266,0.043226630151582256,9.424207671320028,0.3424072265625,direct_data_row
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,48,256,short,SS,896,0.30434782608695654,19128.297675221824,0.09792077557661594,21.348546512524205,0.512939453125,direct_data_row
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,64,512,short,SL,896,0.30434782608695654,45778.34012245064,0.23434655009615216,51.09189745809175,0.68212890625,direct_data_row
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,192,1024,long,LL,64,0.021739130434782608,17459.60020720997,0.08937844980122196,272.80625323765605,2.0517578125,direct_data_row
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,192,2048,long,LL,192,0.06521739130434782,104534.30193075236,0.5351275943744277,544.44948922267,2.041015625,direct_data_row
