label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,window_start_ms,window_end_ms,utilization,all_active,fully_active_npu_count,minimum_npu_utilization,maximum_npu_utilization,fleet_idle_ms
raw_skew_rho096_seed123,raw,123,new_once,new_once,fixed,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,2000,3000,0.9767163662706063,True,32,0.9592916462192493,0.998104448477257,0.0
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,0.9623487940217215,True,32,0.9238651151455299,0.9867102624281279,0.0
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,0.9666147626521762,True,32,0.9264565318005185,0.9996373822835836,0.0
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,0.9636461894249907,True,32,0.9168730104336561,0.9875541163695766,0.0
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,0.9702803647487628,True,32,0.9239477622109046,0.9978046570207867,0.0
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,0.9767551464716135,True,32,0.9560687654078396,0.9954434124490026,0.0
raw_size_varied_rho097_seed7,raw,7,new_once,new_once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,0.9741609057959553,True,32,0.9488789797491024,0.9968357957231697,0.0
raw_size_varied_rho097_seed123,raw,123,baseline,baseline,fixed,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,1000,2000,0.9588404165648834,True,32,0.8922703750977751,0.9936890141058695,0.0
raw_size_varied_rho097_seed123,raw,123,baseline,baseline,fixed,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,2000,3000,0.965755419014748,True,32,0.9228945008210758,1.0,0.0
raw_size_varied_rho097_seed123,raw,123,once,once,fixed,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,1000,2000,0.9590136956167753,True,32,0.9094938130801454,0.9941684540179888,0.0
raw_size_varied_rho097_seed123,raw,123,once,once,fixed,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,2000,3000,0.9719069507377736,True,32,0.9221155814174642,1.0,0.0
raw_size_varied_rho097_seed123,raw,123,new_once,new_once,fixed,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,1000,2000,0.9657636380224895,True,32,0.9225749649212085,0.9934391638453111,0.0
raw_size_varied_rho097_seed123,raw,123,new_once,new_once,fixed,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,2000,3000,0.9775287701921953,True,32,0.945006782412074,1.0,0.0
