label,input_fingerprint,strategy,seq_len_k,nql,role,request_count,delta_compute_fraction_pp,delta_admission_slo_pp,delta_mean_io_stall_ms
raw_equal_rho097_seed123,bb25e1048e0953666eebeef4f0082b4d7fa73f1aaf84808bf3a1a82eed6b5edc,new_once,192,2048,long,192,-0.8477389059355023,0.0,4.714162702482206
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,once,32,128,short,416,36.024103550431505,46.875,-5.6789044692549036
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,once,32,256,short,416,14.52647703402662,11.298076923076927,-2.735461667028
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,once,32,512,short,3328,-5.6750656330631255,-1.2019230769230727,1.8384030878085142
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,once,192,1024,long,96,0.253636160888171,0.0,-0.7045926770639905
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,once,192,2048,long,96,0.06704066000282616,0.0,-0.368233580688754
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,new_once,32,128,short,416,38.45961291716833,47.83653846153846,-5.914940298806876
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,new_once,32,256,short,416,14.778324068941018,11.298076923076927,-2.7758724454196524
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,new_once,32,512,short,3328,-3.4492275130586725,-0.6610576923076872,1.0911899239473102
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,new_once,192,1024,long,96,0.22051376242352427,0.0,-0.6127843292539117
raw_skew_rho096_seed7,15bab555443db2ca9f6a4130958c53636127497269d4fccf5fbead34fa582025,new_once,192,2048,long,96,0.06729586731767379,0.0,-0.36963440824182836
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,once,32,128,short,416,39.51867505706774,45.432692307692314,-6.435804996614954
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,once,32,256,short,416,16.581319502452374,15.625,-3.1860003821810947
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,once,32,512,short,3328,-5.755990897836504,-1.7127403846153855,1.877502943346656
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,once,192,1024,long,96,0.24126883584926206,0.0,-0.6703202325285571
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,once,192,2048,long,96,0.0616110792788338,0.0,-0.3387261605706855
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,new_once,32,128,short,416,41.04093475167881,45.432692307692314,-6.581843972097463
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,new_once,32,256,short,416,16.702806362794178,15.625,-3.2054437786198418
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,new_once,32,512,short,3328,-4.003339220754554,-0.15024038461538547,1.2815249246204765
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,new_once,192,1024,long,96,0.12312630712071337,0.0,-0.3424912037805772
raw_skew_rho096_seed123,b7a8b2dbe465bfa2666b53efd636dc37c4a2fbc46fb49f8767b2f3c19c9eff54,new_once,192,2048,long,96,0.004900739904212248,0.0,-0.026958707302929152
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,once,32,128,short,896,18.235687278651348,25.223214285714292,-3.910065748484368
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,once,48,256,short,896,7.580058012682422,6.808035714285721,-1.9698810361573524
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,once,64,512,short,896,-9.046266233778299,-5.915178571428569,5.272326508242295
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,once,192,1024,long,64,-0.3848368156202264,0.0,1.0794008785130167
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,once,192,2048,long,192,-0.15560481718123187,0.0,0.8568477671850316
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,new_once,32,128,short,896,34.64299787238379,43.19196428571429,-6.1097540657178655
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,new_once,48,256,short,896,12.562878476384432,8.59375,-3.101283995555811
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,new_once,64,512,short,896,-11.732717109449498,-9.82142857142857,7.0503391487362785
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,new_once,192,1024,long,64,-1.1906370198536131,0.0,3.3670963244424907
raw_size_varied_rho097_seed7,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,new_once,192,2048,long,192,-0.33938803685602537,0.0,1.8723249763470062
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,once,32,128,short,896,17.348349300019983,27.008928571428577,-3.729269019566863
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,once,48,256,short,896,7.428147790491934,4.241071428571431,-1.901982081661267
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,once,64,512,short,896,-7.6529008086130945,-4.57589285714286,4.407057131358596
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,once,192,1024,long,64,-0.1440092490737621,0.0,0.4009398703612548
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,once,192,2048,long,192,-0.2036588165871489,0.0,1.1232436698625121
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,new_once,32,128,short,896,34.805910731985,47.99107142857144,-6.0761616835600645
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,new_once,48,256,short,896,10.938176685503542,4.352678571428569,-2.7010354240086483
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,new_once,64,512,short,896,-10.4602416573932,-10.9375,6.216677751293775
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,new_once,192,1024,long,64,-0.6788965165333338,0.0,1.9004097688246784
raw_size_varied_rho097_seed123,76ee8e2af197746a7921101b45b905c277cf14d698270720c4d69e8a1a001f81,new_once,192,2048,long,192,-0.4501789678723278,0.0,2.489063500535368
