regime,policy,seed,npu_id,U_percent,mean_demand_GiB_s,mean_supply_GiB_s,source_cycle_count
full,once,7,1,96.77672505015283,1.9999151589455733,1.9176483154296875,22
full,once,7,2,60.60710532220128,6.275771675157361,3.8018951416015625,62
full,once,7,3,55.21785240688629,6.568229411941788,3.3927327128906244,57
full,once,7,4,62.56297411966193,8.685945844604417,5.474571228027344,67
full,once,7,5,37.92613275663067,8.102576904062985,3.7813339233398438,36
full,once,7,6,63.769805412984596,4.706703849320537,2.9146575927734375,40
full,once,7,7,50.995543387615925,5.582112700179221,2.6471939086914062,38
full,once,7,8,43.93226618206921,6.816077881693591,3.0412979125976562,37
full,once,7,9,89.45173278316345,2.8481869311273886,2.5015029907226562,46
full,once,7,10,56.59111845745995,6.200556531736148,3.441864013671875,31
full,once,7,11,70.93644314542854,3.1582860443003953,2.0279089675936257,27
full,once,7,12,34.318172794679334,7.159143017354808,2.2220382690429688,28
full,once,7,13,63.36393560803565,5.746655598190993,3.062530517578125,44
full,once,7,14,65.59965415355974,4.880704568838484,2.389129638671875,32
full,once,7,15,64.15075274078103,5.887761768390303,4.279502868652344,51
full,once,7,16,51.80410021606809,8.049829893766622,4.53312635693359,65
full,once,7,17,56.92584928904441,9.74475043570643,6.518913269042969,80
full,once,7,18,53.39964899272161,5.016130375876376,2.60162353515625,35
full,once,7,19,54.43664733617522,5.305269772043497,2.6547026997962075,39
full,once,7,20,83.3200041360248,5.732256332212329,4.255659010742184,90
full,once,7,21,69.63509355796486,3.7710763335187094,2.1847763061523438,37
full,once,7,22,59.990707012425425,5.473624806750533,2.5618438720703125,41
full,once,7,23,75.26059365813339,3.5802774450923462,2.7820587158203125,39
full,once,7,24,62.378289620248665,8.06943388757621,5.9862518310546875,84
full,once,7,25,84.83539748682297,2.2480088862768173,1.7847976684570312,28
full,once,7,26,91.37358365573857,7.419049551915,6.47686767578125,112
full,once,7,27,45.34524158178012,7.2810474546884105,3.166595458984375,42
full,once,7,28,56.91555512296089,9.27818306889902,6.5609588623046875,89
full,once,7,29,62.295767880829544,4.298791628766695,2.7236480712890625,33
full,once,7,30,65.54996332823835,9.255981539952712,6.289687526019739,91
full,once,7,31,91.92278546325352,2.0754169260068958,1.77178955078125,18
under,od_baseline,7,0,100.0,1.7412891481192783,1.69189453125,27
under,od_baseline,7,1,100.0,3.0867370794320754,2.9661865234375,41
under,od_baseline,7,2,100.0,2.259110738349486,2.290771484375,36
under,od_baseline,7,3,100.0,2.885531435408444,2.886962890625,38
under,od_baseline,7,4,100.0,2.5082775358568155,2.478759765625,51
under,od_baseline,7,5,100.0,2.724569653301307,2.709716796875,47
under,od_baseline,7,6,100.0,2.6889971792714644,2.7550961329153507,34
under,od_baseline,7,7,100.0,2.113749659726103,2.126953125,29
under,od_baseline,7,8,100.0,2.2824162515286455,2.3310546875,37
under,od_baseline,7,9,100.0,2.5531052951906807,2.5552978515625,48
under,od_baseline,7,10,100.0,2.3341695431387666,2.341796875,61
under,od_baseline,7,11,100.0,2.6271227656569454,2.736572265625,57
under,od_baseline,7,12,100.0,2.214099471003101,2.1417236328124956,27
under,od_baseline,7,13,100.0,2.258736153301358,2.210205078125,22
under,od_baseline,7,14,100.0,1.7759102903263435,1.614013671875,36
under,od_baseline,7,15,100.0,2.1493896011017117,1.9873046875,33
under,od_baseline,7,16,100.0,2.689337351007005,2.63720703125,39
under,od_baseline,7,17,100.0,2.7341583608105626,2.7459716796875,43
under,od_baseline,7,18,100.0,2.5174240184595185,2.44384765625,37
under,od_baseline,7,19,100.0,2.479116823589484,2.3726806640625,46
under,od_baseline,7,20,100.0,2.1290429204474233,2.118896484375,23
under,od_baseline,7,21,100.0,2.419398306547662,2.419677734375,39
under,od_baseline,7,22,100.0,2.10397077912962,2.081298828125,30
under,od_baseline,7,23,100.0,1.9542998131030818,1.85302734375,27
under,od_baseline,7,24,100.0,2.4492781239633876,2.5284423828125,38
under,od_baseline,7,25,100.0,2.5207687285201548,2.61572265625,35
under,od_baseline,7,26,100.0,2.3815594602969896,2.328369140625,30
