scenario,policy,seed,request_id,npu_id,profile,category,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,completed_after_window,equal_seed_weight
full,static,43,17000010,17,L128_M1024,LL,3005.884427135093,3797.4036056103832,791.5191784752901,186.90687789087698,4.234831737638931,False,False,0.0017452006980802793
full,static,43,17000011,17,L64_M256,SS,3797.4036056103832,3824.120861775642,26.717256165258732,26.717256165257165,1.0000000000000586,True,False,0.0017452006980802793
full,static,43,17000012,17,L32_M1024,SL,3824.120861775642,3882.178714408281,58.05785263263897,58.057852632638046,1.000000000000016,True,False,0.0017452006980802793
full,static,43,17000013,17,L32_M4096,SL,3882.178714408281,4110.921450375328,228.74273596704734,228.74273596704626,1.0000000000000047,True,True,0.0017452006980802793
full,static,43,18000003,18,L128_M1024,LL,2235.145387094166,3081.5501052441723,846.4047181500064,186.90687789087698,4.528483529879345,False,False,0.0017452006980802793
full,static,43,18000004,18,L80_M2048,SL,3081.5501052441723,3341.483807177548,259.9337019333757,243.80186035081854,1.066167836288633,True,False,0.0017452006980802793
full,static,43,18000005,18,L128_M256,LS,3341.483807177548,3390.1412911657967,48.657483988248714,48.19209238871334,1.0096570116894192,True,False,0.0017452006980802793
full,static,43,18000006,18,L128_M256,LS,3390.1412911657967,3438.3333835545086,48.1920923887119,48.19209238871334,0.99999999999997,True,False,0.0017452006980802793
full,static,43,18000007,18,L200_M256,LS,3438.3333835545086,3510.6846678365614,72.3512842820528,72.35128428205302,0.999999999999997,True,False,0.0017452006980802793
full,static,43,18000008,18,L64_M256,SS,3510.6846678365614,3541.8269849779876,31.142317141426247,26.717256165257165,1.1656255772972444,True,False,0.0017452006980802793
full,static,43,18000009,18,L64_M256,SS,3541.8269849779876,3570.389801788684,28.562816810696404,26.717256165257165,1.069077476894472,True,False,0.0017452006980802793
full,static,43,18000010,18,L64_M1024,SL,3570.389801788684,3696.112151504906,125.72234971622174,101.00752608339441,1.2446829913686048,True,False,0.0017452006980802793
full,static,43,18000011,18,L128_M1024,LL,3696.112151504906,4282.358721064485,586.2465695595788,186.90687789087698,3.1365703401340363,False,True,0.0017452006980802793
full,static,43,19000005,19,L80_M256,SS,2410.9792529973147,2443.0652179713597,32.085964974045055,32.085964974046185,0.9999999999999648,True,False,0.0017452006980802793
full,static,43,19000006,19,L32_M4096,SL,2443.0652179713597,2671.807953938407,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,0.0017452006980802793
full,static,43,19000007,19,L128_M256,LS,2671.807953938407,2720.000046327119,48.1920923887119,48.19209238871334,0.99999999999997,True,False,0.0017452006980802793
full,static,43,19000008,19,L64_M4096,SL,2720.000046327119,3120.5414060126295,400.54135968551054,400.5413596855101,1.000000000000001,True,False,0.0017452006980802793
full,static,43,19000009,19,L80_M256,SS,3120.5414060126295,3152.6273709866746,32.085964974045055,32.085964974046185,0.9999999999999648,True,False,0.0017452006980802793
full,static,43,19000010,19,L128_M256,LS,3152.6273709866746,3201.3684266882574,48.74105570158281,48.19209238871334,1.0113911491628456,True,False,0.0017452006980802793
full,static,43,19000011,19,L200_M256,LS,3201.3684266882574,3273.71971097031,72.3512842820528,72.35128428205302,0.999999999999997,True,False,0.0017452006980802793
full,static,43,19000012,19,L128_M2048,LL,3273.71971097031,3950.3373236918915,676.6176127215813,372.6508694745985,1.8156877338715092,False,False,0.0017452006980802793
full,static,43,19000013,19,L160_M4096,LL,3950.3373236918915,4866.2746981226,915.9373744307086,915.9373744307104,0.999999999999998,True,True,0.0017452006980802793
full,static,43,20000006,20,L128_M1024,LL,2479.8521543311185,3267.55779567386,787.7056413427413,186.90687789087698,4.214428330468569,False,False,0.0017452006980802793
full,static,43,20000007,20,L32_M256,SS,3267.55779567386,3283.537633241649,15.979837567789218,15.979837567787547,1.0000000000001046,True,False,0.0017452006980802793
full,static,43,20000008,20,L160_M2048,LL,3283.537633241649,4157.048615853932,873.5109826122825,458.55018171426593,1.9049408711315026,False,True,0.0017452006980802793
full,static,43,21000006,21,L128_M256,LS,2117.142559369385,2165.9808060339606,48.83824666457576,48.19209238871334,1.0134078900465786,True,False,0.0017452006980802793
full,static,43,21000007,21,L160_M256,LS,2165.9808060339606,2230.6163109040954,64.63550487013481,58.92951067026337,1.0968274491841448,True,False,0.0017452006980802793
full,static,43,21000008,21,L64_M256,SS,2230.6163109040954,2257.333567069354,26.717256165258732,26.717256165257165,1.0000000000000586,True,False,0.0017452006980802793
full,static,43,21000009,21,L160_M2048,LL,2257.333567069354,3127.5645337586443,870.2309666892902,458.55018171426593,1.8977878570148574,False,False,0.0017452006980802793
full,static,43,21000010,21,L32_M256,SS,3127.5645337586443,3143.5443713264335,15.979837567789218,15.979837567787547,1.0000000000001046,True,False,0.0017452006980802793
full,static,43,21000011,21,L64_M1024,SL,3143.5443713264335,3324.109684865575,180.5653135391417,101.00752608339441,1.7876421742085074,False,False,0.0017452006980802793
full,static,43,21000012,21,L128_M256,LS,3324.109684865575,3375.937265897242,51.827581031666796,48.19209238871334,1.075437451721953,True,False,0.0017452006980802793
full,static,43,21000013,21,L32_M1024,SL,3375.937265897242,3457.1286945526044,81.19142865536242,58.057852632638046,1.398457314105336,True,False,0.0017452006980802793
full,static,43,21000014,21,L32_M256,SS,3457.1286945526044,3473.1085321203936,15.979837567789218,15.979837567787547,1.0000000000001046,True,False,0.0017452006980802793
full,static,43,21000015,21,L80_M1024,SL,3473.1085321203936,3627.285924985546,154.17739286515234,122.48236916054397,1.2587721312204867,True,False,0.0017452006980802793
full,static,43,21000016,21,L128_M1024,LL,3627.285924985546,4261.5876944531565,634.3017694676105,186.90687789087698,3.393678053078062,False,True,0.0017452006980802793
