panel,strategy,input_fingerprint,npu_id,request_id,home_ssu,admission_time_ms,completion_time_ms,clipped_start_ms,clipped_end_ms
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,21,21000003,5,139.3464572730943,177.55839878101835,139.3464572730943,177.55839878101835
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,25,25000003,6,139.3464572730943,177.55839878101835,139.3464572730943,177.55839878101835
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,29,29000003,7,139.3464572730943,177.55839878101835,139.3464572730943,177.55839878101835
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,0,3,0,140.40389135512555,180.20309736567236,140.40389135512555,180.20309736567236
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,5,5000003,1,140.40389135512555,180.20309736567236,140.40389135512555,180.20309736567236
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,8,8000003,2,140.40389135512555,180.20309736567236,140.40389135512555,180.20309736567236
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,12,12000003,3,140.40389135512555,180.20309736567236,140.40389135512555,180.20309736567236
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,16,16000003,4,140.40389135512555,180.20309736567236,140.40389135512555,180.20309736567236
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,20,20000003,5,140.40389135512555,180.20309736567236,140.40389135512555,180.20309736567236
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,24,24000003,6,140.40389135512555,180.20309736567236,140.40389135512555,180.20309736567236
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,28,28000003,7,140.40389135512555,180.20309736567236,140.40389135512555,180.20309736567236
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1,1000004,0,177.55839878101835,215.7703402889424,177.55839878101835,215.7703402889424
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,4,4000004,1,177.55839878101835,215.7703402889424,177.55839878101835,215.7703402889424
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,9,9000004,2,177.55839878101835,215.7703402889424,177.55839878101835,215.7703402889424
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,13,13000004,3,177.55839878101835,215.7703402889424,177.55839878101835,215.7703402889424
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,17,17000004,4,177.55839878101835,215.7703402889424,177.55839878101835,215.7703402889424
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,21,21000004,5,177.55839878101835,215.7703402889424,177.55839878101835,215.7703402889424
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,25,25000004,6,177.55839878101835,215.7703402889424,177.55839878101835,215.7703402889424
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,29,29000004,7,177.55839878101835,215.7703402889424,177.55839878101835,215.7703402889424
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,0,4,0,180.20309736567236,218.41503887359642,180.20309736567236,218.41503887359642
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,5,5000004,1,180.20309736567236,218.41503887359642,180.20309736567236,218.41503887359642
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,8,8000004,2,180.20309736567236,218.41503887359642,180.20309736567236,218.41503887359642
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,12,12000004,3,180.20309736567236,218.41503887359642,180.20309736567236,218.41503887359642
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,16,16000004,4,180.20309736567236,218.41503887359642,180.20309736567236,218.41503887359642
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,20,20000004,5,180.20309736567236,218.41503887359642,180.20309736567236,218.41503887359642
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,24,24000004,6,180.20309736567236,218.41503887359642,180.20309736567236,218.41503887359642
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,28,28000004,7,180.20309736567236,218.41503887359642,180.20309736567236,218.41503887359642
baseline_original,baseline_native,acb863fc25c304971f5d93a81f91921c4745f75defee563e26da2ac630046fa7,1,1000005,0,215.7703402889424,253.98228179686646,215.7703402889424,253.98228179686646
