strategy,input_fingerprint,npu_id,request_id,layer,state,actual_start_ms,actual_end_ms,clipped_start_ms,clipped_end_ms
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000087,7,compute,1024.8403324430878,1025.3682412878434,1024.8403324430878,1025.3682412878434
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,0,compute,1015.6334309092863,1016.1613397540418,1015.6334309092863,1016.1613397540418
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,1,compute,1016.1613397540418,1016.6892485987973,1016.1613397540418,1016.6892485987973
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,2,compute,1016.6892485987973,1017.2171574435529,1016.6892485987973,1017.2171574435529
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,3,compute,1017.2171574435529,1017.7450662883084,1017.2171574435529,1017.7450662883084
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,4,stall,1017.7450662883084,1023.2859790777665,1017.7450662883084,1023.2859790777665
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,4,compute,1023.2859790777665,1023.813887922522,1023.2859790777665,1023.813887922522
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,5,compute,1023.813887922522,1024.3417967672776,1023.813887922522,1024.3417967672776
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,6,compute,1024.3417967672776,1024.8697056120332,1024.3417967672776,1024.8697056120332
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,87,7,compute,1024.8697056120332,1025.3976144567887,1024.8697056120332,1025.3976144567887
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,0,compute,1015.6628040782316,1016.1907129229871,1015.6628040782316,1016.1907129229871
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,1,compute,1016.1907129229871,1016.7186217677427,1016.1907129229871,1016.7186217677427
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,2,compute,1016.7186217677427,1017.2465306124982,1016.7186217677427,1017.2465306124982
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,3,compute,1017.2465306124982,1017.7744394572537,1017.2465306124982,1017.7744394572537
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,4,stall,1017.7744394572537,1023.3153522467118,1017.7744394572537,1023.3153522467118
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,4,compute,1023.3153522467118,1023.8432610914673,1023.3153522467118,1023.8432610914673
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,5,compute,1023.8432610914673,1024.371169936223,1023.8432610914673,1024.371169936223
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,6,compute,1024.371169936223,1024.8990787809785,1024.371169936223,1024.8990787809785
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000087,7,compute,1024.8990787809785,1025.426987625734,1024.8990787809785,1025.426987625734
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000088,0,compute,1025.3682412878434,1025.896150132599,1025.3682412878434,1025.896150132599
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000088,1,compute,1025.896150132599,1026.4240589773544,1025.896150132599,1026.4240589773544
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000088,2,stall,1026.4240589773544,1031.9649717668124,1026.4240589773544,1030
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,88,0,compute,1025.3976144567887,1025.9255233015442,1025.3976144567887,1025.9255233015442
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,88,1,compute,1025.9255233015442,1026.4534321462997,1025.9255233015442,1026.4534321462997
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,88,2,stall,1026.4534321462997,1031.9943449357577,1026.4534321462997,1030
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000088,0,compute,1025.426987625734,1025.9548964704895,1025.426987625734,1025.9548964704895
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000088,1,compute,1025.9548964704895,1026.482805315245,1025.9548964704895,1026.482805315245
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000088,2,stall,1026.482805315245,1032.023718104703,1026.482805315245,1030
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,3,3000014,1,compute,991.8955311619959,1000.6038970199871,1000,1000.6038970199871
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,3,3000014,2,compute,1000.6038970199871,1009.3122628779784,1000.6038970199871,1009.3122628779784
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,3,3000014,3,compute,1009.3122628779784,1018.0206287359696,1009.3122628779784,1018.0206287359696
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,3,3000014,4,compute,1018.0206287359696,1026.7289945939608,1018.0206287359696,1026.7289945939608
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,3,3000014,5,compute,1026.7289945939608,1035.4373604519521,1026.7289945939608,1030
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000236,4,compute,999.9642224959516,1000.4921313407071,1000,1000.4921313407071
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000236,5,compute,1000.4921313407071,1001.0200401854627,1000.4921313407071,1001.0200401854627
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000236,6,compute,1001.0200401854627,1001.5479490302182,1001.0200401854627,1001.5479490302182
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000236,7,compute,1001.5479490302182,1002.0758578749737,1001.5479490302182,1002.0758578749737
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,236,3,compute,999.8029965720366,1000.3309054167921,1000,1000.3309054167921
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,236,4,compute,1000.3309054167921,1000.8588142615476,1000.3309054167921,1000.8588142615476
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,236,5,compute,1000.8588142615476,1001.3867231063032,1000.8588142615476,1001.3867231063032
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,236,6,compute,1001.3867231063032,1001.9146319510587,1001.3867231063032,1001.9146319510587
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,236,7,compute,1001.9146319510587,1002.4425407958142,1001.9146319510587,1002.4425407958142
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000236,3,compute,999.8651308806593,1000.3930397254148,1000,1000.3930397254148
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000236,4,compute,1000.3930397254148,1000.9209485701704,1000.3930397254148,1000.9209485701704
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000236,5,compute,1000.9209485701704,1001.4488574149259,1000.9209485701704,1001.4488574149259
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000236,6,compute,1001.4488574149259,1001.9767662596814,1001.4488574149259,1001.9767662596814
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000236,7,compute,1001.9767662596814,1002.504675104437,1001.9767662596814,1002.504675104437
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000237,0,compute,1002.0758578749737,1002.6037667197293,1002.0758578749737,1002.6037667197293
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000237,1,compute,1002.6037667197293,1003.1316755644848,1002.6037667197293,1003.1316755644848
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000237,2,compute,1003.1316755644848,1003.6595844092403,1003.1316755644848,1003.6595844092403
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000237,3,compute,1003.6595844092403,1004.1874932539959,1003.6595844092403,1004.1874932539959
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000237,4,compute,1004.1874932539959,1004.7154020987514,1004.1874932539959,1004.7154020987514
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000237,5,compute,1004.7154020987514,1005.2433109435069,1004.7154020987514,1005.2433109435069
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000237,6,compute,1005.2433109435069,1005.7712197882624,1005.2433109435069,1005.7712197882624
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000237,7,compute,1005.7712197882624,1006.299128633018,1005.7712197882624,1006.299128633018
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,237,0,compute,1002.4425407958142,1002.9704496405698,1002.4425407958142,1002.9704496405698
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,237,1,compute,1002.9704496405698,1003.4983584853253,1002.9704496405698,1003.4983584853253
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,237,2,compute,1003.4983584853253,1004.0262673300808,1003.4983584853253,1004.0262673300808
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,237,3,compute,1004.0262673300808,1004.5541761748364,1004.0262673300808,1004.5541761748364
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,237,4,compute,1004.5541761748364,1005.0820850195919,1004.5541761748364,1005.0820850195919
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,237,5,compute,1005.0820850195919,1005.6099938643474,1005.0820850195919,1005.6099938643474
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,237,6,compute,1005.6099938643474,1006.137902709103,1005.6099938643474,1006.137902709103
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,237,7,compute,1006.137902709103,1006.6658115538585,1006.137902709103,1006.6658115538585
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000237,0,compute,1002.504675104437,1003.0325839491925,1002.504675104437,1003.0325839491925
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000237,1,compute,1003.0325839491925,1003.560492793948,1003.0325839491925,1003.560492793948
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000237,2,compute,1003.560492793948,1004.0884016387035,1003.560492793948,1004.0884016387035
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000237,3,compute,1004.0884016387035,1004.6163104834591,1004.0884016387035,1004.6163104834591
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000237,4,compute,1004.6163104834591,1005.1442193282146,1004.6163104834591,1005.1442193282146
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000237,5,compute,1005.1442193282146,1005.6721281729701,1005.1442193282146,1005.6721281729701
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000237,6,compute,1005.6721281729701,1006.2000370177257,1005.6721281729701,1006.2000370177257
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000237,7,compute,1006.2000370177257,1006.7279458624812,1006.2000370177257,1006.7279458624812
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000238,0,compute,1006.299128633018,1006.8270374777735,1006.299128633018,1006.8270374777735
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000238,1,compute,1006.8270374777735,1007.354946322529,1006.8270374777735,1007.354946322529
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000238,2,compute,1007.354946322529,1007.8828551672846,1007.354946322529,1007.8828551672846
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000238,3,compute,1007.8828551672846,1008.4107640120401,1007.8828551672846,1008.4107640120401
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000238,4,compute,1008.4107640120401,1008.9386728567956,1008.4107640120401,1008.9386728567956
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000238,5,compute,1008.9386728567956,1009.4665817015511,1008.9386728567956,1009.4665817015511
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000238,6,compute,1009.4665817015511,1009.9944905463067,1009.4665817015511,1009.9944905463067
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1,1000238,7,compute,1009.9944905463067,1010.5223993910622,1009.9944905463067,1010.5223993910622
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,238,0,compute,1006.6658115538585,1007.193720398614,1006.6658115538585,1007.193720398614
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,238,1,compute,1007.193720398614,1007.7216292433695,1007.193720398614,1007.7216292433695
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,238,2,compute,1007.7216292433695,1008.2495380881251,1007.7216292433695,1008.2495380881251
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,238,3,compute,1008.2495380881251,1008.7774469328806,1008.2495380881251,1008.7774469328806
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,238,4,compute,1008.7774469328806,1009.3053557776361,1008.7774469328806,1009.3053557776361
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,238,5,compute,1009.3053557776361,1009.8332646223917,1009.3053557776361,1009.8332646223917
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,238,6,compute,1009.8332646223917,1010.3611734671472,1009.8332646223917,1010.3611734671472
once,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,238,7,compute,1010.3611734671472,1010.8890823119027,1010.3611734671472,1010.8890823119027
