npu_id,request_id,profile,profile_seq_len_k,profile_nql,layer,io_release_time_ms,io_ready_time_ms,io_duration_ms,comparison_deadline_ms,read_exceeds_compute_window,overrun_ms,previous_compute_end_ms,compute_start_time_ms,compute_end_time_ms,compute_duration_ms,actual_io_barrier_wait_ms
9,9,F,200,256,2,103.85848999023438,149.49180603027344,45.63331604003906,112.902400525491,True,36.589405504782434,112.902400525491,149.49180603027344,158.53571656553007,9.043910535256627,36.589405504782434
10,10,F,200,256,0,0.0,52.30448232421875,52.30448232421875,9.043910535256627,True,43.260571788962125,0.0,52.30448232421875,61.34839285947538,9.043910535256627,52.30448232421875
10,10,F,200,256,1,52.30448232421875,81.63149343261719,29.327011108398438,61.34839285947538,True,20.28310057314181,61.34839285947538,81.63149343261719,90.67540396787382,9.043910535256627,20.28310057314181
10,10,F,200,256,2,81.63149343261719,123.50997924804688,41.878485815429684,90.67540396787382,True,32.834575280173055,90.67540396787382,123.50997924804688,132.5538897833035,9.043910535256627,32.834575280173055
11,11,F,200,256,0,0.0,51.645684106445316,51.645684106445316,9.043910535256627,True,42.60177357118869,0.0,51.645684106445316,60.689594641701945,9.043910535256627,51.645684106445316
11,11,F,200,256,1,51.645684106445316,57.227625439453135,5.581941333007819,60.689594641701945,False,0.0,60.689594641701945,60.689594641701945,69.73350517695857,9.043910535256627,0.0
11,11,F,200,256,2,60.689594641701945,108.75961303710938,48.07001839540743,69.73350517695857,True,39.0261078601508,69.73350517695857,108.75961303710938,117.803523572366,9.043910535256627,39.0261078601508
12,12,F,200,256,0,0.0,51.6497802734375,51.6497802734375,9.043910535256627,True,42.60586973818087,0.0,51.6497802734375,60.69369080869413,9.043910535256627,51.6497802734375
12,12,F,200,256,1,51.6497802734375,57.3073526123047,5.6575723388671975,60.69369080869413,False,0.0,60.69369080869413,60.69369080869413,69.73760134395076,9.043910535256627,0.0
12,12,F,200,256,2,60.69369080869413,108.89808654785156,48.204395739157434,69.73760134395076,True,39.160485203900805,69.73760134395076,108.89808654785156,117.94199708310819,9.043910535256627,39.160485203900805
13,13,F,200,256,0,0.0,52.50160217285156,52.50160217285156,9.043910535256627,True,43.457691637594934,0.0,52.50160217285156,61.54551270810819,9.043910535256627,52.50160217285156
13,13,F,200,256,1,52.50160217285156,104.21516418457031,51.71356201171875,61.54551270810819,True,42.66965147646212,61.54551270810819,104.21516418457031,113.25907471982694,9.043910535256627,42.66965147646212
13,13,F,200,256,2,104.21516418457031,151.36497497558594,47.149810791015625,113.25907471982694,True,38.105900255758996,113.25907471982694,151.36497497558594,160.40888551084257,9.043910535256627,38.105900255758996
14,14,F,200,256,0,0.0,52.32546315917969,52.32546315917969,9.043910535256627,True,43.28155262392306,0.0,52.32546315917969,61.36937369443632,9.043910535256627,52.32546315917969
14,14,F,200,256,1,52.32546315917969,83.63306508789063,31.307601928710938,61.36937369443632,True,22.26369139345431,61.36937369443632,83.63306508789063,92.67697562314726,9.043910535256627,22.26369139345431
14,14,F,200,256,2,83.63306508789063,132.13226318359375,48.49919809570312,92.67697562314726,True,39.45528756044649,92.67697562314726,132.13226318359375,141.17617371885038,9.043910535256627,39.45528756044649
15,15,F,200,256,0,0.0,52.47222900390625,52.47222900390625,9.043910535256627,True,43.42831846864962,0.0,52.47222900390625,61.51613953916288,9.043910535256627,52.47222900390625
15,15,F,200,256,1,52.47222900390625,101.298928125,48.82669912109375,61.51613953916288,True,39.782788585837125,61.51613953916288,101.298928125,110.34283866025663,9.043910535256627,39.782788585837125
15,15,F,200,256,2,101.298928125,138.9879608154297,37.689032690429684,110.34283866025663,True,28.645122155173055,110.34283866025663,138.9879608154297,148.03187135068632,9.043910535256627,28.645122155173055
16,16,F,200,256,0,0.0,52.47642517089844,52.47642517089844,9.043910535256627,True,43.43251463564181,0.0,52.47642517089844,61.520335706155066,9.043910535256627,52.47642517089844
16,16,F,200,256,1,52.47642517089844,101.79827199707032,49.32184682617188,61.520335706155066,True,40.27793629091525,61.520335706155066,101.79827199707032,110.84218253232694,9.043910535256627,40.27793629091525
16,16,F,200,256,2,101.79827199707032,140.74615478515625,38.947882788085934,110.84218253232694,True,29.903972252829305,110.84218253232694,140.74615478515625,149.79006532041288,9.043910535256627,29.903972252829305
17,17,F,200,256,0,0.0,52.3212669921875,52.3212669921875,9.043910535256627,True,43.277356456930875,0.0,52.3212669921875,61.36517752744413,9.043910535256627,52.3212669921875
17,17,F,200,256,1,52.3212669921875,83.24282155761719,30.921554565429688,61.36517752744413,True,21.87764403017306,61.36517752744413,83.24282155761719,92.28673209287382,9.043910535256627,21.87764403017306
17,17,F,200,256,2,83.24282155761719,130.40176391601562,47.158942358398434,92.28673209287382,True,38.115031823141805,92.28673209287382,130.40176391601562,139.44567445127225,9.043910535256627,38.115031823141805
18,18,F,200,256,0,0.0,51.92253112792969,51.92253112792969,9.043910535256627,True,42.87862059267306,0.0,51.92253112792969,60.966441663186316,9.043910535256627,51.92253112792969
18,18,F,200,256,1,51.92253112792969,60.31348664550782,8.390955517578135,60.966441663186316,False,0.0,60.966441663186316,60.966441663186316,70.01035219844294,9.043910535256627,0.0
18,18,F,200,256,2,60.966441663186316,111.409912109375,50.443470446188684,70.01035219844294,True,41.399559910932055,70.01035219844294,111.409912109375,120.45382264463163,9.043910535256627,41.399559910932055
19,19,F,200,256,0,0.0,52.32965932617188,52.32965932617188,9.043910535256627,True,43.28574879091525,0.0,52.32965932617188,61.37356986142851,9.043910535256627,52.32965932617188
19,19,F,200,256,1,52.32965932617188,84.03170095214844,31.702041625976562,61.37356986142851,True,22.658131090719934,61.37356986142851,84.03170095214844,93.07561148740507,9.043910535256627,22.658131090719934
19,19,F,200,256,2,84.03170095214844,133.81492614746094,49.7832251953125,93.07561148740507,True,40.73931466005587,93.07561148740507,133.81492614746094,142.85883668271757,9.043910535256627,40.73931466005587
20,20,F,200,256,0,0.0,52.50579833984375,52.50579833984375,9.043910535256627,True,43.46188780458712,0.0,52.50579833984375,61.54970887510038,9.043910535256627,52.50579833984375
20,20,F,200,256,1,52.50579833984375,104.521484375,52.01568603515625,61.54970887510038,True,42.97177549989962,61.54970887510038,104.521484375,113.56539491025663,9.043910535256627,42.97177549989962
20,20,F,200,256,2,104.521484375,153.0266571044922,48.50517272949219,113.56539491025663,True,39.46126219423556,113.56539491025663,153.0266571044922,162.07056763974882,9.043910535256627,39.46126219423556
21,21,F,200,256,0,0.0,52.489013671875,52.489013671875,9.043910535256627,True,43.44510313661837,0.0,52.489013671875,61.53292420713163,9.043910535256627,52.489013671875
21,21,F,200,256,1,52.489013671875,103.40960012207032,50.920586450195316,61.53292420713163,True,41.87667591493869,61.53292420713163,103.40960012207032,112.45351065732694,9.043910535256627,41.87667591493869
21,21,F,200,256,2,103.40960012207032,146.16928100585938,42.75968088378906,112.45351065732694,True,33.71577034853243,112.45351065732694,146.16928100585938,155.213191541116,9.043910535256627,33.71577034853243
22,22,F,200,256,0,0.0,52.31287465820313,52.31287465820313,9.043910535256627,True,43.2689641229465,0.0,52.31287465820313,61.35678519345976,9.043910535256627,52.31287465820313
