case,id,mode,ssu,seed,strategy,npu_id,A_count,B_count,warm_roles,warm_util_pct,warm_A_compute_ms,warm_B_compute_ms
X16_random_s1_seed19,X16,random,1,19,once,0,6,72,A+B,94.57308193095848,754.475115793362,1136.9865228258077
X16_random_s1_seed19,X16,random,1,19,once,1,6,72,A+B,97.35118317016529,787.8115188736806,1159.2121445296252
X16_random_s1_seed19,X16,random,1,19,once,2,6,72,A+B,99.04686991188144,1541.2362399677709,439.70115826985784
X16_random_s1_seed19,X16,random,1,19,once,3,6,72,A+B,97.43348259197565,1372.6938761214954,575.9757757180178
X16_random_s1_seed19,X16,random,1,19,once,4,6,72,A+B,97.96029153239945,1069.846893442711,889.3589372052779
X16_random_s1_seed19,X16,random,1,19,once,5,6,72,A+B,99.21641029868951,465.3605683142814,1518.967637659509
X16_random_s1_seed19,X16,random,1,19,once,6,6,72,A+B,98.39456708357382,1448.2445182616443,519.646823409832
X16_random_s1_seed19,X16,random,1,19,once,7,6,72,A+B,97.35948623122644,1131.84860545853,815.3411191659989
X16_random_s1_seed43,X16,random,1,43,baseline,0,6,72,A+B,85.0606359983689,479.0803606514878,1222.13235931589
X16_random_s1_seed43,X16,random,1,43,baseline,1,6,72,A+B,91.38015832073127,1003.1634946586419,824.4396717559835
X16_random_s1_seed43,X16,random,1,43,baseline,2,6,72,A+B,97.60403367090433,1658.409059017129,293.6716144009574
X16_random_s1_seed43,X16,random,1,43,baseline,3,6,72,A+B,95.49679341495002,1561.6719990515894,348.2638692474111
X16_random_s1_seed43,X16,random,1,43,baseline,4,6,72,A+B,91.93475291462356,1099.621626687709,739.0734316047619
X16_random_s1_seed43,X16,random,1,43,baseline,5,6,72,A+B,93.17492957535755,1198.9502500311155,664.5483414760354
X16_random_s1_seed43,X16,random,1,43,baseline,6,6,72,A+B,90.59638802732994,852.5797788669088,959.3479816796898
X16_random_s1_seed43,X16,random,1,43,baseline,7,6,72,A+B,90.22444284127498,805.1680425758227,999.3208142496769
X16_random_s1_seed43,X16,random,1,43,once,0,6,72,A+B,99.3811590682725,433.99433810067967,1553.6288432647702
X16_random_s1_seed43,X16,random,1,43,once,1,6,72,A+B,99.11857364941741,1259.8432810776162,722.528191910732
X16_random_s1_seed43,X16,random,1,43,once,2,6,72,A+B,97.51112017875728,1641.4127675575737,308.80963601757185
X16_random_s1_seed43,X16,random,1,43,once,3,6,72,A+B,99.64449394809523,1456.715987970812,536.1738909910928
X16_random_s1_seed43,X16,random,1,43,once,4,6,72,A+B,99.69956307147343,1042.5865320290213,951.4047294004472
X16_random_s1_seed43,X16,random,1,43,once,5,6,72,A+B,98.28056409160497,1525.9101235622416,439.70115826985784
X16_random_s1_seed43,X16,random,1,43,once,6,6,72,A+B,97.86217244590937,997.8954672384975,959.3479816796898
X16_random_s1_seed43,X16,random,1,43,once,7,6,72,A+B,97.89689712765157,1131.84860545853,826.0893370945014
X16_random_s1_seed7,X16,random,1,7,baseline,0,6,72,A+B,92.3560791473541,839.881147332309,1007.2404356147731
X16_random_s1_seed7,X16,random,1,7,baseline,1,6,72,A+B,92.280996375836,887.271087814454,958.3488397022661
X16_random_s1_seed7,X16,random,1,7,baseline,2,6,72,A+B,97.45429660638885,1697.772908187795,251.31302393998203
X16_random_s1_seed7,X16,random,1,7,baseline,3,6,72,A+B,91.22907238700434,825.2606334904099,999.3208142496769
X16_random_s1_seed7,X16,random,1,7,baseline,4,6,72,A+B,93.95920523703376,1119.7002859109207,759.4838188297545
X16_random_s1_seed7,X16,random,1,7,baseline,5,6,72,A+B,93.02430429490737,821.1924390784834,1039.293646819664
X16_random_s1_seed7,X16,random,1,7,baseline,6,6,72,A+B,93.7367284983974,951.8991811644091,922.835388803539
X16_random_s1_seed7,X16,random,1,7,baseline,7,6,72,A+B,92.04255226195383,841.44587330797,999.4051719311065
X16_random_s1_seed7,X16,random,1,7,once,0,6,72,A+B,97.99986636753886,760.8123502511648,1199.1849770996123
X16_random_s1_seed7,X16,random,1,7,once,1,6,72,A+B,99.37110835527207,862.9174482558105,1124.504718849631
X16_random_s1_seed7,X16,random,1,7,once,2,6,72,A+B,99.0092067556989,1677.7540116736855,302.4301234402924
X16_random_s1_seed7,X16,random,1,7,once,3,6,72,A+B,97.85728070520759,1051.5899614212963,905.5556526828555
X16_random_s1_seed7,X16,random,1,7,once,4,6,72,A+B,98.55518785822962,1182.373858032738,788.7298991318544
X16_random_s1_seed7,X16,random,1,7,once,5,6,72,A+B,98.99947351272729,791.3936838850559,1188.5957863694898
X16_random_s1_seed7,X16,random,1,7,once,6,6,72,A+B,99.1997390604493,800.6073542848562,1183.38742692413
X16_random_s1_seed7,X16,random,1,7,once,7,6,72,A+B,98.08461530846841,1072.2337758208491,889.4585303485192
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,0,6,72,A+B,89.42909308367116,669.342549713785,1119.2393119596381
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,1,6,72,A+B,90.62813212684048,694.9622427856148,1117.6003997511948
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,2,6,72,A+B,93.0087723783353,1225.606730518161,634.5687170485448
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,3,6,72,A+B,91.9632923048197,1037.5259476338242,801.7398984625697
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,4,6,72,A+B,91.76200267068924,795.9464065941206,1039.293646819664
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,5,6,72,A+B,86.6572135397444,324.1019227028437,1409.0423480920444
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,6,6,72,A+B,94.17964552805142,1308.5274880104334,575.065422550595
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,7,6,72,A+B,90.62288414200987,959.2213445081361,853.2363383320612
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,0,6,72,A+B,98.35607273193664,802.337778383006,1164.7836762557267
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,1,6,72,A+B,96.41138698953053,900.2562400064858,1027.9714997841247
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,2,6,72,A+B,98.77235093197837,1179.5505242392915,795.896494400276
