policy,request_id,layer,npu,role,profile,release_ms,deadline_ms,ready_ms,compute_start_ms,payload_MiB,budget_C_ms,budget_gib_s,stall_ms,own_D_over_C_gib_s,display_cohort,deadline_inside_display,ssd_before_deadline_MiB,link_before_deadline_MiB,ssd_deficit_at_deadline_MiB,link_deficit_at_deadline_MiB,ssd_mean_during_budget_gib_s,link_mean_during_budget_gib_s,ssd_mean_during_stall_gib_s,link_mean_during_stall_gib_s
once,25000060,4,25,short,32K/1024,3789.49358897236,3796.75082055144,3790.3303046706023,3796.75082055144,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000060,5,25,short,32K/1024,3796.75082055144,3804.00805213052,3798.52642297075,3804.00805213052,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000060,6,25,short,32K/1024,3804.00805213052,3811.2652837095998,3804.8478681611787,3811.2652837095998,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000060,7,25,short,32K/1024,3811.2652837095998,3818.5225152886796,3812.7845984102023,3818.5225152886796,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000061,0,25,short,32K/1024,3818.5225152886796,3825.7797468677595,3819.3624097871552,3825.7797468677595,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000061,1,25,short,32K/1024,3825.7797468677595,3833.0369784468394,3826.6164625660017,3833.0369784468394,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000061,2,25,short,32K/1024,3833.0369784468394,3840.2942100259193,3834.6042835540875,3840.2942100259193,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000061,3,25,short,32K/1024,3840.2942100259193,3847.551441604999,3841.1318409271344,3847.551441604999,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000061,4,25,short,32K/1024,3847.551441604999,3854.808673184079,3848.3912098236187,3854.808673184079,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
once,25000061,5,25,short,32K/1024,3854.808673184079,3862.065904763159,3855.654361532082,3862.065904763159,42.625,7.257231579079756,5.735792789428711,0.0,5.735792789428711,True,True,42.625,42.625,0.0,0.0,5.735792789428711,5.735792789428711,,
