A_key,B_key,A_C_ms,B_C_ms,A_V_MB,B_V_MB,A_B_GB_s,B_B_GB_s,x,y,ideal_min_S_any_mix,ideal_total_peak_GB_s,single_A_service_over_C_B,A_count_needed_ahead_of_B,heuristic_nA,heuristic_nB,no_stall_count_ratio_B_per_A,hypothetical_B_wait_ms,hypothetical_fleet_wait_scale,note
"[128, 2048]","[64, 256]",46.58135868432481,3.3396570206571456,181.665792,91.91424,3.8999676508176377,27.522059729928195,1.976470588235294,13.947946868855107,12,440.3529556788511,0.11332612829970434,9,12,4,4.649315622951702,1.2019877793428546,0.006451012879897694,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[80, 2048]","[48, 512]",30.475232543852318,5.044309980560046,112.459776,68.48512,3.6902023910129667,13.576707272933378,1.642105263157895,6.041506699885402,6,217.22731636693405,0.09289326028849154,11,13,3,1.394193853819708,1.0472612194399549,0.0064433135452678595,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 2048]","[112, 512]",68.05618615283375,10.413018725881523,273.94048,160.759808,4.025210572111872,15.438348113254808,1.704035874439462,6.535682681879782,7,247.01356981207692,0.09395535366811061,11,13,3,1.5082344650491804,2.3056464169756197,0.006352232289539311,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[64, 2048]","[32, 2048]",25.106517917176127,14.369102622125,89.391104,43.25376,3.5604739890610175,3.010192155869184,2.0666666666666664,1.7472571932584058,2,56.96758382497628,0.07776329735995392,13,14,2,0.24960817046548653,1.274340577874998,0.006344670047828412,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 2048]","[96, 256]",62.68748809016086,4.681834187647281,250.871808,138.051584,4.0019438590230525,29.48664529048044,1.8172323759791122,13.38951478793456,12,471.786324647687,0.11163351350181887,9,12,4,4.463171595978187,1.5899610123527186,0.006340822789333744,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 1024]","[112, 128]",35.44295093756352,2.8557475535748824,286.916608,161.30048,8.09516703350784,56.482751704743926,1.7787709497206705,12.411093863389754,23,903.7240272759028,0.10920638901378715,10,13,3,2.864098583859174,1.1985088638164219,0.006340341478943096,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[80, 512]","[64, 512]",7.728664567017273,6.386487182261469,114.622464,91.553792,14.830824006667466,14.335547756878235,1.2519685039370079,1.2101589412852367,6,237.29318410667946,0.07478189282623487,14,15,1,0.08067726275234911,0.7774168177385308,0.006286797762709732,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 512]","[128, 256]",15.781728493623882,6.024011548589168,253.034496,184.188928,16.033382915073638,30.57579264487588,1.3737769080234832,2.6198038244664366,13,489.21268231801406,0.08077753438470144,13,14,2,0.37425768920949093,0.7884556514108318,0.006245003927559193,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 1024]","[128, 1024]",35.44295093756352,23.363359736359623,286.916608,183.107584,8.09516703350784,7.837382382767309,1.5669291338582676,1.5170314260240934,4,129.52267253612544,0.07675389242966017,14,15,1,0.10113542840160622,3.53507226364038,0.006233736487312704,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[144, 1024]","[80, 128]",26.047713806224994,2.1846589028459564,206.176256,115.163136,7.915330210313011,52.71446991105885,1.7902973395931143,11.92301176732561,22,843.4315185769416,0.10724383549980673,10,13,3,2.7514642539982175,0.8611266971540434,0.0061986728247066525,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[160, 2048]","[48, 64]",57.31877271428324,0.9523222038962862,227.803136,69.115904,3.974319846929204,72.57617612738888,3.295958279009126,60.18842412764494,30,1161.218818038222,0.19934004047157655,6,11,5,27.358374603474974,1.135873209437047,0.00619274211816166,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 512]","[144, 512]",17.12390630166978,13.097374286339464,276.103168,206.897152,16.123842488736155,15.796841983495373,1.3344947735191637,1.3074304763153926,7,257.9814798197785,0.07528858237529526,14,15,1,0.0871620317543595,1.693866856517678,0.006182390668771158,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 128]","[32, 512]",4.533469108194381,3.7021326666852694,276.64384,45.416448,61.0225488246866,12.267644649445785,6.091269841269841,1.2245560914091862,25,976.3607811949856,0.07472553387658445,14,15,1,0.08163707276061241,0.44752493331473087,0.00616973616994842,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[200, 2048]","[128, 2048]",70.74053784115809,46.58135868432481,285.474816,181.665792,4.035519444890419,3.8999676508176377,1.5714285714285712,1.5186447935225884,2,64.5683111182467,0.07660650742677502,14,15,1,0.10124298623483922,6.945169315675187,0.006136129233345295,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
