strategy,request_id,npu,role,layer,io_start_ms,io_ready_ms,read_latency_ms,C_ms,compute_start_ms,compute_end_ms,stall_start_ms,stall_end_ms,exposed_stall_ms,prior_unready_A_layers,prior_unready_A_layer0,prior_unready_A_internal
asu_baseline,5000007,5,B,4,2097.9047428655467,2100.633667171436,2.72892430588945,17.147176718561678,2115.0519195841084,2132.19909630267,2115.0519195841084,2115.0519195841084,0,0,0,0
asu_baseline,5000007,5,B,5,2115.0519195841084,2117.780843889998,2.72892430588945,17.147176718561678,2132.19909630267,2149.346273021232,2132.19909630267,2132.19909630267,0,0,0,0
asu_baseline,5000007,5,B,6,2132.19909630267,2134.9280206085596,2.72892430588945,17.147176718561678,2149.346273021232,2166.4934497397935,2149.346273021232,2149.346273021232,0,0,0,0
asu_baseline,5000007,5,B,7,2149.346273021232,2152.0751973271213,2.72892430588945,17.147176718561678,2166.4934497397935,2183.640626458355,2166.4934497397935,2166.4934497397935,0,0,0,0
asu_baseline,1000007,1,B,1,2049.7073945446814,2054.5284570156355,4.821062470954075,17.147176718561678,2066.854571263243,2084.001747981805,2066.854571263243,2066.854571263243,0,0,0,0
asu_baseline,1000007,1,B,2,2066.854571263243,2071.675633734198,4.821062470954985,17.147176718561678,2084.001747981805,2101.1489247003665,2084.001747981805,2084.001747981805,0,0,0,0
asu_baseline,1000007,1,B,3,2084.001747981805,2088.8228104527598,4.821062470954985,17.147176718561678,2101.1489247003665,2118.296101418928,2101.1489247003665,2101.1489247003665,0,0,0,0
asu_baseline,1000007,1,B,4,2101.1489247003665,2105.9699871713215,4.821062470954985,17.147176718561678,2118.296101418928,2135.44327813749,2118.296101418928,2118.296101418928,0,0,0,0
asu_baseline,1000007,1,B,5,2118.296101418928,2123.117163889883,4.821062470954985,17.147176718561678,2135.44327813749,2152.5904548560516,2135.44327813749,2135.44327813749,0,0,0,0
asu_baseline,1000007,1,B,6,2135.44327813749,2140.264340608445,4.821062470954985,17.147176718561678,2152.5904548560516,2169.7376315746133,2152.5904548560516,2152.5904548560516,0,0,0,0
asu_baseline,1000007,1,B,7,2152.5904548560516,2157.4115173270065,4.821062470954985,17.147176718561678,2169.7376315746133,2186.884808293175,2169.7376315746133,2169.7376315746133,0,0,0,0
asu_baseline,2000007,2,B,1,2056.8001241447064,2058.7975130155437,1.9973888708373124,17.147176718561678,2073.947300863268,2091.09447758183,2073.947300863268,2073.947300863268,0,0,0,0
asu_baseline,2000007,2,B,2,2073.947300863268,2075.9446897341063,1.997388870838222,17.147176718561678,2091.09447758183,2108.2416543003915,2091.09447758183,2091.09447758183,0,0,0,0
asu_baseline,2000007,2,B,3,2091.09447758183,2093.091866452668,1.997388870838222,17.147176718561678,2108.2416543003915,2125.388831018953,2108.2416543003915,2108.2416543003915,0,0,0,0
asu_baseline,2000007,2,B,4,2108.2416543003915,2110.2390431712297,1.997388870838222,17.147176718561678,2125.388831018953,2142.536007737515,2125.388831018953,2125.388831018953,0,0,0,0
asu_baseline,2000007,2,B,5,2125.388831018953,2127.3862198897914,1.997388870838222,17.147176718561678,2142.536007737515,2159.6831844560766,2142.536007737515,2142.536007737515,0,0,0,0
asu_baseline,2000007,2,B,6,2142.536007737515,2144.533396608353,1.997388870838222,17.147176718561678,2159.6831844560766,2176.8303611746383,2159.6831844560766,2159.6831844560766,0,0,0,0
asu_baseline,2000007,2,B,7,2159.6831844560766,2161.680573326915,1.997388870838222,17.147176718561678,2176.8303611746383,2193.9775378932,2176.8303611746383,2176.8303611746383,0,0,0,0
asu_baseline,6000007,6,B,1,2063.8928537447314,2067.40657773429,3.513723989558457,17.147176718561678,2081.040030463293,2098.187207181855,2081.040030463293,2081.040030463293,0,0,0,0
