name,window,npu,A_compute_ms,B_compute_ms,U_percent,active_ms,both_AB
A200m2048_B32m2048_s2_r12_random_seed7,full,11,9620.713146397513,3908.395913218078,98.83008970773841,13571.430742754777,True
A200m2048_B32m2048_s2_r12_random_seed7,full,12,9620.713146397517,3908.3959132180757,98.83008970773841,13575.554508271573,True
A200m2048_B32m2048_s2_r12_random_seed7,full,13,9620.713146397507,3908.3959132181117,98.83008970773861,13566.526443415894,True
A200m2048_B32m2048_s2_r12_random_seed7,full,14,9620.713146397511,3908.395913218098,98.83008970773855,13604.661958447256,True
A200m2048_B32m2048_s2_r12_random_seed7,full,15,9620.71314639751,3908.3959132180976,98.83008970773852,13592.699052409878,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,0,1557.375929624196,442.62407037580397,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,1,965.4246112070032,1034.5753887929968,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,2,1425.0362577787319,574.7641048849982,99.99001813318651,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,3,1190.8334124490657,804.6697468389975,99.77515796440316,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,4,616.2990479124796,1379.4338517239958,99.78664498182377,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,5,1080.3774321840028,919.6225678159972,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,6,565.924302729265,1432.3510873272853,99.91376950282752,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,7,1195.3302531610025,804.6697468389975,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,8,1131.84860545853,863.7581826295204,99.78033940440253,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,9,1537.0739645683757,462.9260354316243,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,10,1131.84860545853,868.1513945414699,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,11,1425.2358951150018,574.7641048849982,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,12,1425.2358951150018,574.7641048849982,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,13,1425.2358951150018,574.7641048849982,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,14,1697.772908187795,302.2270918122049,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,warm,15,1216.8391929616118,783.1608070383882,100.0,2000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,0,4551.415370689979,3448.5846293100212,100.0,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,1,5241.132296551972,2758.867703448028,100.0,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,2,5700.743943123708,2299.056419540022,99.99750453329662,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,3,4156.551129316509,3838.952029971554,99.94378949110079,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,4,4157.271980064914,3838.460919571562,99.94666124545594,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,5,4643.83666992667,3356.16333007333,100.0,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,6,4348.45979157915,3649.8155984774003,99.97844237570688,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,7,5700.94358046,2299.05641954,100.0,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,8,5263.151946226618,2732.4548418614327,99.94508485110065,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,9,4932.619780943962,3067.3802190560386,100.0,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,10,5520.717273927161,2474.3520277295665,99.93836627070908,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,11,4661.807602204585,3333.6318083330452,99.94299263172039,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,12,4877.378487978562,3122.5108834147472,99.99861714241635,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,13,4665.188181021269,3333.631808333019,99.9852498669286,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,14,5884.933467946676,2110.5658982459045,99.94374207740725,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,long,15,5126.179475574998,2873.820524425002,100.0,8000.0,True
A200m2048_B32m2048_s2_r13_random_seed7,full,0,8488.86454093899,5172.876943965081,99.05164110827523,13699.778975019944,True
A200m2048_B32m2048_s2_r13_random_seed7,full,1,8488.864540938976,5172.876943965137,99.05164110827552,13698.27410461998,True
A200m2048_B32m2048_s2_r13_random_seed7,full,2,8488.86454093898,5172.876943965139,99.05164110827556,13767.360540202726,True
A200m2048_B32m2048_s2_r13_random_seed7,full,3,8488.864540938983,5172.876943965118,99.05164110827545,13703.735143731908,True
