length_k,miss,hit_tokens,C_ms,V_bytes,V_MB,B_GB_s,source_key,source,original_row
112,4096,110592,82.27992809787469,155713536,155.713536,1.892485076248166,"[112, 4096]",data,"[1.7625140736328122, 82279.92809787468, 6417.834391634225, 0.14501953125]"
128,64,131008,1.7911829932095533,184459264,184.459264,102.98180850270045,"[128, 64]",data,"[95.90928303329315, 1791.1829932095534, 139.71227347034514, 0.17179107666015625]"
128,128,130944,3.1912918804865735,184369152,184.369152,57.77257577952706,"[128, 128]",data,"[53.80490401715698, 3191.2918804865735, 248.92076667795274, 0.1717071533203125]"
128,256,130816,6.024011548589168,184188928,184.188928,30.57579264487588,"[128, 256]",data,"[28.475925926934814, 6024.011548589167, 469.87290078995505, 0.171539306640625]"
128,512,130560,11.755196923775936,183828480,183.82848,15.638060441862143,"[128, 512]",data,"[14.564078712707518, 11755.196923775935, 916.9053600545228, 0.17120361328125]"
128,1024,130048,23.363359736359623,183107584,183.107584,7.837382382767309,"[128, 1024]",data,"[7.299131138964844, 23363.359736359624, 1822.3420594360507, 0.1705322265625]"
128,2048,129024,46.58135868432481,181665792,181.665792,3.8999676508176377,"[128, 2048]",data,"[3.632127913476562, 46581.35868432481, 3633.3459773773347, 0.169189453125]"
128,4096,126976,93.01732520235409,178782208,178.782208,1.9220312733253628,"[128, 4096]",data,"[1.7900311139648437, 93017.32520235408, 7255.351365783618, 0.16650390625]"
144,64,147392,1.95895514742287,207527936,207.527936,105.93807432141374,"[144, 64]",data,"[98.66252012682496, 1958.95514742287, 152.79850149898385, 0.19327545166015625]"
144,128,147328,3.5268362439928436,207437824,207.437824,58.81697069245071,"[144, 128]",data,"[54.777572576376336, 3526.8362439928437, 275.0932270314418, 0.19319152832031253]"
144,256,147200,6.695100114121732,207257600,207.2576,30.956609530429436,"[144, 256]",data,"[28.8305892892456, 6695.100114121732, 522.217808901495, 0.193023681640625]"
144,512,146944,13.097374286339464,206897152,206.897152,15.796841983495373,"[144, 512]",data,"[14.711955546862795, 13097.374286339464, 1021.5951943344782, 0.19268798828125]"
144,1024,146432,26.047713806224994,206176256,206.176256,7.915330210313011,"[144, 1024]",data,"[7.371725710400391, 26047.713806224994, 2031.7216768855494, 0.1920166015625]"
144,2048,145408,51.95006680103239,204734464,204.734464,3.940985577249178,"[144, 2048]",data,"[3.6703288343261726, 51950.06680103239, 4052.1052104805262, 0.19067382812500003]"
144,4096,143360,103.75479256356199,201850880,201.85088,1.9454607831859203,"[144, 4096]",data,"[1.8118515454101565, 103754.79256356199, 8092.873819957836, 0.18798828125]"
160,64,163776,2.1267273113337923,230596608,230.596608,108.42791493347573,"[160, 64]",data,"[100.98136489603272, 2126.7273113337924, 165.8847302840358, 0.21475982666015625]"
160,128,163712,3.8623805178090707,230506496,230.506496,59.67990334902436,"[160, 128]",data,"[55.58124123981629, 3862.3805178090706, 301.2656803891075, 0.21467590332031253]"
160,256,163584,7.366188833782921,230326272,230.326272,31.268037949784066,"[160, 256]",data,"[29.120629606567384, 7366.188833782921, 574.5627290350678, 0.214508056640625]"
160,512,163328,14.439550284018445,229965824,229.965824,15.926107079285147,"[160, 512]",data,"[14.832343048681642, 14439.550284018445, 1126.2849221534389, 0.21417236328125]"
160,1024,162816,28.732067426025328,229244928,229.244928,7.9787132823011335,"[160, 1024]",data,"[7.430755796191407, 28732.06742602533, 2241.1012592299758, 0.21350097656250003]"
160,2048,161792,57.31877271428324,227803136,227.803136,3.974319846929204,"[160, 2048]",data,"[3.7013737921875007, 57318.772714283245, 4470.864271714094, 0.21215820312500003]"
160,4096,159744,114.4921718038388,224919552,224.919552,1.9644972093407236,"[160, 4096]",data,"[1.8295805988281253, 114492.1718038388, 8930.389400699427, 0.20947265625]"
176,64,180160,2.2944994726375185,253665280,253.66528,110.55364493434061,"[176, 64]",data,"[102.96110523337556, 2294.4994726375185, 178.97095886572646, 0.23624420166015628]"
176,128,180096,4.197924834778913,253575168,253.575168,60.404885265973256,"[176, 128]",data,"[56.2564332652588, 4197.9248347789135, 327.43813711275527, 0.23616027832031253]"
176,256,179968,8.037277445758114,253394944,253.394944,31.52746010201948,"[176, 256]",data,"[29.362235313299564, 8037.277445758114, 626.9076407691329, 0.235992431640625]"
176,512,179712,15.781728493623882,253034496,253.034496,16.033382915073638,"[176, 512]",data,"[14.932251456262208, 15781.728493623883, 1230.9748225026628, 0.23565673828125]"
176,1024,179200,31.416419055018245,252313600,252.3136,8.031265420738558,"[176, 1024]",data,"[7.479698789062499, 31416.419055018247, 2450.480686291423, 0.2349853515625]"
176,2048,178176,62.68748809016086,250871808,250.871808,4.0019438590230525,"[176, 2048]",data,"[3.7271006582519526, 62687.48809016086, 4889.624071032547, 0.233642578125]"
176,4096,176128,125.22954889386118,247988224,247.988224,1.9802692430856192,"[176, 4096]",data,"[1.8442694499023438, 125229.54889386118, 9767.904813721172, 0.23095703125000003]"
192,64,196544,2.462271627538277,276733952,276.733952,112.38969287749632,"[192, 64]",data,"[104.67105813091278, 2462.2716275382772, 192.05718694798563, 0.25772857666015625]"
192,128,196480,4.533469108194381,276643840,276.64384,61.0225488246866,"[192, 128]",data,"[56.83167728100587, 4533.469108194381, 353.61059043916174, 0.2576446533203125]"
192,256,196352,8.708365857991268,276463616,276.463616,31.74689953411891,"[192, 256]",data,"[29.56660421017456, 8708.365857991268, 679.2525369233189, 0.257476806640625]"
192,512,196096,17.12390630166978,276103168,276.103168,16.123842488736155,"[192, 512]",data,"[15.0164984993042, 17123.90630166978, 1335.6646915302429, 0.25714111328125]"
192,1024,195584,34.100781654707006,275382272,275.382272,8.075541340618752,"[192, 1024]",data,"[7.520933952758791, 34100.781654707, 2659.8609690671465, 0.2564697265625]"
192,2048,194560,68.05618615283375,273940480,273.94048,4.025210572111872,"[192, 2048]",data,"[3.748769473388672, 68056.18615283375, 5308.382519921032, 0.255126953125]"
192,4096,192512,135.967080955643,271056896,271.056896,1.9935479536287743,"[192, 4096]",data,"[1.8566362127929688, 135967.080955643, 10605.432314540154, 0.25244140625]"
200,64,204736,2.546157702920765,288268288,288.268288,113.21698089215754,"[200, 64]",data,"[105.4415301346756, 2546.157702920765, 198.6003008278197, 0.26847076416015625]"
200,128,204672,4.701241393630131,288178176,288.178176,61.29831503450605,"[200, 128]",data,"[57.08850457752687, 4701.241393630131, 366.69682870315023, 0.2683868408203125]"
200,256,204544,9.043910535256627,287997952,287.997952,31.844405235685787,"[200, 256]",data,"[29.65741347119751, 9043.910535256628, 705.425021750017, 0.268218994140625]"
200,512,204288,17.794995171132317,287637504,287.637504,16.163955158954803,"[200, 512]",data,"[15.053856334606934, 17794.995171132316, 1388.0096233483205, 0.26788330078125]"
