request_id,npu_id,input_order,profile_id,seq_len_k,nql,category,arrival_ms,admission_ms,completion_ms,layer_compute_ms,layer_kv_gib,warm_active_ms,warm_compute_ms,warm_stall_ms,warm_conditional_utilization
10000005,10,5,P3,64,512,SL,322.29173292774135,1106.0691248573114,1165.329966118355,6.386487182261469,0.08526611328125,59.26084126104365,51.0918974580909,8.168943802952754,0.8621527533338819
10000006,10,6,P5,192,512,LL,369.20240176438034,1165.329966118355,1302.321216531714,17.12390630166978,0.25714111328125,136.991250413359,136.991250413359,0.0,1.0
10000007,10,7,P2,32,256,SS,445.6728810676362,1302.321216531714,1356.2650790178093,1.9974796959734433,0.042633056640625,53.94386248609521,15.9798375677874,37.964024918307814,0.2962308746784016
10000008,10,8,P7,192,2048,LL,456.5840553846937,1356.2650790178093,1905.2379320503655,68.05618615283375,0.255126953125,548.9728530325563,544.4494892226703,4.52336380988595,0.9917603142215528
10000009,10,9,P1,32,128,SS,1084.2041510223385,1905.2379320503655,1917.477589240158,1.1780259589150035,0.0428009033203125,12.239657189792524,9.424207671319891,2.815449518472633,0.7699731720574147
10000010,10,10,P5,192,512,LL,1102.9757992837021,1917.477589240158,2058.8943381828212,17.12390630166978,0.25714111328125,82.52241075984193,78.09691223053755,4.425498529304377,0.9463721613491936
11000001,11,1,P7,192,2048,LL,0,571.4467884170059,1115.896277639676,68.05618615283375,0.255126953125,115.8962776396761,115.8962776396761,0.0,1.0
11000002,11,2,P1,32,128,SS,0,1115.896277639676,1149.5860688110242,1.1780259589150035,0.0428009033203125,33.68979117134813,9.424207671319891,24.265583500028242,0.2797348200642697
11000003,11,3,P5,192,512,LL,0,1149.5860688110242,1292.7095022554,17.12390630166978,0.25714111328125,143.12343344437568,136.991250413359,6.132183031016666,0.9571545840996057
11000004,11,4,P5,192,512,LL,145.52332826470152,1292.7095022554,1429.7769731528026,17.12390630166978,0.25714111328125,137.0674708974027,136.991250413359,0.07622048404368797,0.9994439199647833
11000005,11,5,P6,192,1024,LL,280.1723858458869,1429.7769731528026,1702.5832263904579,34.100781654707006,0.2564697265625,272.80625323765526,272.80625323765526,0.0,1.0
11000006,11,6,P4,96,512,LL,531.6706484301492,1702.5832263904579,1777.2038490856764,9.070841799535495,0.12823486328125,74.62062269521857,72.56673439628321,2.0538882989353624,0.9724755942157667
11000007,11,7,P5,192,512,LL,605.3733552178043,1777.2038490856764,1914.1950994990355,17.12390630166978,0.25714111328125,136.991250413359,136.991250413359,0.0,1.0
11000008,11,8,P2,32,256,SS,724.442928838952,1914.1950994990355,1941.559361222408,1.9974796959734433,0.042633056640625,27.364261723372465,15.9798375677874,11.384424155585066,0.5839674290989053
11000009,11,9,P4,96,512,LL,740.1331236996136,1941.559361222408,2020.1558833787724,9.070841799535495,0.12823486328125,58.440638777592085,52.41085101751082,6.029787760081263,0.8968220080032173
12000002,12,2,P6,192,1024,LL,0,844.5132040081778,1117.3194572458337,34.100781654707006,0.2564697265625,117.31945724583375,117.31945724583375,0.0,1.0
12000003,12,3,P6,192,1024,LL,0,1117.3194572458337,1390.125710483489,34.100781654707006,0.2564697265625,272.80625323765526,272.80625323765526,0.0,1.0
12000004,12,4,P5,192,512,LL,255.1086680657238,1390.125710483489,1530.0179040422752,17.12390630166978,0.25714111328125,139.89219355878618,136.991250413359,2.9009431454271635,0.9792630090955854
12000005,12,5,P7,192,2048,LL,409.79639865985916,1530.0179040422752,2074.6917436958734,68.05618615283375,0.255126953125,469.9820959577248,469.75774552679695,0.22435043092787055,0.9995226404732064
13000004,13,4,P7,192,2048,LL,495.68960572733835,910.1406961977278,1454.590185420398,68.05618615283375,0.255126953125,454.59018542039803,454.59018542039803,0.0,1.0
13000005,13,5,P2,32,256,SS,1106.1064575291264,1454.590185420398,1568.6708559953483,1.9974796959734433,0.042633056640625,114.08067057495032,15.9798375677874,98.10083300716292,0.14007489162932946
13000006,13,6,P7,192,2048,LL,1145.0705439431958,1568.6708559953483,2122.5742052437245,68.05618615283375,0.255126953125,431.32914400465165,421.8752839789454,9.453860025706263,0.9780820281747428
14000004,14,4,P5,192,512,LL,59.40254879038408,950.1099818038382,1091.6149261549529,17.12390630166978,0.25714111328125,91.61492615495285,91.61492615495285,0.0,1.0
14000005,14,5,P2,32,256,SS,197.15151158904237,1091.6149261549529,1107.5947637227403,1.9974796959734433,0.042633056640625,15.9798375677874,15.9798375677874,0.0,1.0
14000006,14,6,P5,192,512,LL,206.57423935326565,1107.5947637227403,1248.3046659305471,17.12390630166978,0.25714111328125,140.70990220780686,136.991250413359,3.718651794447851,0.973572209659019
14000007,14,7,P7,192,2048,LL,319.1672252879075,1248.3046659305471,1792.7541551532174,68.05618615283375,0.255126953125,544.4494892226703,544.4494892226703,0.0,1.0
14000008,14,8,P7,192,2048,LL,821.4810332359172,1792.7541551532174,2337.2036443758866,68.05618615283375,0.255126953125,207.24584484678257,207.24584484678257,0.0,1.0
15000002,15,2,P7,192,2048,LL,0,466.6473482083593,1011.0968374310296,68.05618615283375,0.255126953125,11.096837431029599,11.096837431029599,0.0,1.0
15000003,15,3,P1,32,128,SS,0,1011.0968374310296,1024.941157686365,1.1780259589150035,0.0428009033203125,13.844320255335333,9.424207671319891,4.420112584015442,0.6807273667111235
15000004,15,4,P2,32,256,SS,20.33390208128078,1024.941157686365,1041.516927198627,1.9974796959734433,0.042633056640625,16.575769512262013,15.9798375677874,0.5959319444746143,0.9640480073016356
15000005,15,5,P6,192,1024,LL,68.80067413224646,1041.516927198627,1317.459291438551,34.100781654707006,0.2564697265625,275.942364239924,272.80625323765526,3.1361110022687626,0.9886349056589875
15000006,15,6,P7,192,2048,LL,309.8183047907669,1317.459291438551,1861.9087806612213,68.05618615283375,0.255126953125,544.4494892226703,544.4494892226703,0.0,1.0
15000007,15,7,P1,32,128,SS,809.0076050989428,1861.9087806612213,1883.1186921758997,1.1780259589150035,0.0428009033203125,21.209911514678424,9.424207671319891,11.785703843358533,0.4443303624721782
15000008,15,8,P2,32,256,SS,823.0432870558341,1883.1186921758997,1899.5229928607064,1.9974796959734433,0.042633056640625,16.404300684806685,15.9798375677874,0.4244631170192861,0.9741248880293681
15000009,15,9,P3,64,512,SL,837.1281738574472,1899.5229928607064,1952.196461360063,6.386487182261469,0.08526611328125,52.67346849935666,51.0918974580909,1.5815710412657609,0.9699740479158862
15000010,15,10,P5,192,512,LL,943.4844457236019,1952.196461360063,2089.1877117734216,17.12390630166978,0.25714111328125,47.80353863993696,47.80353863993696,0.0,1.0
16000003,16,3,P7,192,2048,LL,0,778.6300086691813,1323.0794978918516,68.05618615283375,0.255126953125,323.0794978918516,323.0794978918516,0.0,1.0
16000004,16,4,P6,192,1024,LL,505.08773106920074,1323.0794978918516,1595.8857511295068,34.100781654707006,0.2564697265625,272.80625323765526,272.80625323765526,0.0,1.0
16000005,16,5,P1,32,128,SS,760.5223812312064,1595.8857511295068,1661.9042892211805,1.1780259589150035,0.0428009033203125,66.01853809167369,9.424207671319891,56.5943304203538,0.14275092941672515
16000006,16,6,P1,32,128,SS,773.0511648184928,1661.9042892211805,1706.5976638549696,1.1780259589150035,0.0428009033203125,44.69337463378906,9.424207671319891,35.26916696246917,0.2108636402719746
16000007,16,7,P4,96,512,LL,798.090280176295,1706.5976638549696,1782.7708914467353,9.070841799535495,0.12823486328125,76.17322759176568,72.56673439628321,3.6064931954824715,0.9526540582629541
16000008,16,8,P7,192,2048,LL,921.5390849776824,1782.7708914467353,2327.2203806694047,68.05618615283375,0.255126953125,217.22910855326472,217.22910855326472,0.0,1.0
17000003,17,3,P7,192,2048,LL,0,888.3388698647913,1438.1762964266175,68.05618615283375,0.255126953125,438.17629642661745,438.17629642661745,0.0,1.0
17000004,17,4,P1,32,128,SS,506.6561354947079,1438.1762964266175,1559.4548721069227,1.1780259589150035,0.0428009033203125,121.27857568030527,9.424207671319891,111.85436800898538,0.07770711041464112
