case,family,kind,num_ssu,pressure_ttl_ms,cir_write_threshold_gbps,min_interval_ms,mean_npu_utilization_pct,primary_slo_alpha,sensitivity_slo_alpha,equal_npu_slo_pct,request_weighted_slo_pct,alpha_1p5_equal_npu_slo_pct,alpha_1p5_request_weighted_slo_pct,measurement_request_count,measurement_requests_per_npu_min,measurement_requests_per_npu_median,measurement_requests_per_npu_max,measurement_cohort_fingerprint,input_simulator_fingerprint,all_invariants_passed,source_artifact
adaptive_t0_i100ms,interval,adaptive,6,0.0,0.0,100.0,97.12659929792676,2.0,1.5,91.67756012841572,91.19601328903654,85.087155304799,84.0531561461794,602,9,17.0,30,28a73c41fba5f5b82ecc54a6a458f79f3cf8fa18f8797b1ae0778e19874ab55e,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
adaptive_t0_i200ms,interval,adaptive,6,0.0,0.0,200.0,97.2345588515895,2.0,1.5,91.12945999323372,90.13377926421404,85.08933792743828,83.61204013377926,598,9,18.0,31,14fe4ea89287f0b91f16a47d5ab9988051a085fb8cafba63f0cd1288655940e2,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
baseline,baseline,baseline,10,0.0,0.0,0.0,98.86865465632174,2.0,1.5,95.52086225826145,95.03205128205127,89.22763569908375,88.14102564102564,624,8,19.0,33,1008191b63c52fc62e3c7530e3ff591132f8fb1ba943826207e528ac0786a967,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_0ms,ttl,layer_once,10,0.0,0.0,0.0,98.97279963755526,2.0,1.5,97.23437152638151,96.8,89.2156051571619,88.16000000000001,625,8,19.0,33,1ff5e22dd11324312a897020da8e7005231c327e75f3bc44770156d8c24311ce,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_2ms,ttl,layer_once,10,2.0,0.0,0.0,98.98334000470686,2.0,1.5,97.22682744003308,96.7948717948718,89.34737013131819,88.30128205128204,624,8,19.0,33,72acc55d3cc5f72eb12cd49ff8ef81006cb4e82d63301bcf06c166bd6ba6f797,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_5ms,ttl,layer_once,10,5.0,0.0,0.0,98.97863728299626,2.0,1.5,97.2220197477254,96.78972712680579,89.3329470543951,88.28250401284109,623,8,19.0,33,43b51637d565f1e512e23982410886a3aae2b8b82a8f977558a84d027b65b8a6,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
adaptive_t0_i25ms,threshold_interval,adaptive,10,0.0,0.0,25.0,98.9854976102159,2.0,1.5,97.22415910808087,96.8,89.24259511981364,88.16000000000001,625,8,19.0,33,91bbf61f487e89bc658a7144b8c3637bd23b5aaeef97113c9a6e7aca0d71d475,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
adaptive_t0_i100ms,interval,adaptive,10,0.0,0.0,100.0,98.9768112341896,2.0,1.5,97.01582577474753,96.64536741214057,89.07919642700318,88.01916932907349,626,8,19.0,33,67ba1b287d411a7c4f7948e20331680334e763537800e0f21f2c0c9d5c92c265,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
adaptive_t0_i200ms,interval,adaptive,10,0.0,0.0,200.0,98.97449927867923,2.0,1.5,97.23360971291956,96.80511182108627,89.26149632949105,88.17891373801918,626,8,19.0,33,809897b00b21c05be5531edec8bf1febb6060776018113c4a075856c202c5c03,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
baseline,baseline,baseline,18,0.0,0.0,0.0,98.96155487857223,2.0,1.5,96.78506001759679,96.3258785942492,89.37883822672426,88.33865814696486,626,8,19.0,33,a4015c9b93c95ef74eb21341b6bc5989989b4ec365750adf83ebe92b32aa0abf,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_0ms,ttl,layer_once,18,0.0,0.0,0.0,98.97862623782846,2.0,1.5,97.23360971291956,96.80511182108627,89.23917490091962,88.17891373801918,626,8,19.0,33,8e2b7d88a3972d5121e1c307a1e56b400aca08864c0ba5ead4f030015aa796ec,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_2ms,ttl,layer_once,18,2.0,0.0,0.0,98.9784360161901,2.0,1.5,97.23360971291956,96.81020733652312,89.26149632949105,88.19776714513556,627,8,19.0,33,0668f324afc74e465b6096abcbd4900a3b3930125156838f2334c7158fe8c4d2,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
layer_once_ttl_5ms,ttl,layer_once,18,5.0,0.0,0.0,98.97833738386642,2.0,1.5,97.22125793426343,96.8,89.35651679815282,88.32,625,8,19.0,33,fa4cfd9c0b988303338125762c9910955d01c7dc43d0648126339bb6dc5a4025,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
adaptive_t0_i25ms,threshold_interval,adaptive,18,0.0,0.0,25.0,98.97893598497475,2.0,1.5,97.23360971291956,96.81020733652312,89.26149632949105,88.19776714513556,627,8,19.0,33,0668f324afc74e465b6096abcbd4900a3b3930125156838f2334c7158fe8c4d2,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
adaptive_t0_i100ms,interval,adaptive,18,0.0,0.0,100.0,98.97884198734518,2.0,1.5,97.23360971291956,96.81020733652312,89.26149632949105,88.19776714513556,627,8,19.0,33,0668f324afc74e465b6096abcbd4900a3b3930125156838f2334c7158fe8c4d2,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
adaptive_t0_i200ms,interval,adaptive,18,0.0,0.0,200.0,98.97876946287688,2.0,1.5,97.23360971291956,96.81020733652312,89.26149632949105,88.19776714513556,627,8,19.0,33,0668f324afc74e465b6096abcbd4900a3b3930125156838f2334c7158fe8c4d2,,True,results/ms_scale_control/final_measure8_backing128_analysis/summary.csv
