scenario,policy,latency_ratio,mean_cdf
semi,static,1.0047987583488394,0.8404101584034693
semi,static,1.0049818536988582,0.8423149203082313
semi,static,1.0052245057693114,0.8442196822129931
semi,static,1.005275161003247,0.8461920688007645
semi,static,1.0053124931439628,0.8480968307055264
semi,static,1.005493042581163,0.8500015926102882
semi,static,1.00588141272536,0.8519739791980595
semi,static,1.0061670271870564,0.8540443725728007
semi,static,1.0064684327289546,0.856114765947542
semi,static,1.0070919322498206,0.8580871525353131
semi,static,1.0073028608827175,0.8599919144400751
semi,static,1.0079768509431632,0.8619643010278462
semi,static,1.0101541127154805,0.8638690629326081
semi,static,1.0112823334117669,0.86577382483737
semi,static,1.01135528778846,0.8677462114251412
semi,static,1.0118314217838262,0.8697185980129124
semi,static,1.0155437675085432,0.8717889913876536
semi,static,1.0171672643147205,0.8737613779754247
semi,static,1.0171706722127796,0.8756661398801867
semi,static,1.0207326971782167,0.8775709017849486
semi,static,1.0209624516322469,0.8795432883727198
semi,static,1.0245730665282597,0.881613681747461
semi,static,1.0275068940478398,0.8835184436522229
semi,static,1.0281558294632693,0.8855888370269641
semi,static,1.0281740812564897,0.8875612236147354
semi,static,1.028862818212632,0.8895336102025064
semi,static,1.0303908801578423,0.8914383721072685
semi,static,1.0315378226161105,0.8934107586950396
semi,static,1.0365903696561698,0.8954811520697809
semi,static,1.0377015537493623,0.897551545444522
semi,static,1.0385542899570614,0.8996219388192633
semi,static,1.0403307091820149,0.9016923321940045
semi,static,1.0466434236472602,0.9036647187817756
semi,static,1.0475497801181224,0.9055694806865375
semi,static,1.0477920160063348,0.9074742425912995
semi,static,1.0514413514781422,0.9093790044960613
semi,static,1.0570285614917176,0.9112837664008232
semi,static,1.0627001110413636,0.9131885283055851
semi,static,1.0656992797046008,0.9152589216803264
semi,static,1.0672822989079356,0.9173293150550675
semi,static,1.068072773009764,0.9193997084298088
semi,static,1.0729156149731782,0.9214701018045499
semi,static,1.0730001759483834,0.9233748637093119
semi,static,1.0770402590376473,0.9252796256140737
semi,static,1.0790527288464455,0.9272520122018449
semi,static,1.0833138693595121,0.9291567741066068
semi,static,1.0939580202998542,0.9310615360113688
semi,static,1.1054811885996545,0.9329662979161307
semi,static,1.113809335641973,0.9350366912908719
semi,static,1.1143247424908052,0.9369414531956339
semi,static,1.1158080336456557,0.9389138397834049
semi,static,1.1179322704951258,0.940818601688167
semi,static,1.1219715865443345,0.942790988275938
semi,static,1.1238975485825509,0.9447633748637093
semi,static,1.1275724520898094,0.9467357614514805
semi,static,1.1356979084296435,0.9487081480392517
semi,static,1.1394615773177734,0.9507785414139929
semi,static,1.1447550296488689,0.9526833033187548
semi,static,1.1448574221208965,0.9545880652235167
semi,static,1.1472042777195992,0.9564928271282787
semi,static,1.1616644270365877,0.9583975890330406
semi,static,1.1652440618389954,0.9603699756208117
semi,static,1.1672112714454097,0.962342362208583
semi,static,1.19418396357827,0.9644127555833242
semi,static,1.1956527591924637,0.9663851421710955
semi,static,1.1998372583052073,0.9682899040758572
semi,static,1.2190429638287137,0.9702622906636286
semi,static,1.2233737548691206,0.9721670525683903
semi,static,1.223604317319527,0.9742374459431314
semi,static,1.2368070392388344,0.9761422078478934
semi,static,1.245213724460346,0.9782126012226345
semi,static,1.264268104006228,0.9801849878104059
semi,static,1.30921912441969,0.9822553811851472
semi,static,1.3131770306754975,0.984160143089909
semi,static,1.317578656523868,0.9861325296776803
semi,static,1.3455163122303508,0.9882029230524214
semi,static,1.375968732140387,0.9901753096401925
semi,static,1.3864273831715017,0.9921476962279638
semi,static,1.4051146684705262,0.9941200828157349
semi,static,1.5,0.9941200828157349
semi,static,1.550845532979248,0.9961904761904762
semi,static,1.5860471731093557,0.998095238095238
semi,static,1.6010925432052574,1.0
full,asu_baseline,0.9999999999999978,0.012304595332389536
full,asu_baseline,0.999999999999998,0.017733415367951148
full,asu_baseline,0.9999999999999986,0.02128957622748279
full,asu_baseline,0.9999999999999994,0.025034894579542718
full,asu_baseline,0.9999999999999999,0.026718396263044397
full,asu_baseline,1.0000000000000002,0.028401897946546083
full,asu_baseline,1.0000000000000007,0.030085399630047766
full,asu_baseline,1.000000000000001,0.03715033241940397
full,asu_baseline,1.0000000000000016,0.04227172175131962
full,asu_baseline,1.000000000000003,0.043955223434821306
