scenario,policy,seed,window,npu_id,U_percent
full,asu_baseline,7,warm_2_4s,16,59.89803833710431
full,asu_baseline,7,warm_2_4s,17,54.71726308475584
full,asu_baseline,7,warm_2_4s,18,71.37700186126881
full,asu_baseline,7,warm_2_4s,19,79.24345376322303
full,asu_baseline,7,warm_2_4s,20,31.7908346101343
full,asu_baseline,7,warm_2_4s,21,54.45160470603175
full,asu_baseline,7,warm_2_4s,22,72.55894522229597
full,asu_baseline,7,warm_2_4s,23,78.79610663560521
full,asu_baseline,7,warm_2_4s,24,45.57447189004079
full,asu_baseline,7,warm_2_4s,25,82.12300015369384
full,asu_baseline,7,warm_2_4s,26,22.72632287344486
full,asu_baseline,7,warm_2_4s,27,75.57232259556827
full,asu_baseline,7,warm_2_4s,28,35.124938469033744
full,asu_baseline,7,warm_2_4s,29,56.69621002745528
full,asu_baseline,7,warm_2_4s,30,46.40273932239684
full,asu_baseline,7,warm_2_4s,31,75.37115612840189
full,asu_baseline,7,long_2_6s,0,47.198099262716575
full,asu_baseline,7,long_2_6s,1,69.6167160400294
full,asu_baseline,7,long_2_6s,2,53.19407325231617
full,asu_baseline,7,long_2_6s,3,59.66939104904179
full,asu_baseline,7,long_2_6s,4,59.14429235376916
full,asu_baseline,7,long_2_6s,5,65.25905305446118
full,asu_baseline,7,long_2_6s,6,73.05642598268675
full,asu_baseline,7,long_2_6s,7,63.026995755868604
full,asu_baseline,7,long_2_6s,8,51.16650036361245
full,asu_baseline,7,long_2_6s,9,74.4657118235703
full,asu_baseline,7,long_2_6s,10,72.591223039942
full,asu_baseline,7,long_2_6s,11,67.8285727979217
full,asu_baseline,7,long_2_6s,12,72.22619113879736
full,asu_baseline,7,long_2_6s,13,77.56565357692433
full,asu_baseline,7,long_2_6s,14,76.73101969065995
