scenario,policy,seed,request_id,npu_id,category,profile,admission_ms,completion_ms,latency_ms,pure_compute_ms,latency_ratio,slo_1p5_pass,in_warm_2_4s,in_long_2_6s
semi,static,19,20000000,20,LS,L200_M256,0.0,163.21873892881132,163.21873892881132,72.35128428205302,2.2559204103761608,False,False,False
semi,static,19,20000001,20,SL,L32_M2048,163.21873892881132,314.30922186067977,151.09048293186845,114.952820977,1.3143695095755759,True,False,False
semi,static,19,20000002,20,LL,L200_M4096,314.30922186067977,1444.9955280962113,1130.6863062355314,1130.6863062355314,1.0,True,False,False
semi,static,19,20000003,20,SL,L64_M1024,1444.9955280962113,1546.003054179606,101.00752608339462,101.00752608339441,1.0000000000000022,True,False,False
semi,static,19,20000004,20,SL,L80_M4096,1546.003054179606,2032.4438809636213,486.44082678401537,486.44082678401566,0.9999999999999994,True,False,False
semi,static,19,20000005,20,LL,L160_M2048,2032.4438809636213,2549.492433765404,517.0485528017825,458.55018171426593,1.1275724520898094,True,True,True
semi,static,19,20000006,20,SL,L64_M2048,2549.492433765404,2766.2224871282924,216.7300533628886,200.85214333740902,1.0790527288464455,True,True,True
semi,static,19,20000007,20,SS,L32_M256,2766.2224871282924,2782.2023246960816,15.979837567789218,15.979837567787547,1.0000000000001046,True,True,True
semi,static,19,20000008,20,SL,L32_M4096,2782.2023246960816,3010.945060663129,228.74273596704734,228.74273596704626,1.0000000000000047,True,True,True
semi,static,19,20000009,20,SL,L64_M4096,3010.945060663129,3411.4864203486395,400.54135968551054,400.5413596855101,1.000000000000001,True,True,True
semi,static,19,20000010,20,SL,L80_M4096,3411.4864203486395,3897.927247132655,486.44082678401537,486.44082678401566,0.9999999999999994,True,True,True
semi,static,19,20000011,20,LL,L200_M4096,3897.927247132655,5028.613553368188,1130.6863062355333,1130.6863062355314,1.0000000000000016,True,True,True
semi,static,19,20000012,20,LL,L160_M4096,5028.613553368188,5944.550927798897,915.9373744307086,915.9373744307104,0.999999999999998,True,False,True
semi,static,19,20000013,20,LS,L128_M256,5944.550927798897,5992.743020187612,48.19209238871554,48.19209238871334,1.0000000000000455,True,False,True
semi,static,19,20000014,20,SS,L64_M256,5992.743020187612,6019.460276352867,26.717256165255094,26.717256165257165,0.9999999999999225,True,False,True
semi,static,19,20000015,20,SL,L64_M4096,6019.460276352867,6420.001636038374,400.5413596855069,400.5413596855101,0.999999999999992,True,False,False
semi,static,19,20000016,20,LL,L128_M1024,6420.001636038374,6606.908513929251,186.90687789087679,186.90687789087698,0.9999999999999989,True,False,False
semi,static,19,20000017,20,SL,L80_M1024,6606.908513929251,6729.390883089793,122.48236916054157,122.48236916054397,0.9999999999999803,True,False,False
semi,static,19,20000018,20,LL,L128_M4096,6729.390883089793,7473.529484708626,744.1386016188335,744.1386016188327,1.000000000000001,True,False,False
semi,static,19,20000019,20,SS,L80_M256,7473.529484708626,7505.615449682671,32.085964974045055,32.085964974046185,0.9999999999999648,True,False,False
semi,static,19,20000020,20,SL,L32_M4096,7505.615449682671,7734.3581856497185,228.74273596704734,228.74273596704626,1.0000000000000047,True,False,False
semi,static,19,20000021,20,LL,L128_M4096,7734.3581856497185,8502.946835984643,768.5886503349248,744.1386016188327,1.0328568477201725,True,False,False
semi,static,19,20000022,20,LL,L160_M4096,8502.946835984643,9418.884210415352,915.9373744307086,915.9373744307104,0.999999999999998,True,False,False
semi,static,19,20000023,20,LL,L200_M2048,9418.884210415352,9984.80851314462,565.9243027292687,565.9243027292647,1.000000000000007,True,False,False
semi,static,19,20000024,20,LS,L160_M256,9984.80851314462,10044.240746510264,59.4322333656437,58.92951067026337,1.0085309158291385,True,False,False
semi,static,19,20000025,20,LL,L128_M2048,10044.240746510264,10417.493230996992,373.25248448672755,372.6508694745985,1.0016144199877415,True,False,False
semi,static,19,20000026,20,LL,L200_M1024,10417.493230996992,10701.036838497505,283.54360750051273,283.5436075005082,1.000000000000016,True,False,False
semi,static,19,20000027,20,SL,L32_M1024,10701.036838497505,10759.094691130147,58.05785263264261,58.057852632638046,1.0000000000000786,True,False,False
semi,static,19,20000028,20,SL,L80_M2048,10759.094691130147,11002.896551480972,243.80186035082443,243.80186035081854,1.0000000000000242,True,False,False
semi,static,19,20000029,20,LL,L160_M1024,11002.896551480972,11268.97397703017,266.07742554919787,229.85653940820262,1.1575804031255796,True,False,False
semi,static,19,21000000,21,SL,L64_M4096,0.0,497.57477515964035,497.57477515964035,400.5413596855101,1.2422556700519447,True,False,False
semi,static,19,21000001,21,LL,L160_M4096,497.57477515964035,1413.5121495903506,915.9373744307103,915.9373744307104,0.9999999999999999,True,False,False
semi,static,19,21000002,21,LL,L128_M4096,1413.5121495903506,2157.650751209184,744.1386016188333,744.1386016188327,1.0000000000000007,True,False,False
semi,static,19,21000003,21,LS,L200_M256,2157.650751209184,2230.0020354912367,72.3512842820528,72.35128428205302,0.999999999999997,True,True,True
semi,static,19,21000004,21,LL,L128_M4096,2230.0020354912367,2974.14063711007,744.1386016188335,744.1386016188327,1.000000000000001,True,True,True
semi,static,19,21000005,21,SL,L80_M1024,2974.14063711007,3096.6230062706154,122.4823691605452,122.48236916054397,1.00000000000001,True,True,True
semi,static,19,21000006,21,LL,L200_M4096,3096.6230062706154,4227.309312506149,1130.6863062355333,1130.6863062355314,1.0000000000000016,True,True,True
semi,static,19,21000007,21,SL,L80_M4096,4227.309312506149,4713.750139290168,486.440826784019,486.44082678401566,1.0000000000000069,True,False,True
semi,static,19,21000008,21,SL,L32_M1024,4713.750139290168,4785.110650475427,71.36051118525938,58.057852632638046,1.2291276364765695,True,False,True
semi,static,19,21000009,21,SS,L64_M256,4785.110650475427,4811.827906640682,26.717256165255094,26.717256165257165,0.9999999999999225,True,False,True
semi,static,19,21000010,21,SL,L64_M4096,4811.827906640682,5214.271750265873,402.4438436251912,400.5413596855101,1.004749781498657,True,False,True
semi,static,19,21000011,21,LL,L128_M1024,5214.271750265873,5423.758860928319,209.48711066244596,186.90687789087698,1.1208100687699258,True,False,True
semi,static,19,21000012,21,SL,L32_M2048,5423.758860928319,5538.711681905319,114.95282097699965,114.952820977,0.9999999999999969,True,False,True
semi,static,19,21000013,21,SL,L80_M4096,5538.711681905319,6025.152508689338,486.440826784019,486.44082678401566,1.0000000000000069,True,False,True
semi,static,19,21000014,21,LL,L160_M2048,6025.152508689338,6483.702690403603,458.5501817142649,458.55018171426593,0.9999999999999978,True,False,False
semi,static,19,21000015,21,LL,L160_M4096,6483.702690403603,7399.6400648343115,915.9373744307086,915.9373744307104,0.999999999999998,True,False,False
semi,static,19,21000016,21,LL,L128_M2048,7399.6400648343115,7772.290934308912,372.65086947460077,372.6508694745985,1.000000000000006,True,False,False
semi,static,19,21000017,21,LL,L200_M1024,7772.290934308912,8108.3541209371115,336.0631866281992,283.5436075005082,1.1852257562449082,True,False,False
semi,static,19,21000018,21,LL,L200_M2048,8108.3541209371115,8674.27842366638,565.9243027292678,565.9243027292647,1.0000000000000053,True,False,False
semi,static,19,21000019,21,LS,L128_M256,8674.27842366638,8722.470516055088,48.19209238870826,48.19209238871334,0.9999999999998945,True,False,False
semi,static,19,21000020,21,SL,L80_M2048,8722.470516055088,8966.272376405912,243.80186035082443,243.80186035081854,1.0000000000000242,True,False,False
