scenario,policy,seed,window,category,count,passed,percent,active_U_percent
full,once,43,warm_2_4s,SS,36,36,100.0,97.10397788099064
full,once,43,warm_2_4s,SL,44,44,100.0,99.63022540722524
full,once,43,warm_2_4s,LS,45,24,53.333333333333336,67.02281894936274
full,once,43,warm_2_4s,LL,55,16,29.09090909090909,52.0135614063966
full,once,43,long_2_6s,SS,60,60,100.0,98.06702349177789
full,once,43,long_2_6s,SL,109,109,100.0,99.58933787424056
full,once,43,long_2_6s,LS,92,55,59.78260869565217,68.13361263036919
full,once,43,long_2_6s,LL,114,39,34.21052631578947,56.02849501823965
full,once,43,full_population,SS,288,275,95.48611111111111,90.28973253910561
full,once,43,full_population,SL,384,374,97.39583333333333,96.84940399291192
full,once,43,full_population,LS,288,186,64.58333333333333,61.774346832883055
full,once,43,full_population,LL,384,126,32.8125,55.5964383979386
full,once,7,warm_2_4s,SS,37,36,97.29729729729729,95.67738180958614
full,once,7,warm_2_4s,SL,66,66,100.0,96.43830980543558
full,once,7,warm_2_4s,LS,40,37,92.5,86.88935432900287
full,once,7,warm_2_4s,LL,60,13,21.666666666666668,54.856984430110465
full,once,7,long_2_6s,SS,74,73,98.64864864864865,96.98103229329638
full,once,7,long_2_6s,SL,120,120,100.0,97.72097207994682
full,once,7,long_2_6s,LS,80,70,87.5,82.71910917601146
full,once,7,long_2_6s,LL,125,33,26.4,52.59865451141635
full,once,7,full_population,SS,288,272,94.44444444444444,89.62825113924019
full,once,7,full_population,SL,384,368,95.83333333333333,94.37308101301456
full,once,7,full_population,LS,288,205,71.18055555555556,66.61329993417151
full,once,7,full_population,LL,384,118,30.729166666666668,55.48235577992199
full,static,19,warm_2_4s,SS,34,34,100.0,98.29225304736286
full,static,19,warm_2_4s,SL,63,55,87.3015873015873,89.94914491667072
full,static,19,warm_2_4s,LS,42,41,97.61904761904762,93.22261466159631
full,static,19,warm_2_4s,LL,54,18,33.333333333333336,50.397642658198926
full,static,19,long_2_6s,SS,81,81,100.0,98.8441844558589
full,static,19,long_2_6s,SL,119,109,91.59663865546219,91.93164303095438
full,static,19,long_2_6s,LS,76,75,98.6842105263158,93.51877088342806
full,static,19,long_2_6s,LL,115,37,32.17391304347826,56.16122738580114
full,static,19,full_population,SS,288,277,96.18055555555556,92.47328005341875
full,static,19,full_population,SL,384,353,91.92708333333333,91.57475587764415
full,static,19,full_population,LS,288,270,93.75,81.5762804107361
full,static,19,full_population,LL,384,114,29.6875,54.690222064947505
full,static,43,warm_2_4s,SS,34,34,100.0,98.49484742871842
full,static,43,warm_2_4s,SL,45,42,93.33333333333333,93.14976178088877
full,static,43,warm_2_4s,LS,47,42,89.36170212765957,89.89746673732402
full,static,43,warm_2_4s,LL,53,15,28.30188679245283,53.03346328616674
full,static,43,long_2_6s,SS,58,58,100.0,98.7706322283469
full,static,43,long_2_6s,SL,105,102,97.14285714285714,95.91407046904322
full,static,43,long_2_6s,LS,91,84,92.3076923076923,91.82417571092718
full,static,43,long_2_6s,LL,116,46,39.6551724137931,56.10625669903115
full,static,43,full_population,SS,288,281,97.56944444444444,94.50146611134814
full,static,43,full_population,SL,384,356,92.70833333333333,90.49558523795743
full,static,43,full_population,LS,288,265,92.01388888888889,86.58951504422627
full,static,43,full_population,LL,384,117,30.46875,55.168830527251984
