scenario,policy,seed,window,profile,count,passed,percent
semi,asu_baseline,19,warm_2_4s,200:4096,14,14,100.0
semi,asu_baseline,19,warm_2_4s,32:1024,8,8,100.0
semi,asu_baseline,19,warm_2_4s,32:2048,6,6,100.0
semi,asu_baseline,19,warm_2_4s,32:256,7,4,57.142857142857146
semi,asu_baseline,19,warm_2_4s,32:4096,8,8,100.0
semi,asu_baseline,19,warm_2_4s,64:1024,4,4,100.0
semi,asu_baseline,19,warm_2_4s,64:2048,4,4,100.0
semi,asu_baseline,19,warm_2_4s,64:256,5,4,80.0
semi,asu_baseline,19,warm_2_4s,64:4096,11,11,100.0
semi,asu_baseline,19,warm_2_4s,80:1024,4,4,100.0
semi,asu_baseline,19,warm_2_4s,80:2048,6,6,100.0
semi,asu_baseline,19,warm_2_4s,80:256,6,5,83.33333333333333
semi,asu_baseline,19,warm_2_4s,80:4096,12,12,100.0
semi,asu_baseline,19,long_2_6s,128:1024,12,12,100.0
semi,asu_baseline,19,long_2_6s,128:2048,8,8,100.0
semi,asu_baseline,19,long_2_6s,128:256,8,6,75.0
semi,asu_baseline,19,long_2_6s,128:4096,26,26,100.0
semi,asu_baseline,19,long_2_6s,160:1024,12,12,100.0
semi,asu_baseline,19,long_2_6s,160:2048,19,19,100.0
semi,asu_baseline,19,long_2_6s,160:256,10,10,100.0
semi,asu_baseline,19,long_2_6s,160:4096,21,21,100.0
semi,asu_baseline,19,long_2_6s,200:1024,10,10,100.0
semi,asu_baseline,19,long_2_6s,200:2048,13,13,100.0
semi,asu_baseline,19,long_2_6s,200:256,10,10,100.0
semi,asu_baseline,19,long_2_6s,200:4096,26,26,100.0
semi,asu_baseline,19,long_2_6s,32:1024,12,12,100.0
semi,asu_baseline,19,long_2_6s,32:2048,13,13,100.0
semi,asu_baseline,19,long_2_6s,32:256,11,7,63.63636363636363
semi,asu_baseline,19,long_2_6s,32:4096,15,15,100.0
semi,asu_baseline,19,long_2_6s,64:1024,7,7,100.0
semi,asu_baseline,19,long_2_6s,64:2048,12,12,100.0
semi,asu_baseline,19,long_2_6s,64:256,10,8,80.0
semi,asu_baseline,19,long_2_6s,64:4096,22,22,100.0
semi,asu_baseline,19,long_2_6s,80:1024,10,10,100.0
semi,asu_baseline,19,long_2_6s,80:2048,8,8,100.0
semi,asu_baseline,19,long_2_6s,80:256,12,9,75.0
