scenario,policy,seed,window,ssu_id,capacity_GiB_s,mean_demand_GiB_s,min_demand_GiB_s,max_demand_GiB_s,overload_percent,actual_GiB_s,busy_percent
full,once,43,long_2_6s,2,40,66.03130051067934,38.27776221861878,103.59667622791429,99.5725522869698,38.74485774637077,96.86214436592692
full,once,43,full_population,0,40,61.88694538017058,2.206770121673655,139.03983625112883,93.84159621277199,35.15882446150649,87.89706115376622
full,once,43,full_population,1,40,67.91278989976156,2.246651509414811,149.97949869717374,95.20135625953898,38.61692037961574,96.54230094903936
full,once,43,full_population,2,40,66.37073978876907,2.2466515094147876,146.40698366300322,94.83742559859259,37.689815646241335,94.22453911560333
full,once,7,warm_2_4s,0,40,60.39745946284843,32.2814387281128,86.94810659185175,96.77940944684953,36.71418779034752,91.78546947586881
full,once,7,warm_2_4s,1,40,65.82418928960746,35.50742239556587,93.76735173373727,99.4784260961056,40.0,100.0
full,once,7,warm_2_4s,2,40,63.94135697473297,35.11019858843083,91.46578170579527,99.4784260961056,39.098633695054225,97.74658423763556
full,once,7,long_2_6s,0,40,62.31139216172144,32.2814387281128,94.07371977691946,98.38970472342476,36.534969651033144,91.33742412758285
full,once,7,long_2_6s,1,40,68.18706800604603,35.50742239556587,102.35645144848941,99.7392130480528,40.0,100.0
full,once,7,long_2_6s,2,40,66.38006582477517,35.11019858843083,101.30624909661239,99.7392130480528,38.99541174091396,97.4885293522849
full,once,7,full_population,0,40,61.57237718866735,1.676231473507947,145.01202299035953,95.04795732343715,35.645858154317,89.11464538579249
full,once,7,full_population,1,40,67.57411693988468,1.6896410593598696,157.65197474236453,96.2516102815951,39.15185696027547,97.87964240068865
full,once,7,full_population,2,40,65.99444818381588,1.559227571722327,153.7198626678314,96.47991759080683,38.21190961202888,95.52977403007222
full,static,19,warm_2_4s,0,40,61.87821905054979,39.917096526470935,92.36931019617919,99.99250705573738,36.453719696671875,91.13429924167968
full,static,19,warm_2_4s,1,40,67.75781882299037,43.78185140369584,103.16878846356818,100.0,40.0,100.0
full,static,19,warm_2_4s,2,40,65.83358484169328,43.219730944125324,101.74005421343988,100.0,38.86417168558303,97.16042921395757
full,static,19,long_2_6s,0,40,58.59286151749284,37.90284365691826,92.36931019617919,97.80985868006633,36.489359875010024,91.22339968752505
full,static,19,long_2_6s,1,40,64.14632494534474,42.232306564114495,103.16878846356818,100.0,40.0,100.0
