experiment,case,ssu,seed,strategy,seq_len_k,nql,share_of_total_compute,request_count,compute_ms,processing_ms,aggregate_compute_fraction,mean_request_compute_fraction,min_request_compute_fraction,mean_io_stall_ms,mean_admission_wait_ms,admission_slo_passed,arrival_slo_passed
coflow,npu32_ssu7_arrival218_seed20260906_strategy2,7,20260906,strategy2,192,1024,0.18576762192341098,96,26189.400310814995,26545.316073553295,0.9865921444765582,0.9876362904164915,0.8438738214334716,3.707455861856868,684.3856994863808,96,8
coflow,npu32_ssu7_arrival218_seed20260906_strategy2,7,20260906,strategy2,192,2048,0.6179054772998038,160,87111.91827562709,87611.12346737525,0.9943020341254493,0.9945226337695944,0.9310918646987709,3.1200324484261426,672.0640161718142,160,20
coflow,npu32_ssu7_arrival218_seed20260906_strategy3,7,20260906,strategy3,32,128,0.00855656167132576,128,1206.2985819289636,1267.3761452274885,0.9518078642015455,0.973131702540047,0.45532721774839036,0.4771684632698539,725.8882125915949,122,0
coflow,npu32_ssu7_arrival218_seed20260906_strategy3,7,20260906,strategy3,32,256,0.00725432155228549,64,1022.7096043384022,1048.023442173187,0.9758461148709671,0.9838177576176809,0.6429724860015567,0.3955287161680159,737.267109938818,62,1
coflow,npu32_ssu7_arrival218_seed20260906_strategy3,7,20260906,strategy3,64,512,0.023194043825860464,64,3269.8814373178748,3300.526305170004,0.9907151572147368,0.9917924810437397,0.8261904718751715,0.47882606018921414,762.1518766857258,64,3
coflow,npu32_ssu7_arrival218_seed20260906_strategy3,7,20260906,strategy3,96,512,0.03294291466210599,64,4644.271001362178,4705.755110185627,0.9869342735897229,0.9883777251664337,0.8002741454597496,0.9606892003660061,745.2774042461534,64,2
coflow,npu32_ssu7_arrival218_seed20260906_strategy3,7,20260906,strategy3,192,512,0.12437905906521143,128,17534.880052909888,18087.35293546498,0.9694552937333454,0.9755793461541803,0.6038933898881167,4.316194394961925,718.3622580100043,127,7
coflow,npu32_ssu7_arrival218_seed20260906_strategy3,7,20260906,strategy3,192,1024,0.18576762192341098,96,26189.400310814995,26567.68255584701,0.9857615641019183,0.986924069164666,0.8263895169698725,3.9404400524164522,683.8418980406118,96,8
coflow,npu32_ssu7_arrival218_seed20260906_strategy3,7,20260906,strategy3,192,2048,0.6179054772998038,160,87111.91827562709,87536.54246942999,0.9951491779110285,0.9953006639020341,0.9328926903606689,2.6539012112687588,671.7238320720377,160,20
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,32,128,0.00855656167132576,128,1206.2985819289636,2795.959562684306,0.43144350083905975,0.613987484135968,0.06994638987626003,12.419226412151257,773.0471436985803,64,0
