experiment,case,ssu,seed,strategy,start_ms,end_ms,seq_len_k,nql,compute_ms,active_ms,share_of_fleet_time_compute,share_of_fleet_time_active,profile_compute_fraction,all_cards_active
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,2000,3000,96,512,715.5079542533522,717.1177037684915,0.022359623570417257,0.02240992824276536,0.9977552506280628,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,2000,3000,192,512,3353.337859596705,3386.611710985854,0.10479180811239704,0.10583161596830794,0.9901748844483081,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,2000,3000,192,1024,3991.4353893653947,4020.685065699317,0.12473235591766858,0.12564640830310367,0.9927252008411569,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,2000,3000,192,2048,22636.656636016934,22692.861267155095,0.7073955198755292,0.7091519145985967,0.9975232461664273,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,3000,4000,32,128,285.8226082747151,670.1019967468869,0.008931956508584847,0.020940687398340218,0.42653597461622983,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,3000,4000,32,256,223.71772594904905,268.68822973364195,0.006991178935907783,0.00839650717917631,0.8326294239640739,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,3000,4000,64,512,706.0797111918573,715.2070849435254,0.02206499097474554,0.022350221404485168,0.9872381385142615,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,3000,4000,96,512,1161.0677503405605,1169.5636635577425,0.03628336719814251,0.03654886448617945,0.9927358266318415,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,3000,4000,192,512,3888.018001109082,3928.9166125855513,0.12150056253465881,0.12277864414329848,0.9895903589947778,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,3000,4000,192,1024,7265.234742485234,7302.28038525577,0.22703858570266358,0.22819626203924281,0.9949268391767953,True
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,3000,4000,192,2048,17891.799085548497,17945.24202717688,0.5591187214233905,0.5607888133492774,0.9970218879440329,True
