regime,policy,ratio,macro_cdf
full,baseline,1.1621913095753198,0.28792025844747454
full,baseline,1.1696998776840082,0.2896123058248011
full,baseline,1.1712228321818692,0.2914044205201416
full,baseline,1.172071991385688,0.2931965352154821
full,baseline,1.1756215268981547,0.29481465819282837
full,baseline,1.1801816593692862,0.2966067728881689
full,baseline,1.184484486316419,0.2982988202654955
full,baseline,1.1890541014069467,0.29991694324284174
full,baseline,1.1917169682876125,0.30153506622018805
full,baseline,1.1957662687963366,0.3031531891975343
full,baseline,1.2042757779464082,0.30484523657486085
full,baseline,1.2082088176960561,0.30653728395218743
full,baseline,1.209093950647117,0.30832939864752795
full,baseline,1.2126782995100847,0.3099475216248742
full,baseline,1.2186778072360933,0.31173963632021473
full,baseline,1.2196955638708304,0.31353175101555525
full,baseline,1.21988874253039,0.3151498739929015
full,baseline,1.2218316017508424,0.31684192137022804
full,baseline,1.2257770692859788,0.31863403606556856
full,baseline,1.2268410728851509,0.32032608344289515
full,baseline,1.2288850347366875,0.3220181308202217
full,baseline,1.2338212831870918,0.3238102455155622
full,baseline,1.2361098515449258,0.32560236021090266
full,baseline,1.2361863864762443,0.3273944749062432
full,baseline,1.2398275645592942,0.32901259788358944
full,baseline,1.243842022907646,0.33080471257892996
full,baseline,1.2450282337429017,0.3324228355562762
full,baseline,1.247053529930019,0.33411488293360275
full,baseline,1.24814189060892,0.3358069303109294
full,baseline,1.2557420856434676,0.33749897768825593
full,baseline,1.268179837033307,0.3391910250655825
full,baseline,1.2739230568039623,0.34088307244290905
full,baseline,1.2742497698860933,0.34267518713824957
full,baseline,1.2894987137552185,0.34446730183359003
full,baseline,1.2913862509220035,0.3462594165289306
full,baseline,1.2916115627175442,0.3480515312242711
full,baseline,1.293262850182535,0.34974357860159766
full,baseline,1.3038985895779431,0.3514356259789242
full,baseline,1.3039279012464027,0.3532277406742647
full,baseline,1.3043868253604656,0.3549197880515913
full,baseline,1.312247756344401,0.3567119027469318
full,baseline,1.3169136289399443,0.3583300257242781
full,baseline,1.3183177968389634,0.3600220731016046
full,baseline,1.3191960916582646,0.3617141204789312
full,baseline,1.333051754485809,0.3633322434562774
full,baseline,1.335768517247353,0.3651243581516179
full,baseline,1.3377683662298516,0.36691647284695844
full,baseline,1.3397762696373205,0.36860852022428503
full,baseline,1.345106175338101,0.3703005676016116
full,baseline,1.3457120711987993,0.37199261497893815
full,baseline,1.3524041355502974,0.37361073795628447
full,baseline,1.3528694016641443,0.37530278533361106
full,baseline,1.3532127505815716,0.37692090831095726
full,baseline,1.3605592791362149,0.3787130230062978
full,baseline,1.367048406926942,0.38040507038362437
full,baseline,1.3673597883300537,0.38209711776095096
full,baseline,1.371809431898177,0.38378916513827743
full,baseline,1.3781618586396778,0.38558127983361795
full,baseline,1.3910010389274123,0.38719940281096427
full,baseline,1.3951690469911784,0.3888914501882909
full,baseline,1.4034403935565682,0.3905095731656371
full,baseline,1.40473942712315,0.3923016878609776
full,baseline,1.4180872910268723,0.3940938025563181
full,baseline,1.4287339693707442,0.3958859172516586
full,baseline,1.4332632888257346,0.3976780319469991
full,baseline,1.449945091890771,0.39947014664233965
full,baseline,1.4917356610062549,0.4011621940196662
